token	segmentation	root
diminutivo	di minut iv o	minut
dinamitar	dinamit ar	dinamit
dinero	diner o	diner
Diputado	Diput ad o	Diput
directa	direct a	direct
directiva	direct iv a	direct
directo	direct o	direct
diría	d iría	d iría
dirigencia	dirig enci a	dirig
dirigente	dirig ente	dirig
dirigentes	dirig ente s	dirig
dirigidas	dirig id a s	dirig
dirigido	dirig id o	dirig
dirigieron	dirig ieron	dirig
dirigió	dirig ió	dirig
disco	disc o	disc o
discriminar	dis crimin ar	crimin
disculparse	dis culp ar se	culp
discutió	discut ió	discut
discutir	discut ir	discut
disfrazar	dis fraz ar	fraz
disolverlo	di solv er lo	solv
disparadas	dis par ad a s	par
dispone	dis pon e	pon
dispuesto	dis p<ue>st o	p<ue>st
dista	dist a	dist
distintos	distint o s	distint
distraidos	distra id o s	distra
distribuía	dis tribu ía	tribu
distribuirse	distribu ir se	tribu
distrito	distrit o	distrit
divide	divid e	divid
divididas	divid id a s	divid
divisibles	divis ible s	divi
división	divi sión	divi
DIVISIONES	DIVI SION ES	DIVI
divulgaron	divulg aron	divulg
divulgó	divulg ó	divulg
Doble	Doble	Doble
doctores	doctor es	doctor
dolar	dolar	dolar
dominante	domin ante	domin
domingo	doming o	doming
Donde	Donde	Donde
dorada	dor ad a	dor
Dos	Dos	Dos
droga	drog a	drog
duda	dud a	dud
dulce	dulce	dulce
duplicaron	duplic aron	duplic
duras	dur a s	dur
Económica	Económ ic a	Económ
economicos	econom ic o s	econom
Ecuatoriano	Ecuator ian o	Ecuator
edad	edad	edad
edificio	edifici o	edifici
edificios	edifici o s	edifici
efectiva	efect iv a	efect
efectos	efect o s	efect
efectuadas	efectu ad a s	efectu
efectuar	efectu ar	efectu
eficaces	efica<c> es	efica<c>
ejecución	ejecu ción	ejecu
ejecutado	ejecut ad o	ejecut
electricidad	electric idad	electric
elemento	element o	element
elementos	element o s	element
elevado	elev ad o	elev
elevó	elev ó	elev
ella	ella	ella
embajada	embaj ad a	embaj
embajadas	embaj ad a s	embaj
embarazos	embaraz o s	embaraz
emboscaron	em bosc aron	bosc
emergencia	emerg enci a	emerg
emergentes	emerg ente s	emerg
empezó	empez ó	empez
emprendieron	em prend ieron	prend
emprendimiento	em prend imient o	prend
empresarios	empres ari o s	empres
empuja	empuj a	empuj
En	En	En
encabezar	en cabez ar	cabez
encapuchados	en capuch ad o s	capuch
encarcelado	en carcel ad o	carcel
encarcelados	en carcel ad o s	carcel
encargada	en carg ad a	carg
encargados	en carg ad o s	carg
encima	encima	encima
encontrándole	encontr ándo le	encontr
encontrar	encontr ar	encontr
encontré	encontr é	encontr
encontró	encontr ó	encontr
encuentran	enc<ue>ntr an	enc<ue>ntr
encuentras	enc<ue>ntr as	enc<ue>ntr
encuestados	en cuest ad o s	cuest
endose	en dos e	dos
enemigos	enemig o s	enemig
enero	ener o	ener
enfermedad	enferm edad	enferm
enfrentan	en frent an	frent
enfrente	en frente	frente
enjuiciar	en juici ar	juici
enjuiciarán	en juici arán	juici
enormes	enorme s	enorme
ensayo	ensay o	ensay
entendiendo	entend iend o	entend
enterado	enter ad o	enter
enteraron	enter aron	enter
enterrados	en terr ad o s	terr
entiende	ent<ie>nd e	ent<ie>nd
entienden	ent<ie>nd en	ent<ie>nd
entiendo	ent<ie>nd o	ent<ie>nd
entrada	entr ad a	entr
entran	entr an	entr
entrar	entr ar	entr
entregará	entreg ará	entreg
entregue	entreg<u> e	entreg<u>
entrenamiento	entren amient o	entren
entró	entr ó	entr
enviar	envi ar	envi
enviaron	envi aron	envi
epidemia	epidemi a	epidemi
Equipo	Equip o	Equip
equipos	equip o s	equip
errores	error es	error
escapaba	escap aba	escap
escapar	escap ar	escap
escapo	escap o	escap
escasa	escas a	escas
esclarecer	es clar ec er	clar
escombros	escombr o s	escombr
escuchaba	escuch aba	escuch
escuchar	escuch ar	escuch
Escudero	Escud er o	Escud
escuela	escuel a	escuel
esforzaban	es forz aban	forz
Especial	Especial	Especial
especialistas	especial ista s	especial
específico	específ ic o	específ
especulativo	especulat iv o	especulat
esperaba	esper aba	esper
esperamos	esper amos	esper
esperándolo	esper ándo lo	esper
esperanza	esper anz a	esper
esperanzados	esper anz ad o s	esper
esperanzas	esper anz a s	esper
esposo	espos o	espos
Está	Est á	Est
Estaba	Est aba	Est
estábamos	est ábamos	est
estaban	est aban	est
estabilidad	estabil idad	estabil
estable	estable	estable
estación	est ación	est
estado	est ad o	est
Estados	Est ad o s	Est
Estadounidenses	Est ad o un id ense s	Est
estalinista	estalin ista	estalin
estalló	estall ó	estall
estamos	est amos	est
ESTAN	EST AN	EST
ESTÁN	EST ÁN	EST
estancada	estanc ad a	estanc
estancadas	estanc ad a s	estanc
estará	est ará	est
estarian	est arian	est
Este	Este	Este
esten	est en	est
esterilizada	esteril iz ad a	esteril
estimación	estim ación	estim
Estimada	Estim ad a	Estim
estimado	estim ad o	estim
estirando	estir ando	estir
estrelló	estrell ó	estrell
ESTUDIANTES	ESTUDI ANTE S	ESTUDI
Estudiarán	Estudi arán	Estudi
estupefaciente	estup efaci ente	estup
estupidez	estupid ez	estupid
estuvieron	est uvieron	est
etapa	etap a	etap
europea	europe a	europe
europeo	europe o	europe
evacuadas	evacu ad a s	evacu
evadir	evad ir	evad
evalúan	evalú an	evalú
evita	evit a	evit
examine	examin e	examin
excarcelado	ex carcel ad o	carcel
exigen	exig en	exig
Exigimos	Exig imos	Exig
exigir	exig ir	exig
exiliado	exili ad o	exili
existían	exist ían	exist
existido	exist id o	exist
éxito	éxit o	éxit
explicaciones	explic acion es	explic
explicando	explic ando	explic
explicandole	explic ando le	explic
explicó	explic ó	explic
explorar	explor ar	explor
explosion	ex plo sion	plo
explosiones	ex plo sion es	plo
expresado	expres ad o	expres
expresarse	expres ar se	expres
extradición	ex tradi ción	tradi
extraditado	ex tradi tad o	tradi
extrañaran	extrañ aran	extrañ
extranjeros	extranjer o s	extranjer
extremistas	extrem ista s	extrem
fabrica	fabric a	fabric
fabricas	fabric a s	fabric
facil	facil	facil
fajan	faj an	faj
fallaron	fall aron	fall
Fallece	Fallec e	Fallec
fallecido	fallec id o	fallec
fallecidos	fallec id o s	fallec
fallido	fall id o	fall
fallidos	fall id o s	fall
fallo	fall o	fall
falsas	fals a s	fals
falso	fals o	fals
falsos	fals o s	fals
FAMA	FAM A	FAM
familiarizada	famili ar iz ad a	famili
familias	famili a s	famili
fea	fe a	fe
fecha	fech a	fech
felices	feli<c> es	feli<c>
Ferroviaria	Ferro via ri a	via
fertilizante	fertil iz ante	fertil
fertilizantes	fertil iz ante s	fertil
fervor	fervor	fervor
fiesta	fiest a	fiest
filtrado	filtr ad o	filtr
Fin	Fin	Fin
final	fin al	fin
finalizaría	fin al iz aría	fin
Financiero	Financ ier o	Financ
financieron	financ ieron	financ
financieros	financ ier o s	financ
fines	fin es	fin
firme	firm e	firm
flechas	flech a s	flech
florecer	flor ec er	flor
fomentar	foment ar	foment
fondo	fond o	fond
forma	form a	form
formacion	form acion	form
formuladas	formul ad a s	formul
foro	for o	for
forradores	forr ador es	forr
fortalecer	forta lec er	forta
forzada	forz ad a	forz
forzado	forz ad o	forz
foto	foto	foto
fotógrafo	fotógraf o	fotógraf
fotos	foto s	foto
fracaso	fracas o	fracas
frágil	frágil	frágil
frágiles	frágil es	frágil
francés	francés	francés
franceses	frances es	frances
frecuente	frecu ente	frecuente
frente	frente	frente
frontera	fronter a	fronter
fruto	frut o	frut
Fue	Fu e	Fu
fué	fu é	fu
Fuente	Fuente	Fuente
fueran	fu eran	fu
Fuertes	Fuerte s	Fuerte
Fuerzas	Fuerz a s	Fuerz
fuesen	fu esen	fu
fugitivos	fugit iv o s	fugit
fundamentar	fundament ar	fundament
funden	fund en	fund
fuselaje	fusel aje	fusel
futbol	futbol	futbol
futuro	futur o	futur
galletas	gallet a s	gallet
gama	gam a	gam
ganar	gan ar	gan
gane	gan e	gan
ganó	gan ó	gan
garantias	garanti a s	garanti
gastan	gast an	gast
gaste	gast e	gast
gastó	gast ó	gast
gastos	gast o s	gast
gatos	gat o s	gat
genera	gener a	gener
generalizado	general iz ad o	general
generalizados	general iz ad o s	general
generalmente	general mente	general
GENERAR	GENER AR	GENER
gente	gente	gente
gigantescas	gigant esc a s	gigant
girar	gir ar	gir
gitanas	gitan a s	gitan
gobernadores	gobern ador es	gobern
golpe	golpe	golpe
golpeadores	golpe ador es	golpe
golpiza	golp iz a	golp
gorda	gord a	gord
gozan	goz an	goz
gracias	graci a s	graci
grado	grad o	grad
GRANDE	GRANDE	GRANDE
grandes	grande s	grande
granitos	granit o s	granit
gratis	gratis	gratis
graves	grave s	grave
gripe	gripe	gripe
gritando	grit ando	grit
grupo	grup o	grup
grupos	grup o s	grup
guardaba	guard aba	guard
Guardacostas	Guard a cost a s	Guard
Guerra	Guerr a	Guerr
guerrilla	guerr ill a	guerr
gustaria	gust aria	gust
Ha	H a	H
haberle	hab er le	hab
haberles	hab er les	hab
habia	hab ia	hab
habian	hab ian	hab
habían	hab ían	hab
habitantes	habit ante s	habit
Habla	Habl a	Habl
hablar	habl ar	habl
hablaremos	habl aremos	habl
hablas	habl as	habl
hables	habl es	habl
habló	habl ó	habl
habran	hab ran	hab
habria	hab ria	hab
Habría	Hab ría	Hab
hace	hac e	hac
hacer	hac er	hac
hacerlo	hac er lo	hac
haces	hac es	hac
haciendo	hac iendo	hac
haga	ha ga	ha
hagamos	ha gamos	ha
hallado	hall ad o	hall
halló	hall ó	hall
HAMBRUNA	HAMBR UN A	HAMBR
hará	ha rá	ha
harán	ha rán	ha
haría	ha ría	ha
has	h as	h
hasta	hasta	hasta
HAY	HAY	HAY
hecho	h<e>ch o	h<e>ch
hechos	h<e>ch o s	h<e>ch
heladas	hel ad a s	hel
herida	her id a	her
heridas	her id a s	her
herido	her id o	her
Heridos	Her id o s	Her
herir	her ir	her
Hermanas	Herman a s	Herman
hermano	herman o	herman
hicieron	h<i>c ieron	h<i>c
Higiene	Higiene	Higiene
hijos	hij o s	hij
historia	histori a	histori
HOMBRE	HOMBRE	HOMBRE
homenaje	homenaje	homenaje
Homenajes	Homenaje s	Homenaje
hondureña	hondur eñ a	hondur
horribles	horrible s	horrible
hospitalizadas	hospital iz ad a s	hospital
hostilidades	hostil idad es	hostil
Hoteles	Hotel es	Hotel
