token	segmentation	root
EDITORYAL	EDITOR YAL	EDITOR
eh	eh	eh
ekonomiya	ekonomiya	ekonomiya
eksplorasyon	eksplora syon	eksplora 
ektarya	ektarya	ektarya
eleksiyon	elek siyon	elek
eleksyon	elek syon	elek 
embahada	embahada	embahada
entablado	en tabla do	tabla
eroplanong	eroplano ng	eroplano 
estado	estado	estado
estratehiya	estratehiya	estratehiya
estudyante	estudyante	estudyante
estudyanteng	estudyante ng	estudyante 
Fil	Fil	Fil
Filipinas	Filipinas	Filipinas
FILIPINO	FILIPIN O	FILIPIN 
gaano	ga ano	ano
gabi	gabi	gabi
gagamitin	ga gamit in	gamit 
gahamang	gahaman g	gahaman 
gahiganteng	ga higante ng	higante 
galing	galing	galing
gamit	gamit	gamit
gamot	gamot	gamot
GANAP	GANAP	GANAP
Gang	Gang	Gang
ganid	ganid	ganid
Ganito	Ganito	Ganito
ganitong	ganito ng	ganito 
ganun	ganun	ganun
ganung	ganun g	ganun 
ganuong	gan<u>on g	gan<u>on 
ganyang	ganyan g	ganyan 
gastusin	gast<u>s in	gast<u>s 
gatas	gatas	gatas
gawa	gawa	gawa
Gawad	Gawad	Gawad
Gawin	Gawin	Gawin
gawing	gawin g	gawin 
gaya	gaya	gaya
gayahin	gaya hin	gaya 
gayundin	ga<y>un din	ga<y>un 
gilid	gilid	gilid
ginagalit	g in a galit	galit
ginagamot	g in a gamot	gamot
ginawa	g in awa	g awa
ginugulo	g in u gulo	g gulo
gitna	gitna	gitna
gobyerno	gobyerno	gobyerno
granada	granada	granada
grupo	grupo	grupo
grupong	grupo ng	grupo 
guho	guho	guho
gulang	gulang	gulang
gulay	gulay	gulay
gulo	gulo	gulo
gumagawa	g um a gawa	gawa
gumalaw	g um alaw	g alaw
Gumawa	G um awa	G awa
Gumuho	G um uho	G uho
gumuhong	g um uho ng	g uho 
guro	guro	guro
gusali	gusali	gusali
gusto	gusto	gusto
habagat	habagat	habagat
Habang	Habang	Habang
Haing	Hain g	Hain 
hakbang	hakbang	hakbang
hakot	hakot	hakot
halaga	halaga	halaga
halalan	halal an	halal 
halayin	halay in	halay 
halikan	halik an	halik 
halimbawa	halimbawa	halimbawa
halip	halip	halip
Halos	Halos	Halos
handa	handa	handa
hangang	hangang	hangang
Hanggang	Hanggang	Hanggang
hangin	hangin	hangin
hanging	hangin g	hangin 
hantungan	hant<u>ng an	hant<u>ng 
Hapon	Hapon	Hapon
Hapones	Hapon es	Hapon
harangin	harang in	harang 
harap	harap	harap
harapin	harap in	harap 
hatid	hatid	hatid
hehe	hehe	hehe
hektarya	hektarya	hektarya
helikopter	helikopter	helikopter
hepe	hepe	hepe
higanteng	higante ng	higante 
higit	higit	higit
hihi	hihi	hihi
hihigupin	hi hig<u>p in	hig<u>p 
Hihintayin	Hi hintay in	hintay
hilaga	hilaga	hilaga
hilagang	hilaga ng	hilaga 
hilagang-silangan	hilaga ng - silangan	hilaga silangan
hilaw	hilaw	hilaw
hiling	hiling	hiling
hilong-talilong	hilo ng - talilong	hilo talilong
himapapawid	himapapawid	himapapawid
himpapawid	himpapawid	himpapawid
himpilan	himpil an	himpil 
hinabol	h in abol	h abol
Hinahanap	H in a hanap	hanap
hinahatak	h in a hatak	hatak
hinanap	h in anap	h anap
hinayaan	h in ayaan	h ayaan
HINDI	HINDI	HINDI
hinggil	hinggil	hinggil
Hinimok	H in imok	H imok
hirap	hirap	hirap
hiwalay	hiwalay	hiwalay
hugong	hugong	hugong
Huling	Huli ng	Huli 
humagupit	h um agupit	h agupit
humampas	h um ampas	h ampas
humanap	h um anap	h anap
humantong	h um antong	h antong
humihingi	h um i hingi	hingi
humingi	h um ingi	h ingi
huminto	h um into	h into
humpay	humpay	humpay
humupa	h um upa	h upa
Hunyo	Hunyo	Hunyo
husgahan	husga han	husga 
husto	husto	husto
Huwag	Huwag	Huwag
Huweb	Huweb	Huweb
ianunsyo	i anunsyo	anunsyo
iba	iba	iba
iba't	iba 't	iba
ibabalik	i ba balik	balik
ibabaw	ibabaw	ibabaw
Ibahagi	I bahagi	bahagi
ibalik	i balik	balik
ibang	iba ng	iba 
ibasura	i basura	basura
ibat	iba t	iba
ibat-ibang	iba t - iba ng	iba iba
ibayo	ibayo	ibayo
ibibigay	i bi bigay	bigay
ibig	ibig	ibig
ibinahagi	i b in ahagi	b ahagi
ibinalibag	i b in alibag	b alibag
Ibinalita	I b in alita	b alita
ID	ID	ID
idamay	i damay	damay
ideklarang	i deklara ng	deklara
Idinagdag	I d in agdag	d agdag
idineklara	i d in eklara	d eklara
idulot	i dulot	i dulot
ihi	ihi	ihi
iiral	i iral	iral
Iisa	I isa	isa
iisang	i isa ng	isa
ika-anim	ika - anim	anim
ika-walo't	ika - walo 't	walo
ikalawang	ika lawa ng	lawa
IKAMATAY	I KA <M>ATAY	<M>ATAY
ikatlong	ika tlo ng	tlo 
ikinakasang	i k in a kasa ng	kasa
ikinalungkot	i k in a lungkot	lungkot
ikinamatay	i k in a <m>atay	<m>atay
ikinasugat	i k in a sugat	sugat
ilalagay	i la lagay	lagay
ilalim	i lalim	lalim
ilan	ilan	ilan
ILANG	ILAN G	ILAN
ilaw	ilaw	ilaw
iligal	i ligal	ligal
ilog	ilog	ilog
imanipula	i manipula	manipula
imbestigasyon	imbestiga syon	imbestiga 
impastraktura	impastraktura	impastraktura
impeksyon	impek syon	impek 
impormasyon	imporma syon	imporma 
imprastraktura	imprastraktura	imprastraktura
imprastraktural	imprastraktura l	imprastraktura 
imprastruktura	imprastruktura	imprastruktura
in	in	in
Inaalam	In a alam	alam
Inaasahan	In a asa han	asa
Inaasahang	In a asa han g	asa
inaasam-asam	in a asam - asam	asam
inabot	in abot	abot
inabutan	in ab<u>t an	ab<u>t 
inako	in ako	ako
inanod	in anod	anod
Inasal	In asal	asal
inay	inay	inay
Indayog	Indayog	Indayog
Indian	India n	India 
Indiano	India n o	India 
Indonesian	Indonesia n	Indonesia 
Ingat	Ingat	Ingat
ingatan	ingat an	ingat 
Ingay	Ingay	Ingay
inihahatid	in i ha hatid	hatid
inihatid	in i hatid	hatid
inihayag	in i hayag	hayag
iniingatang	in i ingat an g	ingat
inilarga	in i larga	larga
Inilista	In i lista	lista
iniluluwas	in i lu luwas	luwas
inisyal	inisyal	inisyal
init	init	init
Iniulat	In i ulat	ulat
insedente	insedente	insedente
insidente	insidente	insidente
instalasyon	instala syon	instala 
interbyu	interbyu	interbyu
inumin	in<u>m in	in<u>m 
Inuulit	In u ulit	ulit
inyon	inyo n	inyo 
inyong	inyo ng	inyo 
ipaayos	i pa ayos	ayos
ipagdasal	i pag dasal	dasal
ipagharap	i pag harap	harap
ipatitigil	i pa ti tigil	tigil
ipinadadala	i p in a da dala	dala
Ipinagpatuloy	I p in ag pa tuloy	tuloy
Ipinakikita	I p in a ki kita	kita
Ipinanukala	I p in anukala	p anukala
ipinasara	i p in a sara	sara
ipinaskil	i p in askil	p askil
ipinatupad	i p in a tupad	tupad
ipinaubaya	i p in aubaya	p aubaya
iresponsableng	i responsable ng	responsable 
isa	isa	isa
isagawa	i sa gawa	gawa
isandaan	isa n daan	isa daan
isang	isa ng	isa 
isasailalim	i sa sa ilalim	ilalim
isasama	i sa sama	sama
Isidro	Isidro	Isidro
isinaad	i s in aad	s aad
Isla	Isla	Isla
istagnanteng	istagnante ng	istagnante 
istasyon	istasyon	istasyon
istruktura	istruktura	istruktura
itataas	i ta taas	taas
itatawag	i ta tawag	tawag
ITIM	ITIM	ITIM
Itinaas	I t in aas	t aas
itinago	i t in ago	t ago
ito	ito	ito
itong	ito ng	ito 
iwasan	iwas an	iwas 
Iyan	Iyan	Iyan
iyon	iyon	iyon
juskuday	<j><u>sk<u> day	<j><u>sk<u>
ka	ka	ka
ka-opisina	ka - opis in a	opis 
Kaagad	Ka agad	agad
kaakibat	ka akibat	akibat
kaakit-akit	ka akit - akit	akit
kaalaman	ka alam an	alam
kabahayan	ka bahay an	bahay
kabayanihan	ka bayani han	bayani
KABI-KABILA	KA BI - KABILA	KABILA
kabiguan	ka big<u> an	big<u> 
kabila	kabila	kabila
kabilang	kabila ng	kabila 
Kabisayaan	Ka bisaya an	bisaya
kable	kable	kable
kabuhayan	ka buhay an	buhay
kadalasan	ka dalas an	dalas
kadalasang	ka dalas an g	dalas
kadalisayan	ka dalisay an	dalisay
kagabi	ka gabi	gabi
kagagawan	ka ga gawan	gawan
kagamitan	ka gamit an	gamit
kagamitang	ka gamit an g	gamit
kagat	kagat	kagat
Kagawad	Kagawad	Kagawad
kaginhawaan	ka ginhawa an	ginhawa
kagubatan	ka gubat an	gubat
Kahapon	Ka hapon	hapon
kahit	kahit	kahit
Kahoy	Kahoy	Kahoy
kailangan	kailangan	kailangan
kailangang	kailangan g	kailangan 
kailanman	kailan man	kailan
KAISA	KA ISA	ISA
Kakaiba	Ka ka iba	iba
kakailanganin	ka kailangan in	kailangan
kakulangan	ka kulang an	kulang
kalagayan	ka lagay an	lagay
kalahati	ka la hati	hati
kalahating	kala hati ng	hati
kalakas	ka lakas	lakas
kalakasan	ka lakas an	lakas
Kalaklan	Kalaklan	Kalaklan
kalapit	ka lapit	lapit
kalat	kalat	kalat
kalibre	kalibre	kalibre
kaligtasan	ka ligtas an	ligtas
kalikasan	ka likas an	likas
kalimitang	ka limita ng	limita
kalimutan	ka lim<u>t an	lim<u>t 
kalinisan	ka linis an	linis
kalsada	kalsada	kalsada
kalsadang	kalsada ng	kalsada 
kalunos-lunos	ka lunos - lunos	lunos
kalupaan	ka lupa an	lupa
kalusugan	ka lus<u>g an	lus<u>g 
kamalayan	ka malay an	malay 
kamalian	ka mali an	mali 
kamaliang	ka mali an g	mali 
kamanghaan	ka mangha an	mangha 
Kami	Kami	Kami
kaming	kami ng	kami 
KAMPANARYO	KAMPANAR YO	KAMPANAR
KAMPO	KAMPO	KAMPO
kamusta	kamusta	kamusta
kanang	kanan g	kanan 
kandidato	kandidat o	kandidat
Kandila	Kandila	Kandila
kang	ka ng	ka
kanila	ka nila	nila
kanilang	ka nila ng	nila 
kanina	kanina	kanina
kaninang	kanina ng	kanina 
kaniya	ka niya	niya
kaniyang	kaniya ng	kaniya 
kanluran	kanluran	kanluran
kanya	kanya	kanya
Kanya-kanyang	Kanya - kanya ng	kanya
Kanyang	Kanya ng	Kanya 
Kapag	Kapag	Kapag
kapalaran	ka pala<r> an	pala<r> 
kapaligiran	ka paligi<r> an	paligi<r> 
kapatid	kapatid	kapatid
kapayapaan	ka payapa an	payapa 
kapital	kapital	kapital
kapitbahay	kapit bahay	bahay
kapuluan	ka pul<u> an	pul<u> 
Kapuso	Ka puso	puso
kapwa	kapwa	kapwa
karagatan	ka <r>agat an	<r>agat 
karagatang	ka <r>agat an g	<r>agat
karagdagang	ka <r>agdag an g	<r>agdag
Karambola	Karam bola	bola
Karamihan	Ka <r>ami han	<r>ami 
karangalan	ka <r>angal an	<r>angal 
karaniwan	karaniwan	karaniwan
karatig	karatig	karatig
karne	karne	karne
karneng	karne ng	karne 
kasabay	ka sabay	sabay
kasagutan	ka sag<u>t an	sag<u>t 
kasalukuyan	kasalukuyan	kasalukuyan
kasalukuyang	kasalukuyan g	kasalukuyan 
kasama	ka sama	sama
kasapi	ka sapi	sapi
kasaysayan	ka saysay an	saysay 
kasi	kasi	kasi
kasing	kasi ng	kasi 
kasinungalingan	ka sinungaling an	sinungaling 
kaso	kaso	kaso
kasong	kaso ng	kaso 
kasu-kasuan	kasu - kasuan	kasuan
kasunduan	ka sund<u> an	sund<u> 
kasunod	ka sunod	sunod
katao	ka tao	tao
katatagpuan	ka ta  tagp<u> an	tagp<u> 
katawan	katawan	katawan
katiwalian	ka tiwali an	tiwali 
katiwasayan	ka tiwasay an	tiwasay 
Katotohanan	Ka toto han an	toto
katwirang	katwiran g	katwiran 
kaugnay	ka ugnay	ugnay
kaulapan	ka ulap an	ulap 
kaunlaran	ka unla<r> an	unla<r> 
kawalan	ka wala n	wala 
kay	kay	kay
kaya	kaya	kaya
kaya't	kaya 't	kaya 
kaya’y	kaya ’y	kaya 
kayang	kaya ng	kaya 
kayat	kaya t	kaya
kayo	kayo	kayo
kayong	kayo ng	kayo 
kaysa	kaysa	kaysa
kc	kc	kc
kidlat	kidlat	kidlat
kilikili	kilikili	kilikili
kilogramo	kilo gramo	kilo gramo
kilometro	kilo metro	kilo metro
kinababahala	kina ba bahala	bahala
kinakailangan	k in a kailangan	kailangan
kinalalagyan	k in a la lagyan	lagyan
Kinalaunan	K in a la<u>n an	la<u>n
Kinansela	K in ansel a	K ansel 
kinaumagahan	kina um aga han	um aga 
kinitil	k in itil	k itil
kinukumpuni	k in u kumpuni	kumpuni
Kinumpirma	K in umpirma	K umpirma
kita	kita	kita
kits	kits	kits
klase	klase	klase
klimatolohiya	klima to lo hiya	klima
kmanddto	k m anddto	k anddto
ko	ko	ko
komersiyal	komers i yal	komers 
Komisyon	Komisyon	Komisyon
kompanya	kompanya	kompanya
komunidad	komun idad	komun 
Koneksiyon	Konek siyon	Konek
koneksyon	konek syon	konek 
kong	ko ng	ko 
KONSONANS	KONSONAN S	KONSONAN 
koordinasyon	koordina syon	koordina 
Koordinasyong	Koordina syon g	Koordina 
korporasyon	korpora syon	korpora 
koryente	koryente	koryente
Krisis	Krisis	Krisis
Kristiyano	Kristiyan o	Kristiyan
kritikal	kritik al	kritik 
KRITIKO	KRITIKO	KRITIKO
kudarat	kudarat	kudarat
Kuha	Kuha	Kuha
kumakain	k um a kain	kain
kumakalat	k um a kalat	k a kalat
kumalat	k um alat	k alat
kumanddto	k um anddto	k anddto
kumbento	kumbento	kumbento
kumikilos	k um i kilos	kilos
kumilos	k um ilos	k ilos
kumot	kumot	kumot
kumpara	kumpara	kumpara
kumpimadong	kumpima do ng	kumpima 
kumpirmado	kumpirma do	kumpirma
kumpirmadong	kumpirma do ng	kumpirma 
kumplikasyon	kumplika syon	kumplika 
Kumusta	Kumusta	Kumusta
kundi	kun di	di
KUNG	KUNG	KUNG
Kungyangon	Kungyangon	Kungyangon
kuno	kuno	kuno
kur­yente	kur­yente	kur­yente
Kuryente	Kuryente	Kuryente
Kuta	Kuta	Kuta
kutsara	kutsara	kutsara
Kuya	Kuya	Kuya
Laban	Laban	Laban
labas	labas	labas
labing	labi ng	labi 
labis	labis	labis
Laganap	Laganap	Laganap
lagi	lagi	lagi
lagim	lagim	lagim
lagnat	lagnat	lagnat
LAGUNA	LAGUNA	LAGUNA
lahar	lahar	lahar
Lahat	Lahat	Lahat
lakas	lakas	lakas
Laki	Laki	Laki
lalabas	la labas	labas
Lalawigan	La lawig an	lawig
lalim	lalim	lalim
lalo	lalo	lalo
LALONG	LALO NG	LALO
lalong-lalo	lalo ng - lalo	lalo
laluna	lal<u> na	lal<u>
lamang	lamang	lamang
lamok	lamok	lamok
lang	lang	lang
lansangan	lansangan	lansangan
larawan	larawan	larawan
larawang	larawan g	larawan 
lawak	lawak	lawak
layo	layo	layo
layong	layon g	layon 
Lebantino	Lebantino	Lebantino
Libis	Libis	Libis
libo-libong	libo - libo ng	libo
ligtas	ligtas	ligtas
likas	likas	likas
likod	likod	likod
lilipad	li lipad	lipad
Limang	Lima ng	Lima 
lindol	lindol	lindol
linggo	linggo	linggo
linggong	linggo ng	linggo 
lingkod	lingkod	lingkod
liparin	lipa<r> in	lipa<r> 
litro	litro	litro
lokal	lokal	lokal
loob	loob	loob
lubog	lubog	lubog
lugar	lugar	lugar
Lugod	Lugod	Lugod
lulong	lulong	lulong
lumaban	l um aban	l aban
lumabas	l um abas	l abas
Lumalabas	L um a labas	labas
lumalala	l um a lala	lala
lumalayo	l um a layo	layo
lumambot	l um ambot	l ambot
lumang	luma ng	luma 
lumikas	l um ikas	l ikas
lumilipas	l um i lipas	lipas
Lumilipat	L um i lipat	lipat
lumindol	l um indol	l indol
lumubog	l um ubog	l ubog
Lunes	Lunes	Lunes
lungsod	lungsod	lungsod
lupa	lupa	lupa
lupain	lupa in	lupa 
lupang	lupa ng	lupa 
luv	luv	luv
ma-cardiac	ma - cardiac	cardiac
ma-recover	ma - recover	recover
maaari	ma a ari	a ari
maaaring	ma a ari ng	a ari 
maaliwalas	ma aliwalas	aliwalas
maapektuhan	ma <a>pekt<u> han	<a>pekt<u> 
maaring	ma ari ng	ari 
maayos	ma ayos	ayos
mababa	ma baba	baba
mababang	ma baba ng	baba
mabagsakan	ma bagsak an	bagsak
mabagsik	ma bagsik	bagsik
mabait	ma bait	bait
mabatong	ma bato ng	bato
mabigyan	ma bigyan	bigyan
Mabilis	Ma bilis	bilis
mabubulgar	ma bu bulgar	bulgar
mabuti	ma buti	buti
Macapagal	Macapagal	Macapagal
madaanan	ma daan an	daan
madadagdagan	ma da dagdag an	dagdag
madalas	ma dalas	dalas
MADALING	MA DALI NG	DALI
mag	mag	mag
mag-aaral	mag - a aral	aral
Mag-ingat	Mag - ingat	ingat
mag-landfall	mag - landfall	landfall
mag-operate	mag - operate	operate
magamit	ma gamit	gamit
Magandang	Ma ganda ng	ganda
magbababad	mag ba babad	babad
magbagsakan	mag bagsak an	bagsak
magbigay	mag bigay	bigay
magbitbit	mag bitbit	bitbit
magbitiw	mag bitiw	bitiw
magdadala	mag da dala	dala
magdamag	magdamag	magdamag
magdasal	mag dasal	dasal
magdudulot	mag du dulot	dulot
maghanda	mag handa	handa
maghapon	mag hapon	hapon
maghasik	mag hasik	hasik
maghintay	mag hintay	hintay
maghuhudyat	mag hu hudyat	hudyat
magiba	ma giba	giba
magiging	ma gi ging	ging
maging	maging	maging
magkabilang	mag kabila ng	kabila 
Magkahawig	Mag ka hawig	hawig
magkakaroon	mag ka ka roon	roon
Magkakaroon	Mag ka ka roon	roon
magkakasunod	mag ka ka sunod	sunod
magkaroon	mag ka roon	roon
magkasunod	mag ka sunod	sunod
magkasunog	mag ka sunog	sunog
maglakbay	mag lakbay	lakbay
magmasid	mag masid	masid
magmumula	mag mu mula	mula
magpatuloy	mag pa tuloy	tuloy
magsagawa	mag sa gawa	gawa
magsasagawa	mag sa sa gawa	gawa
magsasaka	mag sa saka	saka
magsisimula	mag si si mula	mula
magsisimulang	mag si si mula ng	mula
magtanghali	mag tanghali	tanghali
magtataas	mag ta taas	taas
magtuloy-tuloy	mag tuloy - tuloy	tuloy
magtulungan	mag tul<u>ng an	tul<u>ng 
magtungo	mag tungo	tungo
Magugunitang	Ma gu gunita ng	gunita
mahabang	ma haba ng	haba
mahagip	ma hagip	hagip
mahal	mahal	mahal
Mahalaga	Ma halaga	halaga
Mahalagang	Ma halaga ng	halaga
mahawa	ma hawa	hawa
Mahigit	Ma higit	higit
mahihinang	ma hi hina ng	hina
mahina	ma hina	hina
mahulog	ma hulog	hulog
mahulugang	ma hul<u>g a ng	hul<u>g 
maihahambing	ma i ha hambing	hambing
mainfect	ma infect	infect
mainit	ma init	init
mainterbyung	ma interbyu ng	interbyu 
maintindihan	ma intindi han	intindi 
maipapayo	ma i pa payo	payo
maireport	ma i report	report
maituturing	ma i tu turing	turing
maiwasan	ma iwas an	iwas 
maka-kalikasang	maka - ka likas an g	likas 
makabalik	maka balik	balik
makagat	ma kagat	kagat
makahawa	maka hawa	hawa
makaiwas	maka iwas	iwas
Makakatulong	Ma ka ka tulong	tulong
makaligtas	maka ligtas	ligtas
makamatay	maka <m>atay	<m>atay
makapaglandfall	maka pag landfall	landfall
makapagtanim	maka pag tanim	tanim
makaraang	maka raan g	raan 
MAKASALANAN	MA KA SALA NAN	SALA
makasaysayang	maka saysay an g	saysay
makatanggap	maka tanggap	tanggap
makatapos	maka tapos	tapos
makatawid	maka tawid	tawid
makatutulong	maka tu tulo ng	tulo 
Makikinig	Ma ki kinig	kinig
makikipagtulungan	ma ki ki pag tul<u>ng an	tul<u>ng 
Makikita	Ma ki kita	kita
makilala	ma kilala	kilala
makina	makina	makina
makitaan	ma kita an	kita 
makulimlim	ma ku limlim	limlim
mala-impiyernong	mala - impiyerno ng	impiyerno
malabong	ma labo ng	labo 
