token	transliteration	segmentation	root
военным	voyennym	voyen n ym	voyen
военных	voyennyh	voyen n yh	voyen
возвращаться	vozvraschat'sya	voz vra<sch> a t' sya	vra<sch>
возвращаются	vozvraschayutsya	voz vra<sch> a yut sya	vra<sch>
воздействию	vozdeystviyu	voz dey stv i yu	dey
воздухе	vozduhe	vozduh e	vozduh
возможно	vozmozhno	voz mo<zh> n o	mo<zh>
Возможно	Vozmozhno	Voz mo<zh> n o	mo<zh>
возможном	vozmozhnom	voz mo<zh> n om	mo<zh>
возможности	vozmozhnosti	voz mo<zh> n ost i	mo<zh>
Возможность	Vozmozhnost'	Voz mo<zh> n ost'	mo<zh>
возможных	vozmozhnyh	voz mo<zh> n yh	mo<zh>
Возникновение	Vozniknoveniye	Voznik n ove ni ye	Voznik
возникновения	vozniknoveniya	voznik n ove ni ya	voznik
возникшей	voznikshey	voznik sh ey	voznik
возобновились	vozobnovilis'	voz ob nov i l i s'	nov
возобновлении	vozobnovlenii	voz ob novl eni i	novl
возрасти	vozrasti	voz rast i	rast
войны	voyny	voyn y	voyn
Волгоградской	Volgogradskoy	Volg o grad sk oy	Volg grad
Волна	Volna	Voln a	Voln
Волшебник	Volshebnik	Volsheb nik	Volsheb
вооружившись	vooruzhivshis'	vo oruzh i vsh i s'	oruzh
вопрос	vopros	vopros	vosstanov
восстановить	vosstanovit'	vosstanov i t'	Vostok
Востока	Vostoka	Vostok a	Vostok
Востоком	Vostokom	Vostok om	Vosto<ch>
Восточная	Vostochnaya	Vosto<ch> n aya	vosto<ch>
восточноафриканский	vostochnoafrikanskiy	vosto<ch> n o afrik an sk iy	afrik
восточной	vostochnoy	vosto<ch> n oy	vosto<ch>
восьми	vos'mi	vos'm i	vos'm
воюют	voyuyut	vo yu yut	vo
впервые	vpervyye	v perv yye	perv
вплоть	vplot'	v plot'	plot'
впросак	vprosak	vprosak	Vrach
Врачей	Vrachey	Vrach ey	vrem
временами	vremenami	vrem en ami	vrem
времён	vremon	vrem on	vrem
время	vremya	vrem ya	Vse
Всеукраинской	Vseukrainskoy	Vse ukrain sk oy	ukrain
вскоре	vskore	v skor e	skor
вспышках	vspyshkah	vspy<sh> k ah	vspy<sh>
вспышку	vspyshku	vspy<sh> k u	vspy<sh>
втайне	vtayne	v tay n e	tay
вторая	vtoraya	vtor aya	vtor
Вторая	Vtoraya	Vtor aya	Vtor
вторника	vtornika	vtornik a	vtornik
второе	vtoroye	vtor oye	vtor
вулкана	vulkana	vulkan a	vulkan
вулканического	vulkanicheskogo	vulkan ichesk ogo	vulkan
вулканическое	vulkanicheskoye	vulkan ichesk oye	vulkan
вулканы	vulkany	vulkan y	vulkan
входили	vhodili	v hod i l i	hod
вчера	vchera	vchera	vchera
выбрасывает	vybrasyvayet	vy bras yva yet	bras
выбросил	vybrosil	vy br<o>s i l	br<o>s
выводу	vyvodu	vy vod u	vod
выглядит	vyglyadit	vy glyad it	glyad
выглядят	vyglyadyat	vy glyad yat	glyad
выглянуло	vyglyanulo	vy glya nu l o	glya
выгодны	vygodny	vygod n y	vygod
выдавшего	vydavshego	vy da vsh ego	da
выделения	vydeleniya	vy del eni ya	del
выделить	vydelit'	vy del i t'	del
выдержала	vyderzhala	vy derzh a l a	derzh
выдержать	vyderzhat'	vy derzh a t'	derzh
выезжать	vyyezzhat'	vy ye<z><zh> a t'	ye<z><zh>
выехавшая	vyyehavshaya	vy yeh a vsh aya	yeh
выжившего	vyzhivshego	vy zhi v sh ego	zhi
вызвал	vyzval	vy zv a l	zv
вызвали	vyzvali	vy zv a l i	zv
Вызванное	Vyzvannoye	Vy zv a nn oye	zv
выздоровели	vyzdoroveli	vy zdorov e l i	zdorov
выкрики	vykriki	vy krik i	krik
вылезли	vylezli	vy lez l i	lez
вымываются	vymyvayutsya	vy my va yut sya	my
выпала	vypala	vy pa l a	pa
выпало	vypalo	vy pa l o	pa
выписаны	vypisany	vy pis a n y	pis
выполняем	vypolnyayem	vy poln ya yem	poln
выпрашивал	vyprashival	vy pra<sh> iva l	pra<sh>
выпущено	vypuscheno	vy pu<sch> en o	pu<sch>
выработка	vyrabotka	vy rabot k a	rabot
выраженной	vyrazhennoy	vyra<zh> enn oy	vyra<zh>
выразил	vyrazil	vyraz i l	vyraz
высвободилось	vysvobodilos'	vy svobod i l o s'	svobod
Высказаться	Vyskazat'sya	Vy skaz a t' sya	skaz
высоких	vysokih	vysok ih	vysok
высоко	vysoko	vysok o	vysok
высокого	vysokogo	vysok ogo	vysok
высокогорных	vysokogornyh	vysok o gor n yh	vysok gor
высота	vysota	vysot a	vysot
высотная	vysotnaya	vysot n aya	vysot
высотным	vysotnym	vysot n ym	vysot
высоту	vysotu	vysot u	vysot
высоты	vysoty	vysot y	vysot
выступила	vystupila	vy stup i l a	stup
выход	vyhod	vy hod	hod
выходном	vyhodnom	vy hod n om	hod
выше	vyshe	vy<sh> e	vy<sh>
вышли	vyshli	vy sh l i	sh
выявлен	vyyavlen	vyyav l en	vyyav
выявлено	vyyavleno	vy yav l en o	yav
выясняют	vyyasnyayut	vy yasn ya yut	yasn
Гадесом	Gadesom	Gades om	Gades
газо	gazo	gaz o	gaz
газов	gazov	gaz ov	gaz
газы	gazy	gaz y	gaz
Гвинею	Gvineyu	Gvine yu	Gvine
геноцид	genotsid	gen o tsid	gen tsid
геноцида	genotsida	gen o tsid a	gen tsid
гепатитами	gepatitami	gepat it ami	gepat
гибель	gibel'	gib el'	gib
гидрантов	gidrantov	gidr ant ov	gidr
Гималаях	Gimalayah	Gimala yah	Gimala
глава	glava	glav a	glav
главная	glavnaya	glavn aya	glavn
Главная	Glavnaya	Glavn aya	Glavn
Главного	Glavnogo	Glavn ogo	Glavn
главный	glavnyy	glavn yy	glavn
Главный	Glavnyy	Glavn yy	Glavn
глубина	glubina	glub in a	glub
глубине	glubine	glub in e	glub
глубинных	glubinnyh	glub in n yh	glub
глубоко	gluboko	glubok o	glubok
глубокое	glubokoye	glubok oye	glubok
глубокой	glubokoy	glubok oy	glubok
гнойные	gnoynyye	gn oy n yye	gn
говорится	govoritsya	govor it sya	govor
говоря	govorya	govor ya	govor
головная	golovnaya	golov n aya	golov
голод	golod	golod	golod
горные	gornyye	gor n yye	gor
горных	gornyh	gor n yh	gor
город	gorod	gorod	gorod
городке	gorodke	gorod k e	gorod
городской	gorodskoy	gorod sk oy	goro<zh>
горожан	gorozhan	goro<zh> an	goro<zh>
горожанам	gorozhanam	goro<zh> an am	goryach
горячие	goryachiye	goryach iye	Gos
Госдумы	Gosdumy	Gos dum y	dum
готовил	gotovil	gotov i l	gotov
град	grad	grad	grad
градом	gradom	grad om	grad
ГРАЖДАН	GRAZHDAN	GRAZHD AN	GRAZHD
гражданином	grazhdaninom	grazhd an in om	grazhd
гражданские	grazhdanskiye	grazhd an sk iye	grazhd
гражданской	grazhdanskoy	grazhd an sk oy	grazhd
граната	granata	granat a	granat
График	Grafik	Grafik	Grafik
Грецией	Gretsiyey	Gretsiy ey	Gretsiy
гриппа	grippa	gripp a	gripp
грозы	grozy	groz y	groz
грубейшие	grubeyshiye	grub eysh iye	grub
грузовых	gruzovyh	gruz ov yh	gruz
грузом	gruzom	gruz om	gruz
грунта	grunta	grunt a	grunt
группа	gruppa	grupp a	grupp
грядущего	gryaduschego	gryad usch ego	gryad
грязевого	gryazevogo	gryaz ev ogo	gryaz
гулять	gulyat'	gul ya t'	gul
гуманитарный	gumanitarnyy	guman itar n yy	guman
гуманитарным	gumanitarnym	guman itar n ym	guman
Да	Da	Da	Da
давненько	davnen'ko	davn en'k o	davn
Дальнейших	Dal'neyshih	Dal' n eysh ih	Dal'
Дальний	Dal'niy	Dal' n iy	Dal'
Дальше	Dal'she	Dal' she	Dal'
данного	dannogo	da nn ogo	da
данном	dannom	da nn om	da
данный	dannyy	da nn yy	da
данных	dannyh	da nn yh	da
Два	Dva	Dva	Dva
двигалось	dvigalos'	dvig a l o s'	dvig
двигателем	dvigatelem	dvig atel em	dvig
движение	dvizheniye	dvi<zh> eni ye	dvi<zh>
движения	dvizheniya	dvi<zh> eni ya	dvi<zh>
двое	dvoye	dv o ye	dv
двоих	dvoih	dv o ih	dv
двора	dvora	dvor a	dvor
двум	dvum	dv um	dv
двухмесячная	dvuhmesyachnaya	dv uh mesya<ch> n aya	dv
деды	dedy	ded y	mesya<ch>
дежурство	dezhurstvo	dezhur stv o	ded
действием	deystviyem	dey stv i yem	dezhur
декабре	dekabre	dekabr e	dey
деклассированные	deklassirovannyye	de klass ir ova nn yye	dekabr
дел	del	del	klass
денежные	denezhnyye	dene<zh> n yye	dene<zh>
день	den'	den'	den'
деньги	den'gi	den'g i	den'g
депрессии	depressii	depressi i	depressi
деревенский	derevenskiy	dereven sk iy	dereven
деревни	derevni	derevn i	derevn
деревушке	derevushke	derev ushk e	derev
деревьев	derev'yev	derev' yev	derev
держали	derzhali	derzh a l i	derzh
десяти	desyati	desyat i	desyat
десятка	desyatka	desyat k a	desyat
десятках	desyatkah	desyat k ah	desyat
десятки	desyatki	desyat k i	desyat
дети	deti	det i	det
дефицит	defitsit	defitsit	defitsit
дешевые	deshevyye	deshev yye	deshev
джоулей	dzhouley	dzhoul ey	dzhoul
диагноз	diagnoz	diagnoz	diagnoz
диапазоне	diapazone	diapazon e	diapazon
диареи	diarei	diare i	diare
Диарея	Diareya	Diare ya	Diare
диване	divane	divan e	divan
дилеры	dilery	diler y	diler
диоксида	dioksida	dioksid a	dioksid
дирекции	direktsii	direkt si i	direkt
дню	dnyu	dn yu	dn
добавил	dobavil	do bav i l	bav
добавила	dobavila	do bav i l a	bav
добровольцах	dobrovol'tsah	dobr o vol' ts ah	dobr vol'
дождевую	dozhdevuyu	dozhd ev uyu	dozhd
дождей	dozhdey	dozhd ey	dozhd
дождями	dozhdyami	dozhd yami	dozhd
документального	dokumental'nogo	dokument al'n ogo	dokument
долетел	doletel	do let e l	let
должен	dolzhen	dol<zh> en	dol<zh>
должна	dolzhna	dol<zh> n a	dol<zh>
долины	doliny	dolin y	dolin
дом	dom	dom	dom
доме	dome	dom e	dom
Доминикане	Dominikane	Dominikan e	Dominikan
доминировали	dominirovali	domin ir ova l i	domin
домом	domom	dom om	dom
Донбасса	Donbassa	Donbass a	Donbass
допустили	dopustili	do pust i l i	pust
дорогах	dorogah	dorog ah	dorog
Дороги	Dorogi	Dorog i	Dorog
дорогу	dorogu	dorog u	dorog
доставил	dostavil	dostav i l	dostav
доставлено	dostavleno	dostav l en o	dostav
достаточном	dostatochnom	dosta t och n om	dosta och
достигала	dostigala	dostig al a	dostig
достигать	dostigat'	dostig a t'	dostig
достигнут	dostignut	dostig n ut	dostig
доходила	dohodila	do hod i l a	hod
доходящие	dohodyaschiye	do hod yasch iye	hod
драка	draka	drak a	drak
другими	drugimi	drug imi	drug
других	drugih	drug ih	drug
Другой	Drugoy	Drug oy	Drug
дружественного	druzhestvennogo	dru<zh> estv enn ogo	dru<zh>
друзья	druz'ya	dru<z>' ya	dru<z>'
думать	dumat'	dum a t'	dum
Дунай	Dunay	Dunay	Dunay
Духовного	Duhovnogo	Duh ovn ogo	Duh
душевых	dushevyh	du<sh> ev yh	du<sh>
душем	dushem	du<sh> em	du<sh>
души	dushi	du<sh> i	du<sh>
евро	yevro	yevro	yevro
европейские	yevropeyskiye	yevrop ey sk iye	yevrop
Евросоюза	Yevrosoyuza	Yevr o soyuz a	Yevr soyuz
Егор	Yegor	Yegor	Yegor
еду	yedu	yed u	yed
еды	yedy	yed y	yed
ежегодно	yezhegodno	yezhe god n o	yezhe god
ежедневного	yezhednevnogo	yezhe dn evn ogo	yezhe dn
если	yesli	yesli	yesli
Есть	Yest'	Yest'	Yest'
ждем	zhdem	zhd em	zhd
ждут	zhdut	zhd ut	zhd
женщина	zhenschina	zhen schin a	zhen
жерла	zherla	zherl a	zherl
жерло	zherlo	zherl o	zherl
Жертвам	Zhertvam	Zhertv am	Zhertv
Жертвами	Zhertvami	Zhertv ami	Zhertv
жертвах	zhertvah	zhertv ah	zhertv
жертвы	zhertvy	zhertv y	zhertv
жесткие	zhestkiye	zhestk iye	zhestk
жестоких	zhestokih	zhestok ih	zhestok
жестокости	zhestokosti	zhestok ost i	zhestok
живешь	zhivesh'	zhiv esh'	zhiv
живого	zhivogo	zhiv ogo	zhiv
живущих	zhivuschih	zhiv usch ih	zhiv
жидкости	zhidkosti	zhidk ost i	zhidk
жидкость	zhidkost'	zhidk ost'	zhidk
жилого	zhilogo	zhil ogo	zhil
Жителям	Zhitelyam	Zhi tel yam	Zhi
журнала	zhurnala	zhurnal a	zhurnal
заболеваемости	zabolevayemosti	za bol e va yem ost i	bol
заболеваниями	zabolevaniyami	za bol e va ni yami	bol
заболевших	zabolevshih	za bol e vsh ih	bol
заболели	zaboleli	za bol e l i	bol
забрал	zabral	za br a l	br
завершается	zavershayetsya	za versh a yet sya	versh
зависят	zavisyat	zavis yat	zavis
завозить	zavozit'	za voz i t'	voz
заглохнуть	zaglohnut'	za gloh nu t'	gloh
загнало	zagnalo	za gn a l o	gn
загрязненного	zagryaznennogo	za gryaz n enn ogo	gryaz
загрязнёнными	zagryaznonnymi	za gryaz n onn ymi	gryaz
задавить	zadavit'	za dav i t'	dav
задействованы	zadeystvovany	za dey stv ova n y	dey
задержаться	zaderzhat'sya	za derzh a t' sya	derzh
задымления	zadymleniya	za dyml eni ya	dyml
заирский	zairskiy	zair sk iy	zair
закрытых	zakrytyh	za kry t yh	kry
залегал	zalegal	za leg a l	leg
залив	zaliv	zaliv	zaliv
заложниками	zalozhnikami	za lo<zh> nik ami	lo<zh>
замдиректора	zamdirektora	zam direk tor a	direk
замыкания	zamykaniya	za myk a ni ya	myk
занимается	zanimayetsya	za nim a yet sya	nim
заостряло	zaostryalo	za ostr ya l o	ostr
западного	zapadnogo	zapad n ogo	zapad
Западной	Zapadnoy	Zapad n oy	Zapad
западном	zapadnom	zapad n om	zapad
западные	zapadnyye	zapad n yye	zapad
западом	zapadom	zapad om	zapad
запах	zapah	zapah	plat
заплатят	zaplatyat	za plat yat	zap
запчасти	zapchasti	zap chast i	chast
заражения	zarazheniya	zara<zh> eni ya	zara<zh>
зараженными	zarazhennymi	zara<zh> enn ymi	zara<zh>
зараженных	zarazhennyh	zara<zh> enn yh	zara<zh>
заражены	zarazheny	zara<zh> en y	zara<zh>
заразились	zarazilis'	zaraz i l i s'	zaraz
зарубежных	zarubezhnyh	za rube<zh> n yh	rube<zh>
зарубежья	zarubezh'ya	za rube<zh>' ya	rube<zh>'
заснеженных	zasnezhennyh	za sne<zh> enn yh	sne<zh>
застрявшими	zastryavshimi	zastr ya vsh imi	zastr
засух	zasuh	za suh	suh
засуха	zasuha	za suh a	suh
затопили	zatopili	za top i l i	top
затопленных	zatoplennyh	za topl enn yh	topl
Затоплено	Zatopleno	Za topl en o	topl
затоплены	zatopleny	za topl en y	topl
затраты	zatraty	za trat y	trat
зафиксировали	zafiksirovali	za fiks ir ova l i	fiks
зачем	zachem	zachem	zachem
защитит	zaschitit	zaschit it	zaschit
защитные	zaschitnyye	zaschit n yye	zaschit
защищены	zaschischeny	zaschi<sch> en y	zaschi<sch>
заявил	zayavil	zayav i l	zayav
заявило	zayavilo	zayav i l o	zayav
звуковой	zvukovoy	zvuk ov oy	zvuk
здесь	zdes'	zdes'	zdes'
здравоохранение	zdravoohraneniye	zdrav o o hran eni ye	zdrav hran
здравоохранению	zdravoohraneniyu	zdrav o o hran eni yu	zdrav hran
Зейское	Zeyskoye	Zeysk oye	Zeysk
земель	zemel'	zemel'	zemel'
Земле	Zemle	Zeml e	Zeml
землетресений	zemletreseniy	zeml e tres eni y	zeml tres
земли	zemli	zeml i	zeml
Земли	Zemli	Zeml i	Zeml
зим	zim	zim	zim
зима	zima	zim a	zim
зимой	zimoy	zim oy	zim
знак	znak	znak	znak
знаменитого	znamenitogo	znamenit ogo	znamenit
знать	znat'	zna t'	zna
значительный	znachitel'nyy	zna<ch> i tel'n yy	zna<ch>
золота	zolota	zolot a	zolot
зона	zona	zon a	zon
зоне	zone	zon e	zon
зорко	zorko	zork o	zork
игнорирует	ignoriruyet	ignor ir u yet	ignor
идет	idet	id et	id
идёт	idot	id ot	id
извергается	izvergayetsya	izverg a yet sya	izverg
извержение	izverzheniye	izver<zh> eni ye	izver<zh>
извержения	izverzheniya	izver<zh> eni ya	izver<zh>
известия	izvestiya	iz vest i ya	vest
Известно	Izvestno	Iz vest n o	vest
извинить	izvinit'	iz vin i t'	vin
изначально	iznachal'no	iz na cha l' n o	cha
изобретатели	izobretateli	izobret a tel i	izobret
израильтянах	izrail'tyanah	izrail' t yan ah	izrail'
Израиля	Izrailya	Izrail ya	Izrail
изучением	izucheniyem	iz uch eni yem	uch
имевший	imevshiy	ime vsh iy	ime
имеет	imeyet	ime yet	ime
Имеется	Imeyetsya	Ime yet sya	Ime
имела	imela	ime l a	ime
имена	imena	im en a	im
имени	imeni	im en i	im
имеют	imeyut	ime yut	ime
имеющий	imeyuschiy	ime yusch iy	ime
имеющим	imeyuschim	ime yusch im	ime
имеющими	imeyuschimi	ime yusch imi	ime
имеющих	imeyuschih	ime yusch ih	ime
иммунизацию	immunizatsiyu	immun iz atsi yu	immun
иная	inaya	in aya	in
ингушских	ingushskih	ingush sk ih	ingush
Индией	Indiyey	Indi yey	Indi
Индии	Indii	Indi i	Indi
Индийские	Indiyskiye	Indiy sk iye	Indiy
индийского	indiyskogo	indiy sk ogo	indiy
Индия	Indiya	Indi ya	Indi
иномарки	inomarki	in o mark i	in mark
интенсивность	intensivnost'	intens iv n ost'	intens
интенсивными	intensivnymi	intens iv n ymi	intens
инфекционные	infektsionnyye	infektsi onn yye	infektsi
инфекционных	infektsionnyh	infektsi onn yh	infektsi
инфицированными	infitsirovannymi	infits ir ova nn ymi	infits
инфографику	infografiku	info grafik u	info grafik
инфогруппы	infogruppy	info grupp y	info grupp
информации	informatsii	inform atsi i	inform
Информации	Informatsii	Inform atsi i	Inform
инфраструктурных	infrastrukturnyh	infra struktur n yh	struktur
инъекции	in"yektsii	in"yek tsi i	yek
иранского	iranskogo	iran sk ogo	iran
иранской	iranskoy	iran sk oy	iran
исключено	isklyucheno	isklyuch en o	isklyuch
искренне	iskrenne	iskrenn e	iskrenn
исламским	islamskim	islam sk im	islam
Исламское	Islamskoye	Islam sk oye	Islam
Испанию	Ispaniyu	Ispan i yu	Ispan
Использование	Ispol'zovaniye	Is pol'z ova ni ye	pol'z
использовании	ispol'zovanii	is pol'z ova ni i	pol'z
использования	ispol'zovaniya	is pol'z ova ni ya	pol'z
испугался	ispugalsya	is pug a l sya	pug
испытаниям	ispytaniyam	ispyt a ni yam	ispyt
Исследование	Issledovaniye	Issledova ni ye	Issledova
исследования	issledovaniya	issledova ni ya	issledova
истинные	istinnyye	istin n yye	istin
история	istoriya	istori ya	istori
источника	istochnika	istochnik a	istochnik
источникам	istochnikam	istochnik am	istochnik
источниках	istochnikah	istochnik ah	istochnik
исход	ishod	ishod	ishod
Йемене	Yyemene	Yyemen e	Yyemen
кавказцы	kavkaztsy	kavkazts y	kavkazts
кадры	kadry	kadr y	kadr
каждому	kazhdomu	kazhd omu	kazhd
каждый	kazhdyy	kazhd yy	kazhd
каждых	kazhdyh	kazhd yh	kazhd
Казахстана	Kazahstana	Kazahstan a	Kazahstan
Казахстане	Kazahstane	Kazahstan e	Kazahstan
Как	Kak	Kak	Kak
какие	kakiye	kak iye	kak
Какие	Kakiye	Kak iye	Kak
календарем	kalendarem	kalendar em	kalendar
Калифорнии	Kalifornii	Kaliforn i i	Kaliforn
камеры	kamery	kamer y	kamer
Камчатке	Kamchatke	Kamchatk e	Kamchatk
канадские	kanadskiye	kanad sk iye	kanad
каникулы	kanikuly	kanikul y	kanikul
капитана	kapitana	kapitan a	kapitan
капризов	kaprizov	kapriz ov	kapriz
картошкой	kartoshkoy	kartoshk oy	kartoshk
карту	kartu	kart u	kart
Касательно	Kasatel'no	Kas a tel'n o	Kas
катаклизма	kataklizma	katakl izm a	katakl
катастрофе	katastrofe	katastrof e	katastrof
катастрофичный	katastrofichnyy	katastrof ichn yy	katastrof
катастрофичным	katastrofichnym	katastrof ichn ym	katastrof
катастрофы	katastrofy	katastrof y	katastrof
категории	kategorii	kategor ii	kategor
качество	kachestvo	kachestv o	kachestv
километрах	kilometrah	kilo metr ah	kilo metr
километре	kilometre	kilo metr e	kilo metr
километры	kilometry	kilo metr y	kilo metr
кипит	kipit	kip it	kip
классификации	klassifikatsii	klass ifik atsi i	klass
классу	klassu	klass u	klass
клеток	kletok	klet ok	klet
климата	klimata	klimat a	klimat
клинический	klinicheskiy	klinich esk iy	klinich
