token	segmentation	root
Coloradóban	Coloradó ban	Coloradó 
csak	csak	csak
csakhogy	csak hogy	csak 
családjainak	család ja i nak	család 
csapást	csapás t	csapás 
csapat	csapat	csapat
csapatoknak	csapat ok nak	csapat 
csata	csata	csata
cserkészeknél	cserkész ek nél	cserkész 
csökkenést	csökken és t	csökken 
csomagokat	csomag ok at	csomag 
csoportosíthatjuk	csoport os ít hat juk	csoport 
csúcsára	csúcs á ra	csúcs 
csúcstól	csúcs tól	csúcs 
csupa	csupa	csupa
csütörtök	csütörtök	csütörtök
csütörtöki	csütörtök i	csütörtök 
Cunami	Cunami	Cunami
darab	darab	darab
decemberében	december é ben	december 
délelőtti	dél előtt i	dél 
délig	dél ig	dél 
délnyugati	dél nyugat i	dél 
délt	dél t	dél 
délután	dél után	dél 
Demokratikus	Demokratikus	Demokratikus
derül	derül	derül
Dicső	Dicső	Dicső
díjnyertes	díj nyert es	díj 
díszes	dísz es	dísz
díszítenek	dísz ít e nek	dísz 
doktor	doktor	doktor
doktort	doktor t	doktor
dokumentumok	dokument um ok	dokument 
dolgozó	dolgozó	dolgozó
dolgozom	dolgoz om	dolgoz 
dolgoztak	dolgoz tak	dolgoz 
dollár	dollár	dollár
dolláros	dollár os	dollár 
dollárral	dollárr al	dollárr 
dombornyomott	domb or nyom ott	domb 
döntök	dönt ök	dönt 
Doshaliai	Doshalia i	Doshalia
drámaian	dráma i an	dráma 
Drónok	Drón ok	Drón 
drótkötélpályán	drót kötél pályá n	drót 
dúló	dúló	dúl
Dunántúlon	Dunántúl on	Dunántúl 
ebola	ebola	ebola
ebolajárvány	ebola járvány	ebola 
eboláról	ebolá ról	ebolá 
eddig	eddig	eddig
effajta	e ffajta	fajta
égbolt	ég bolt	ég 
éger	éger	éger
égettek	ég et tek	ég 
Eggy	Eggy	Eggy
Egy	Egy	Egy
egyenlore	egyenlo re	egyenlő
Egyesült	Egy es ül t	Egy
egyet	egy et	egy 
Egyetlen	Egy etlen	Egy 
egyezést	egy ez és t	egy 
egyformák	egy formá k	egy 
egymástól	egy más tól	egy 
Egymillió	Egy millió	Egy 
egységeinek	egység e i nek	egy
Egyszóval	Egy szó val	Egy 
együttműködést	egy ütt működés t	egy 
egzotikus	egzotik us	egzotikus
éjszakai	éj szaka i	éj
éjszakát	éj szaká t	éj
elaludni	el aludni	el
elalváshoz	el alvás hoz	el
elalvást	el alvás t	el 
Eleinte	Eleinte	Eleinte
elején	elejé n	eleje
elejétől	elejé től	eleje
El	El	El
él	él	él
élelem	élelem	élelem
élelmiszerárakat	élelmiszer ár ak at	élel
élelmiszerből	élelmiszer ből	élel
élelmiszerek	élelmiszer ek	élel
élelmiszer	élelmiszer	élel
elemzője	elem ző je	elem
elérhető	el érhet ő	ér
életed	él et e d	él
élettartama	él et tartam a	él 
életüke	él et ük e	él 
elfogták	el fogták	fogták
elfogyott	el fogy ott	fogy
elhagyniuk	el hagy ni uk	hagy
elhanyagolható	el hanyagol hat ó	hanyag
elítéli	el ítél i	ítél
eljárást	el jár ás t	jár
eljutottunk	el jut ott unk	jut
elkapás	el kap ás	kap
elkapható	el kap hat ó	kap
elkerülni	el kerüln i	kerüln
elkezdett	el kezd ett	kezd
elkezdődött	el kezd ő dött	kezd
elkezdődtek	el kezd ő dtek	kezd 
ellátórendszer	el lát ó rendszer	lát 
ellen	ellen	ellen
elleni	ellen i	ellen
ellenőrzésének	ellen őr zés é nek	ellen
ellentétben	ellen tét ben	ellen 
elmentek	el ment ek	ment
elmentünk	el ment ünk	ment
elmondani	el mond ani	mond
Elmondása	El mond ás a	mond
elmondható	el mond hat ó	mond
előállítására	elő áll ít ás á ra	áll
elõbb	elõbb	elõbb
Előbbiben	Előbb i ben	Előbb 
élőben	élő ben	él
elő	elő	elő
előfordul	elő fordul	elő
előfordult	elő fordul t	elő 
élők	élő k	él
elől	elő l	elő
elõrejelzések	elõre jelzés ek	elõre
élősködő	élő s köd ő	él
Eloszor	Eloszor	Eloszor
elosztására	el oszt ás á ra	oszt 
előtte	előtte	előtt
előzhető	el őz het ő	előz
elpusztítja	el pusztít ja	pusztít
elpusztult	el pusztul t	pusztul 
elsetaltunk	el setal t unk	setal
Elsőfokú	Első fok ú	fok
elsöpörtek	els öpört ek	söpör
Elsősorban	Első sor ban	sor
elszabadult	el szabad ul t	szabad
elszállítsák	el szállít sák	szállít
elszántságát	el szánt sá gát	elszánt
elszaporodni	el szaporod ni	szaporod 
eltérő	el tér ő	tér
eltöltöttünk	el töltöt t ünk	tölt
eltúloztam	el túloz tam	túloz
eltűnt	el tűn t	tűn
Elvben	Elv ben	Elv 
elvesztettem	el veszt ett em	veszt
elviekben	elv iek ben	elv
elvisel	el visel	visel
elvitte	el vitt e	vitt 
elvonult	el von ul t	von
emberekkel	ember ek kel	ember
ember	ember	ember
emberiség	ember i ség	ember
embernek	ember nek	ember
emberről	ember ről	ember 
embert	ember t	ember 
emelkedjen	emel ked jen	emel 
Emiatt	E miatt	miatt
Engedélyezési	Engedély e z é si	Engedély 
ennek	ennek	ennek
ennyi	ennyi	ennyi
Építészet	Épít ész et	Épít
építette	épít ett e	épít
építtette	építt ett e	építt 
éppen	éppen	éppen
épületegyüttesében	épül et egy ütt es é ben	épül
epuletekben	epul et ek ben	epul 
epuletektol	epul et ek tol	epul 
epulet	epul et	epul
erdei	erde i	erde
érdekelne	érdek el ne	érdek
Érdekes	Ér dek es	Ér
erdő	erdő	erdő
erdoirtasi	erdo irtas i	erdo 
erdőkre	erdő k re	erdő 
erdőtüzet	erdő tüz et	erdő 
erdőtűzveszélyes	erdő tűz veszély es	erdő 
erdőtűzzel	erdő tűz zel	erdő 
eredetileg	ered et i leg	ered
eredmény	ered mény	ered
ereje	ere je	erő
erejû	ere jû	erő
erejű	ere jű	erő
érésekor	érés e kor	ér
ereszkedett	ereszked ett	ereszked
érhetőek	ér het ő ek	ér
érhette	ér hett e	ér 
érik	ér ik	ér
Érintett	Érint ett	Érint
érintheti	érint het i	érint 
érintkezéssel	érint kez és sel	érint
érintkezett	érint kez ett	érint
érintkező	érint kez ő	érint 
érintkeztek	érint kez tek	érint 
érintő	érint ő	érint 
érkezett	érkez ett	ér
erőművek	erő műv ek	erő 
erõre	erõ re	erõ 
Erős	Erő s	Erő
erősödőben	erő s öd ő ben	erő 
erõsödött	erõ s öd ött	erõ 
erossegu	ero s seg u	ero 
erõsségû	erõ s ség û	erõ 
erõvel	erõ vel	erõ 
értékű	ér ték ű	ér 
értelmében	értel mé ben	értel 
ertem	ert em	ert 
ért	ért	ért
érti	ért i	ért 
értünk	ért ünk	ért 
eséllyel	esélly el	esélly
események	esemény ek	esemény
És	És	És
esetben	eset ben	eset 
eset	eset	eset
eshet	es het	es 
eső	eső	eső
esőt	eső t	eső 
esőzéseket	eső zés ek et	eső 
Este	Este	Este
estek	este k	este 
estig	est ig	est 
észak	észak	észak
eszközök	eszköz ök	eszköz 
eszközzel	eszköz zel	eszköz 
észlelt	észlel t	ész
eszünkbe	eszünk be	esz
ettől	ettől	ettől
Európából	Európá ból	Európá 
Európa	Európa	Európa
európaitól	európa i tól	európa 
evakuációs	evakuáció s	evakuáció 
évente	év ente	év 
év	év	év
évvel	év vel	év 
exportál	export ál	export 
extrém	extrém	extrém
Ezáltal	Ez által	által
Ezeket	Ezek et	Ez
ezelőtt	ez előtt	ez 
Ezreket	Ezre ket	Ez<e>r
ezt	ezt	ezt
ezúton	ez út on	út
ezzel	ez zel	ez 
Facebookon	Facebook on	Facebook 
fafaj	fa faj	fa 
fafajválasztással	fa faj választ á ssal	fa 
fagylalt	fagy lal t	fagy 
fagymentes	fagy mentes	fagy 
fájdalmat	fáj dal mat	fáj 
fáj	fáj	fáj
fákban	fák ban	fák 
fakidõlések	fa ki dõl és ek	fa
falait	fal a it	fal 
fal	fal	fal
faluban	falu ban	falu 
Falurekonstrukciós	Falu re konstrukció s	Falu 
falusiak	falu si ak	falu 
fedező	fed ez ő	fed
fedezték	fed ez ték	fed
fegyvergyártók	fegyver gyárt ó k	fegyver 
fejfájást	fej fájás t	fej 
fejlesztésére	fejleszt és é re	fejleszt 
fejleszt	fejleszt	fejleszt
fejsérülésekkel	fej sérül és ekk el	fej 
fejsérülést	fej sérül ést	fej 
fekvő	fek vő	fek 
feladattal	feladat tal	feladat 
felbukkan	fel bukkan	bukkan
felbukkant	fel bukkan t	bukkan
felébe	felé be	fel
félelmében	félelm é ben	fél
felelőssége	felelős ség e	felel
felelőtlen	felel ő t len	felel 
felesleges	felesleg es	feles
felfedezést	fel fedez és t	fedez
felhasználása	fel használ ás a	használ
felhasználói	fel használ ó i	használ
Felhőcunami	Felhő cunami	cunami
felhőkarcoló	felhő karcol ó	felhő
felhozatalával	fel hoz at a lával	hoz 
felismerni	fel ismer ni	ismer
felismerték	fel ismer t ék	ismer 
felkapom	fel kap om	kap 
felkészülni	fel készül ni	készül 
fellazították	fel lazít ott á k	lazít
Felnezek	Fel nez ek	nez 
felnőtt	fel nő tt	nő
félreértés	fél re ért és	ért 
Félszáz	Fél száz	száz
felszerelés	fel szer e lés	szer
feltámadó	fel támad ó	támad
feltárja	fel tár ja	tár
feltehetőleg	fel tehet őleg	tehet 
feltétele	fel tétel e	tétel
feltételekben	fel tétel ek ben	tétel 
féltucatnyi	fél tucat nyi	tucat 
felvegyék	fel vegyé k	vegyé
felvételeket	fel vétel ek et	vétel
felvezető	fel vezet ő	vezet
felvilágosítják	fel világos ít ják	világ
Fennáll	Fenn áll	áll
fenntartásához	fenn tart ás á hoz	tart 
fenntartható	fenn tart hat ó	tart 
férfit	férfi t	férfi 
fertőtlenített	fertő tlen í tett	fertő
fertőzési	fertő z és i	fertő
fertőzéskor	fertő z és kor	fertő 
fertőzést	fertő z és t	fertő 
fertőződik	fertő z ő dik	fertő
fertőzőképessé	fertő z ő képess é	fertő
fertőzőtt	fertő z őtt	fertő
fertőzővé	fertő z ő vé	fertő 
feszültségek	feszül t sé gek	feszül 
fiatalabb	fiatal abb	fiatal 
figyelembe	figyel em be	figyel 
figyelmet	figyel me t	figyel 
figyelmeztet	figyel me z tet	figyel 
figyelték	figyel t ék	figyel 
finanszírozása	finanszíroz á sa	finanszíroz 
finomkodott	finom kod ott	finom 
fiú	fiú	fiú
fiúk	fiú k	fiú 
Floridáig	Floridá ig	Floridá 
fogászati	fog ász at i	fog 
fogkefe	fog kefe	fog 
foglalkozó	fog lal koz ó	fog 
foglalták	fog lal t ák	fog 
fognak	fog nak	fog 
főként	fő ként	fő 
fokozatú	fok oz at ú	fok 
fokozott	fok oz ott	fok 
fokozták	fok oz ták	fok
föld	föld	föld
földrengései	föld reng és e i	föld 
földrengéseket	föld reng és ek et	föld 
foldrenges	fold reng es	fold 
földrengéshez	föld reng és hez	föld 
földrengésnek	föld reng és nek	föld 
fölött	föl ött	föl
folyadékhoz	folyadék hoz	foly
folyamatok	folyamat ok	foly
folyamatosan	folyamat os an	foly
folyamatos	folyamat os	foly
folyóiratban	folyó irat ban	foly
folyón	folyó n	foly
folytatja	foly tat ja	foly 
fonálférgesség	fonál férges ség	fér<e>g
fontosabb	fontos abb	fontos 
főorvos	fő orvos	orvos
fordítják	fordít ják	fordít 
fordultak	fordul tak	fordul 
főre	főre	fő
forgó	forg ó	for<o>g 
forgószelek	forg ó szelek	for<o>g 
forradalmak	forradal mak	forr
fortyogó	for tyog ó	for
fortyogott	for tyog ott	for 
Fórum	Fórum	Fórum
fosszilis	fosszil is	fosszil
fosztottak	fosztott ak	foszt
fotós	fotó s	fotó 
főúton	fő út on	út 
fővárosban	fő város ban	város
fővárosból	fő város ból	város
fõváros	fõ vár os	város
Franciaországban	Francia ország ban	Francia
Franciaország	Francia ország	Francia 
Friss	Friss	Friss
fújta	fúj t a	fúj 
fulladozva	full ad oz va	full 
Fuoco	Fuoco	Fuoco
Furcsa	Furcsa	Furcsa
furcsasága	furcsa ság a	furcsa 
gabonaárak	gabona árak	gabona 
Gárdát	Gárdá t	Gárdá 
Garowét	Garow ét	Garow
gátlása	gátlás a	gát
Gazdaság	Gazda ság	Gazda 
gazdasági	gazda ság i	gazda 
gazdaságnak	gazda ság nak	gazda 
gáz	gáz	gáz
generációnyi	generáció nyi	generáció 
Geológiai	Geológia i	Geológia 
geológusok	geológus ok	geológus 
Georgiában	Georgiá ban	Georgiá 
gépkocsi	gép kocsi	kocsi
globális	globális	globális
gomolygó	gomoly gó	gomoly 
gondatlanság	gond at lan ság	gond
gondoskodott	gond os ko dott	gond 
Görögországban	Görög ország ban	Görög 
Guatemalában	Guatemalá ban	Guatemalá 
guatemalai	guatemala i	guatemala 
Guineában	Guineá ban	Guineá 
gyakoriak	gyakori ak	gyakori 
gyakori	gyakori	gyakori
gyakorlatot	gyakorlat ot	gyakorlat 
gyakorolt	gyakorol t	gyakorol 
gyanúja	gyanú ja	gyanú 
gyengébb	gyengé bb	gyengé 
gyengülve	gyengül ve	gyengül 
gyerekeket	gyerek ek et	gyerek 
gyermekbénulás	gyermek bénul ás	gyermek 
gyermekedet	gyermek ed et	gyermek 
gyermekekért	gyermek ek ért	gyermek 
gyermeket	gyermek et	gyermek 
gyermekosztály	gyermek osztály	gyermek 
gyógyszerek	gyógy szer ek	gyógy 
gyógyszerszedés	gyógy szer szed és	gyógy 
gyönyörködött	gyönyör köd ött	gyönyör 
gyönyörködtetőek	gyönyör köd tet ő ek	gyönyör 
gyönyörűen	gyönyörű en	gyönyörű 
gyorsabban	gyors abb an	gyors 
gyors	gyors	gyors
gyötrik	gyötri k	gyöt<ör>
gyűjtés	gyűjt és	gyűjt
gyümölcs	gyümölcs	gyümölcs
gyűrű	gyűrű	gyűrű
hagyja	hagy j a	hagy 
hagytam	hagy tam	hagy 
ha	ha	ha
hajnalra	hajnal ra	hajnal 
halállal	halál l al	halál 
halálozás	halál oz ás	halál 
halász	hal ász	hal 
halottal	halo t tal	halott
halottról	halot t ról	halott
hamar	hamar	hamar
hamuréteg	hamu réteg	hamu 
hamuval	hamu val	hamu 
hangadója	hang adó ja	hang 
hangyak	hangy ak	hangya
hangzavart	hang zavar t	hang 
hanyadikra	hanyadik ra	hany
harcban	harc ban	harc
harmadik	harm adik	harm 
hármas	hárm as	hárm
háromkor	három kor	három 
háromszor	három szor	három 
hashtagen	hashtag en	hashtag 
hashtaget	hashtag et	hashtag 
Hasszán	Hasszán	Hasszán
használatának	használ at á nak	használ 
használatával	használ at á val	használ 
használni	használ ni	használ 
hasznosítása	hasznos ít á sa	hasznos 
határán	határ án	határ
határos	határ os	határ 
határozza	határ oz za	határ 
határt	határ t	határ 
hatásukat	hatás uk at	hatás 
hatékonyak	hatékony ak	hatékony 
hátránya	hát rány a	hát 
havat	ha vat	h<ó>
havazás	havaz ás	h<ó>
házadba	ház ad ba	ház
haza	haz a	haz 
házak	ház ak	ház 
hazaküldték	haza küld ték	haza 
hazánk	hazá nk	hazá 
hazauzenni	haz a uzenn i	haza 
házba	ház ba	ház 
háziorvost	házi orvos t	ház
háztömbök	ház tömb ök	ház 
hegyekből	hegy ek ből	hegy
hegyimentőknek	hegyi mentő k nek	hegy
hegyivezetőkkel	hegyi vezető k kel	hegy
hegymászókat	hegy mászó k at	hegy
helikopterek	helikopter ek	helikopter 
helikopter	helikopter	helikopter
helyek	hely ek	hely 
helyenként	helyen ként	hely
helyére	hely é re	hely
helyesbítette	helyes bít et te	helyes 
helyezkedik	helyez ked ik	hely
helyivel	hely i vel	hely 
helyrehozhatatlan	hely re hoz hat atlan	hely 
helyünk	hely ünk	hely 
helyzetnek	hely zet nek	hely 
henger	henger	henger
hepatitistől	hepatitis től	hepatitis 
hepatitisz	hepatitisz	hepatitisz
hetek	het ek	het 
héten	hét en	hét 
hétig	hét ig	hét 
héttagú	hét tag ú	hét 
hétvégén	hét végé n	hét 
hiányában	hiány á ban	hiány
hiányzik	hiány zik	hiány
hidegfront	hideg front	hideg 
hidegrekord	hideg rekord	hideg 
higanyszála	higany szál a	higany 
higiénés	higién és	higién 
hipszterei	hipszter ei	hipszter 
híradások	hír adás ok	hír 
híre	hír e	hír 
hírekhez	hír ek hez	hír 
Hírlevél	Hír levél	Hír 
hírt	hír t	hír 
hiszen	hisz en	hisz 
hivatalból	hivatal ból	hivatal 
hívta	hív ta	hív 
hogy	hogy	hogy
holttestekhez	holt testek hez	holt 
hónap	hó nap	hó
hónapok	hó nap ok	hó 
hónapokon	hó nap ok on	hó 
hónapokra	hó nap ok ra	hó 
hónapra	hó nap ra	hó 
honlapja	hon lap ja	hon 
hóolvadás	hó olvad ás	hó 
horgonyzott	horgony zott	horgony 
hosszabb	hossz abb	hossz 
hosszadalmas	hossz a dal mas	hossz 
hosszan	hossz an	hossz
hosszasan	hossz asa n	hossz 
hotelekben	hotel ek ben	hotel 
Hotel	Hotel	Hotel
hótömeg	hó tömeg	hó 
hóvihar	hó vihar	hó 
hozamuk	hoz am uk	hoz 
hoz	hoz	hoz
hozzáférésről	hozzá férés ről	hozzá 
hozzáférést	hozzá férés t	hozzá 
hozzáférnek	hozzá fér nek	hozzá 
hozza	hozz a	hozz 
huledeztek	huledez tek	huledez 
hullámok	hullám ok	hullám
Hurrikán	Hurrikán	Hurrikán
hurrikánközpont	hurrikán központ	hurrikán 
hurrikánszezon	hurrikán szezon	hurrikán 
húszéves	húsz éves	húsz 
húsz	húsz	húsz
húztak	húz ta k	húz 
ideje	ide je	ide 
időben	idő ben	idő 
időjárás	idő járás	idő 
időjárási	idő járás i	idő 
időjárást	idő járás t	idő 
időléptékét	idő lép ték ét	idő 
időre	idő re	idő 
Idősebb	Idő s ebb	Idő 
Idovel	Ido vel	Ido 
Igazgatóság	Igaz gat ó ság	Igaz 
igénybe	igény be	igény 
igényel	igény el	igény 
igyekeztek	igyekez tek	igyekez 
igy	igy	igy
illeti	illet i	illet 
illetve	illet ve	illet 
illúziói	illúzió i	illúzió 
ilyeneket	ilyen ek et	ilyen 
ilyenkor	ilyen kor	ilyen 
ilyet	ilyet	ilyet
imáink	imái nk	imái 
imám	imá m	imá
immunrendszere	immun rendszer e	immun 
import	import	import
Imrehegy	Imre hegy	Imre hegy
indonéziai	indonézia i	indonézia 
Indonéziát	Indonéziá t	Indonéziá 
indulnak	indul nak	indul 
indultunk	indul t unk	indul 
Infók	Infó k	Infó 
információkhoz	információ k hoz	információ 
inteligencia	inteligencia	inteligencia
intenzitása	intenzitás a	intenzitás 
intenzívebb	intenzív ebb	intenzív 
intenzív	intenzív	intenzív
interjú	interjú	interjú
intézkedések	intéz ked é sek	intéz 
ipar	ipar	ipar
Ipolytarnócnak	Ipolytarnóc nak	Ipolytarnóc 
Ipolytarnócon	Ipolytarnóc on	Ipolytarnóc 
iráni	irán i	irán 
iranyba	irany ba	irany 
irany	irany	irany
irasakor	ir as a kor	ir 
írásbeli	ír ás bel i	ír 
írás	ír ás	ír 
irodank	ir oda nk	ir 
írták	ír t á k	ír 
irtam	ir t am	ir
írtunk	ír t unk	ír 
Isfahani	Isfahan i	Isfahan 
is	is	is
iskolájának	iskolá já nak	iskolá 
iskolás	iskolá s	iskolá 
ismereteink	ismer et e ink	ismer 
ismerős	ismer ős	ismer 
istentisztelet	isten tisztel et	isten 
iszapkúpot	iszap kúp ot	iszap 
Iszlám	Iszlám	Iszlám
italt	ital t	ital 
ítéletidő	ítél et idő	ítél 
ítéltek	ítél t ek	ítél 
ivóvízellátása	ivó víz el lát ás a	víz
ivóvízellátás	ivó víz el lát ás	víz 
izgulhattuk	izgul hat tuk	izgul 
izlandi	izland i	izland 
Izlandon	Izland on	Izland 
január	január	január
Japánt	Japán t	Japán 
járnánk	jár ná nk	jár 
járókelők	jár ó kelő k	jár
járványt	járvány t	járvány 
járványügyi	járvány ügy i	járvány 
Járványveszély	Járvány veszély	Járvány 
JÁRVÁNYVESZÉLY	JÁRVÁNY VESZÉLY	JÁRVÁNY 
játszhatnak	játsz hat nak	ját
javítása	javít ás a	javít 
Jégeső	Jég eső	Jég 
jegy	jegy	jegy
jegyünket	jegyün k et	jegy
jelenleg	jelen leg	jelen 
jelenségnek	jelen ség nek	jelen 
jelentés	jelent és	jelent 
jelentette	jelent ett e	jelent 
jelentettek	jelent ett ek	jelent 
jelentőségű	jelent ős ég ű	jelent 
jelentsenek	jelent se nek	jelent 
jelesre	jeles re	jeles 
jelezni	jelez ni	jelez 
jelezte	jelez te	jelez 
jellemzi	jellem zi	jellem 
jellemző	jellem ző	jellem 
Jemenben	Jemen ben	Jemen 
jobbos	jobb os	jobb 
jogos	jogos	jogos
jogszerűtlen	jog szerű tlen	jog 
jóindulatú	jó indul at ú	indul
jöjjön	jöjj ön	jö
jonnek	jon nek	jo
jött	jött	jö
jöttünk	jött ünk	jö
jovahagyast	jova hagy as t	hagy
július	július	július
Június	Június	Június
jutni	jut ni	jut 
juttathatunk	jut tat hatunk	jut 
kalandot	kaland ot	kaland 
Kalkuttai	Kalkutta i	Kalkutta 
kamion	kamion	kamion
kantalva	kantal va	kantal 
kapcsán	kapcs án	kapcs 
kapcsolatban	kapcsol at ban	kapcsol 
kaphatta	kap hat t a	kap 
kar	kar	kar
károkat	kár ok at	kár 
Károkról	Kár ok ról	Kár
károsított	kár os í tott	kár
kártyavetők	kártya vető k	kártya 
