token	segmentation
ɛbɛkyerɛ	ɛ bɛ kyerɛ
ɛbɛma	ɛ bɛ ma
ɛbɛnya	ɛ bɛ nya
ɛbɛpue	ɛ bɛ pue
ɛberɛ	ɛ berɛ
Ɛberɛ	Ɛ berɛ
ɛbɛtee	ɛ bɛ te e
ɛbɛto	ɛ bɛ to
ɛbɛtu	ɛ bɛ tu
ɛbɛtumi	ɛ bɛ tumi
ɛbɛtwa	ɛ bɛ twa
ɛbɛtwetwe	ɛ bɛ twe twe
ɛbɛyɛ	ɛ bɛ yɛ
ɛbɛyi	ɛ bɛ yi
ɛbia	ɛ bia
Ɛbia	Ɛ bia
Ebi	E bi
ɛbi	ɛ bi
ɛbifiri	ɛ bi firi
Ebinom	E binom
ɛboa	ɛ boa
ɛboaeɛ	ɛ boa eɛ
ɛbɔn	ɛ bɔn
ɛboɔ	ɛ boɔ
ɛboro	ɛ boro
Ebu	E bu
ɛda	ɛ da
Ɛda	Ɛ da
ɛdan	ɛ dan
ɛde	ɛ de
Ɛde	Ɛ de
ɛdeɛn	ɛ deɛn
edi	e di
ɛdi	ɛ di
ɛdɔ	ɛ dɔ
ɛdɔm	ɛ dɔm
ɛdɔɔso	ɛ dɔɔso
edu	e du
Ɛdu	Ɛ du
eduru	e duru
ɛduru	ɛ duru
ɛdwada	ɛ dwa da
edwa	e dwa
ɛdwa	ɛ dwa
Ɛdwoada	Ɛdwoada
ɛɛhoo	ɛ ɛhoo
ɛfa	ɛ fa
efie	e fie
efi	e fi
efii	e fii
ɛfiri	ɛ firi
Ɛfiri	Ɛ firi
ɛfirii	ɛ firi i
Ɛfirii	Ɛ firi i
ɛfoforɔ	ɛ foforɔ
egu	e gu
ɛgu	ɛ gu
ɛgum	ɛ gum
ɛguu	ɛ gu u
egya	e gya
ɛgye	ɛ gye
ɛgyina	ɛ gyina
Ɛha	Ɛ ha
ɛhanom	ɛ ha nom
ɛhare	ɛ hare
ɛhaw	ɛ haw
Ɛhefa	Ɛ hefa
ehia	e hia
ɛho	ɛ ho
Ɛho	Ɛ ho
ɛhɔ	ɛ hɔ
ɛhɔnom	ɛ hɔ nom
ɛhu	ɛ hu
Ɛhwɛɛ	Ɛ hwɛ ɛ
ɛhyɛ	ɛ hyɛ
ɛkaa	ɛ ka a
Ɛkaa	Ɛ ka a
ɛka	ɛ ka
ɛkakra	ɛ ka kra
ɛkasa	ɛ kasa
ɛkɔbaa	ɛ kɔ ba a
Ɛkɔba	Ɛ kɔ ba
Ɛkɔbɔɔ	Ɛ kɔ bɔ ɔ
ɛkɔeɛ	ɛ kɔ eɛ
ɛkɔ	ɛ kɔ
ɛkɔɔ	ɛ kɔ ɔ
ɛkorɔ	ɛ korɔ
ɛkɔsiiɛ	ɛ kɔ si i ɛ
ɛkum	ɛ kum
ɛkuo	ɛ kuo
ekuro	e kuro
ɛkwan	ɛ kwan
Ɛkwan	Ɛ kwan
ɛkyɛ	ɛ kyɛ
Ɛkyɛ	Ɛ kyɛ
ɛkyerɛɛ	ɛ kyerɛ ɛ
ɛkyerɛ	ɛ kyerɛ
Ɛmaa	Ɛ ma a
ɛma	ɛ ma
Ɛma	Ɛ ma
ɛman	ɛ man
ɛmene	ɛ mene
ɛmfa	ɛ  m fa
Ɛmfa	Ɛ m fa
ɛmmaa	ɛ  m <m>a a
ɛmma	ɛ m <m>a
Ɛmma	Ɛ m <m>a
ɛmmɛhye	ɛ m <m>ɛ hye
Ɛmmerɛ	Ɛ m <m>erɛ
ɛmmoa	ɛ m <m>oa
ɛmo	ɛ mo
ɛmpoano	ɛ mpoano
ɛmpo	ɛ mpo
ɛmsɛ	ɛ m sɛ
ɛmu	ɛ mu
ɛna	ɛ na
Ɛna	Ɛ na
ɛnam	ɛ nam
Ɛnam	Ɛ nam
Ɛneɛ	Ɛ ne ɛ
ɛne	ɛ ne
Ɛne	Ɛ ne
ɛnɛ	ɛ nɛ
ɛnhiaa	ɛ n hia a
ɛnie	ɛ ni e
ɛnkɔ	ɛ n kɔ
ɛnna	ɛ n na
ɛnneɛ	ɛ nne ɛ
Ɛnneɛ	Ɛ n ne ɛ
ɛnne	ɛ n ne
ɛnnɛ	ɛ n nɛ
Ɛnnɛ	Ɛ n nɛ
ɛnnim	ɛ n nim
ɛnnya	ɛ n <n>ya
ɛnnyɛ	ɛ <n>nyɛ
ɛno	ɛ no
Ɛno	Ɛ no
ɛnɔ	ɛ nɔ
ɛnɔnɔ	ɛ nɔ nɔ
ɛnsɛ	ɛ n sɛ
Ɛnsia	Ɛ nsia
Ɛnso	Ɛ n so
ɛnsɔ	ɛ n sɔ
ɛnte	ɛ n te
Ɛnte	Ɛ n te
ɛntena	ɛ n tena
entia	e n tia
Enti	E nti
ɛnti	ɛ nti
ɛntumi	ɛ n tumi
ɛnum	ɛ num
Ɛnum	Ɛ num
enya	e n ya
ɛnya	ɛ n ya
ɛnyam	ɛ n yam
enyan	e n yan
ɛnyɛɛ	ɛ  n yɛ ɛ 
ɛnyɛ	ɛ n yɛ
Ɛnyɛ	Ɛ n yɛ 
ɛpɛ	ɛ pɛ
ɛpepapepaa	ɛ pepa pepa a
ɛperepereeɛ	ɛ pere pere eɛ
ɛreba	ɛ re ba
ɛrebatwam	ɛ re ba twam
ɛrebɛba	ɛ re bɛ ba
Ɛrebɛdi	Ɛ re bɛ di
ɛrebɛ	ɛ re bɛ
ɛrebɛkɔ	ɛ re bɛ kɔ
ɛrebobɔ	ɛ re bo bɔ
ɛredi	ɛ re di
ɛreha	ɛ re ha
ɛrehyehye	ɛ re hye hye
ɛrekakyerɛ	ɛ re ka kyerɛ
ɛrekame	ɛ re ka me
ɛreko	ɛ re ko
ɛrekɔ	ɛ re kɔ
ɛrekɔso	ɛ re kɔ so
ɛrekɔyɛ	ɛ re kɔ yɛ
ɛremene	ɛ re mene
ɛrepɛ	ɛ re pɛ
ɛresa	ɛ re sa
ɛresɛe	ɛ re sɛ e
ɛresisi	ɛ re si si
ɛreumpo	ɛ re u mpo
ɛreyɛ	ɛ re yɛ
ɛreyi	ɛ re yi
ɛsɛ	ɛ sɛ
Ɛsɛ	Ɛ sɛ
ɛsesa	ɛ sesa
ɛsiane	ɛ siane
Ɛsiane	Ɛ siane
ɛsi	ɛ si
ɛsiiɛ	ɛ sii ɛ
ɛsii	ɛ si i
ɛsoa	ɛ soa
ɛso	ɛ so
ɛsua	ɛ sua
ɛsum	ɛ sum
ɛtaa	ɛ ta a
ɛteɛ	ɛ te ɛ
ɛte	ɛ te
ɛto	ɛ to
ɛtɔ	ɛ tɔ
Ɛtɔ	Ɛ tɔ
ɛtoo	ɛ to o
ɛtoɔ	ɛ toɔ
ɛtoto	ɛ to to
ɛtua	ɛ tua
ɛtumi	ɛ tumi
ɛtwa	ɛ twa
ɛtwene	ɛ twene
ewiase	e wiase
ɛwɔ	ɛ wɔ
ɛwom	ɛ wom
Ɛwom	Ɛ wom
ewuiɛ	e wui ɛ
ɛyareɛ	ɛ yare ɛ
ɛyɛdɛ	ɛ yɛ dɛ
ɛyɛeɛ	ɛ yɛe ɛ
ɛyɛɛ	ɛ yɛ ɛ
Ɛyɛɛ	Ɛ yɛ ɛ
ɛyɛ	ɛ yɛ
Ɛyɛ	Ɛ yɛ
ɛyi	ɛ yi
faa	fa a
faeɛ	fa eɛ
fae	fa e
fa	fa
fam	fam
fann	fann
fɛfɛɛfɛ	fɛfɛ ɛ fɛ
fie	fie
fi	fi
firi	firi
firii	firi i
Fiti	Fiti
foforo	foforo
foɔ	fo ɔ
frɛɛ	frɛ ɛ
frɛ	frɛ
fuiɛ	fui ɛ
funtumfrae	funtum frae
funu	funu
Ghanafoɔ	Ghana foɔ
Ghanani	Ghana ni
gu	gu
gugu	gu gu
gyaa	gya a
gya	gya
gyee	gye e
gyeene	gyee ne
gye	gye
gyidie	gyidie
ha	ha
hanom	ha nom
hene	hene
hia	hia
ho	ho
hɔ	hɔ
honam	ho nam
hɔnom	hɔ nom
hoo	ho o
hu	hu
huhuuhu	hu huu hu
hunu	hu nu
hunuu	hu nu u
huri	huri
hwan	hwan
hwee	hwe e
hwɛɛ	hwɛ ɛ
Hwɛ	Hwɛ
hwehwɛɛ	hwe hwɛ ɛ
hwene	hwene
Hwidiem	Hwidiem
hwie	hwi e
Hwiitam	Hwiitam
hwirii	hwiri i
hyɛbrɛ	hyɛ brɛ
hyee	hye e
hyɛɛ	hyɛ ɛ
hyehyeehye	hye hye e hye
hyehye	hye hye
hyiaeɛ	hyia eɛ
kaaeɛ	ka a eɛ
Kaa	Ka a
kaakum	kaakum
kabimankabi	kabi man kabi
kaeɛ	ka eɛ
Ka	Ka
kakrakaa	ka kra ka a
kakraka	ka kra ka
kakra	kakra
kama	kama
kan	kan
kaprɛba	kaprɛ ba
kasa	kasa
kaseɛ	kase ɛ
keka	keka
kɛkɛ	kɛkɛ
kɛseɛ	kɛse ɛ
kɛse	kɛse
ketewa	ketewa
Kita	Kita
kɔduruu	kɔ duru u
kɔeɛ	kɔ eɛ
kɔgu	kɔ gu
kɔgyinaeɛ	kɔ gyinae ɛ
kɔhunuu	kɔ hunu u
kɔka	kɔ ka
ko	ko
kɔ	kɔ
kokɔkokɔɔ	kokɔkokɔɔ
kokroko	kokroko
kɔmaa	kɔ ma a
Komfo	Komfo
kɔn	kɔn
Koo	Koo
kɔɔ	kɔ ɔ
kɔɔto	kɔ ɔ to
koowa	koo wa
kɔpaa	kɔ pa a
kɔpuee	kɔ pue e
kɔpue	kɔ pue
koro	koro
korɔ	korɔ
koroyɛfoɔ	koroyɛ foɔ
kɔsi	kɔ si
kɔso	kɔ so
kɔtena	kɔ tena
kɔtɔɔ	kɔ tɔ ɔ
kɔtua	kɔ tua
kɔyɛɛ	kɔ yɛ ɛ
krakye	krakye
krataa	krataa
Kukuom	Kukuom
kunu	ku nu
kuo	kuo
kura	kura
kuro	kuro
kurom	kurom
kutafoɔ	kuta foɔ
Kwaku	Kwaku
kwa	kwa
Kwan	Kwan
kye	kye
kyɛ	kyɛ
kyena	kyena
kyerɛɛ	kyerɛ ɛ
Kyerɛ	Kyerɛ
kyerɛkyerɛɛ	kyerɛ kyerɛ ɛ
Kyɛw	Kyɛw
kyɛwne	kyɛw ne
kyinkyinaa	kyin kyin aa
maa	ma a
mabaa	ma ba a
Maba	Ma ba
mabɛhyɛ	ma bɛ hyɛ
mabɔ	ma bɔ
m'adamfo	m' adamfo
madi	ma di
madwene	ma dwene
m'adwuma	m' adwuma
mafa	ma fa
magye	ma gye
mahunu	ma hu nu
maka	ma ka
Makɔ	Ma kɔ
makɔsoa	ma kɔ soa
makɔtua	ma kɔ tua
ma	ma
mampanin	mam panin
manhunu	ma n hu nu
m'anigyeɛ	m'  anigye ɛ
m'ani	m' ani
m'anim	m' anim
manka	ma n ka
Mankasa	Ma n kasa
manpaninfoɔ	man panin foɔ
manpanin	man panin
mansane	man sane
mansini	man sini
Mantam	Man tam
mantumi	ma n tumi
Manyare	Ma n yare
mapa	ma pa
masa	ma sa
masane	ma sane
m'asɛm	m'  asɛm
mate	ma te
mato	ma to
mayɛ	ma yɛ
mayera	ma yera
mayi	ma yi
mebaa	me ba a
meba	me ba
Mebɛhunuu	Me bɛ hu nu u
mebɛkaa	me bɛ ka a
Mebisaa	Me bisa a
meboa	me boa 
mɛbɔ	mɛ bɔ
medaa	me da a
meda	me da
Medeɛ	Me de ɛ
Mede	Me de
Meduru	Me duru
Mee	Me e
mefaa	me fa a
Mɛfa	Mɛ fa
Meferɛɛ	Me ferɛ ɛ
mefiri	me firi
mefrɛɛ	me frɛ ɛ
mɛfrɛ	mɛ frɛ
mɛgyae	mɛ gya e
Megyedi	Me gye di
megye	me gye
megyinaeɛ	me gyinae ɛ
megyina	me gyina
mehunu	me hu nu
Mehunuu	Me hu nu u
mehwɛɛ	me hwɛ ɛ
mehwɛ	me hwɛ 
mehyɛ	me hyɛ
mekaa	me ka a
Meka	Me ka 
Mɛka	M ɛ ka
mekamfo	me kamfo
mekasaeɛ	me kasa eɛ
mekɔgyinaa	me kɔ gyina a
Mekɔhwɛɛ	Me kɔ hwɛ ɛ
mɛkɔ	mɛ kɔ
mekɔɔ	me kɔ ɔ
mekɔyɛɛ	me kɔ yɛ ɛ
Mekura	Me kura
Mɛkye	Mɛ kye 
mɛma	mɛ ma
me	me
memfa	me m fa
memma	me m <m>a
mempɛ	me m pɛ
menam	me nam
mene	me ne
menhunu	me n hunu
menii	me ni i
Menim	Me nim
menka	me n ka
menkura	me n kura
menni	me n <n>i
Mennim	Me n <n>im
mennye	me <n>nye
mennyɛ	me <n>nyɛ
Mentee	Me n te e
mente	me n te
Mentua	Me n tua
mentumi	me n tumi
mentwa	me n twa
menua	me nua
menuanom	me nua nom
menyaa	me n ya a
menya	me n ya
menyi	me n yi
menyin	me nyin
mepa	me pa
mepɛ	me pɛ
mepra	me pra
merebama	me re bama
mereba	me re ba
Merebisa	Me re bisa
meredwene	me re dwene
merekae	me re kae 
merekakyerɛ	me re ka kyerɛ
mereka	me re ka
merekɔ	me re kɔ
Merekyerɛ	Me re kyerɛ
merentumi	me re n tumi
merepam	me re pam
Meresan	Me re san
mereyɛ	me re yɛ
Mesane	Me sane
Mɛsane	Mɛ sane
mesee	me se e
mese	me se
mɛsrɛ	mɛ srɛ
mesuro	me suro
meteeɛ	me te eɛ
metee	me te e
meteɛ	me te ɛ
mete	me te
metua	me tua
mɛtua	mɛ tua
mɛtumi	mɛ tumi
metuu	me tu u
Mewiee	Me wie e
mewɔ	me wɔ
Meyɛ	Me yɛ
mɛyɛ	mɛ yɛ
mfaa	m fa a
mfa	m fa
mfasoɔ	mfasoɔ
mfeɛ	m fe ɛ
mfe	m fe
mfidie	m fidie
mfie	m fie
Mfimfini	Mfimfini
mfiri	m firi
mfomsoɔ	mfomsoɔ
mfonini	m fonini
Migye	Mi gye
mmaa	m <m>aa
mmabaawa	m <m>abaawa
mmabunu	m <m>abunu
mmae	m mae
mma	m <m>a
mmarahyɛbadwafie	mmara hyɛ badwa fie
mmarahyɛbadwa	mmara hyɛ badwa
mmarahyɛbadwani	mmara hyɛ badwa ni
mmarahyɛ	mmara hyɛ
mmara	mmara
Mmaranteɛ	M <m>arante ɛ
mmayewa	m <m>ayewa
mmeammea	mmea mmea
mmɛbobɔ	m <m>ɛ bo bɔ
mmɛkyerɛ	m<m>ɛ kyerɛ
mmɛmma	m <m>ɛmma
mmɛ	m<m>ɛ
mmenee	m<m>ene e
Mmeranteɛ	M <m>erante ɛ
Mmerɛ	M <m>erɛ
mmɛsii	m <m>ɛ si i
mmɛtena	m <m>ɛ tena
mmɛtɔ	m <m>ɛ tɔ
mmɛyɛeɛ	m <m>ɛ yɛ eɛ
mmɛyɛ	m <m>ɛ yɛ
mmiɛnsa	mmiɛnsa
mmienu	mmienu
mmirika	mmirika
mmoa	m <m>oa
mmɔbɔ	m<m>ɔ bɔ
mmɔden	m <m>ɔden
Mmom	Mmom
mmo	mmo
mmɔ	mmɔ
mmon	mmon
mmɔntene	m <m>ɔnten e
mmɔnten	m <m>ɔnten
mmɔtene	m <m>ɔtene
mmranteɛ	m <m>rante ɛ
mmrɛɛ	mmrɛ ɛ
moaba	mo a ba
moaduru	mo a duru
moahunu	mo a hunu
Moakɔ	Mo a kɔ
moba	mo ba
Mobɛtɔaa	Mo bɛ tɔ aa
mobɛtumi	mo bɛ tumi
modidie	mo di di e
mogu	mo gu
mohunu	mo hu nu
Mokae	Mo ka e
momma	mo m <m>a
mommoa	mo m<m>oa
mo	mo
monhunu	mo n hu nu
Monka	Mo n ka
Monkɔhwɛ	Mo n kɔ hwɛ
monkum	mo n kum
monni	mo n ni
monnyae	mo n <n>yae
montie	mo n tie
montumi	mo n tumi
Monyɛ	Mo n yɛ
mopɛ	mo pɛ
Moree	Mo re e
Morehwɛ	Mo re hwɛ
morekɔ	mo re kɔ
motua	mo tua
motumi	mo tumi
mowɔ	mo wɔ
Moyɛ	Mo yɛ
mpaeɛ	m pae ɛ
mpamo	m pamo
mpanimfoɔ	m panim foɔ
mpanin	m panin
mpasua	m pasua
mpɛ	m pɛ
mpɛn	m pɛn
mpɛnpɛnsoɔ	m pɛnpɛn soɔ
mpoa	m poa
mpo	mpo
mpɔn	m pɔn
mpɔtamu	mpɔ tamu
mpu	mpu
mu	mu
muna	muna
muo	mu o
Naa	Naa
n'abadiakyire	n' a badi a kyire
n'abatoɔ	n' a ba toɔ
n'abusuafoɔ	n' a busua foɔ
n'adeɛ	n' ade ɛ
n'adwene	n' adwene
n'adwuma	n' a dwuma
n'akyire	n' a kyire
n'amanyɔkuo	n' amanyɔ kuo
