token	transliteration	segmentation
அமைச்சரவைக்	amaichcharavaik	amai chchar avai k
அமைச்சராக	amaichcharaaha	amai chchar aaha
அமைச்சர்கள்	amaichcharkal	amai chchar kal
அமைச்சின்	amaichchin	amai ch chin
அமைந்துள்ள	amaindhulla	amai ndh ulla
அமைப்பது	amaippadhu	amai ppadhu
அமைப்பு	amaippu	amai ppu
அமைப்பை	amaippai	amai ppai
அமையும்	amaiyum	amai yum
அம்மை	ammai	amm ai
அரசாங்க	arasaanga	ara saang a
அரசாங்கத்தின்	arasaangaththin	ara saanga ththin
அரசாங்கம்	arasaangam	ara saang am
அரசியல்	arasiyal	ara siyal
அரசின்	arasin	ara sin
அரசு	arasu	ara su
அரசுக்கு	arasukku	ara su kku
அரசுத்	arasuth	ara su th
அரசை	arasai	ara sai
அரிசி	arisi	ari si
அரிப்பு	arippu	ari ppu
அருகாமையில்	aruhaamaiyil	aru haa mai yil
அருகில்	aruhil	aru hil
அருகே	aruhee	aru hee
அருவியில்	aruviyil	aru vi yil
அலுவலகத்தில்	aluvalahaththil	alu valaha ththil
அலுவலகம்	aluvalaham	alu vala ham
அலைகள்	alaihal	alai hal
அல்லது	alladhu	alla dhu
அவசர	avasara	ava sara
அவசரமாக	avasaramaaha	ava sara maaha
அவசியம்	avasiyam	ava si yam
அவருடன்	avarudan	avar udan
அவர்களின்	avarkalin	avar kal in
அவர்களுக்கு	avarkalukku	avar kal ukku
அவர்களை	avarkalai	avar kal ai
அவர்கள்	avarkal	avar kal
அவலம்	avalam	ava lam
அவற்றில்	avatril	ava tril
அவை	avai	avai
அழகிய	azahiya	aza hiya
அழித்துக்	aziththuk	azi ththu k
அழைத்து	azaiththu	azai ththu
அழைப்பு	azaippu	azai ppu
அளவிலான	alavilaana	ala vil aana
அளவிற்கு	alavirku	ala virku
அளவு	alavu	ala vu
அளவுகோலில்	alavuhoolil	ala vu hool il
அளவுக்கு	alavukku	ala vu kku
அளிக்கும்	alikkum	ali kkum
அளித்த	aliththa	ali ththa
அளித்துள்ளது	aliththulladhu	ali ththull adhu
அளித்தோம்	aliththoom	ali thth oom
அளிப்பேன்	alippeen	ali ppeen
அறிகுறிகள்	arihurihal	ari huri hal
அறிக்கைகள்	arikkaihal	ari kkai hal
அறிக்கையில்	arikkaiyil	ari kkai yil
அறிக்கையை	arikkaiyai	ari kkai yai
அறிந்து	arindhu	ari ndhu
அறிய	ariya	ari ya
அறியமுடிகின்றது	ariyamudihinradhu	ari ya mudi hinr adhu
அறிவிக்க	arivikka	ari vikka
அறிவிக்கப்பட்டது	arivikkappattadhu	ari vikka ppatta dhu
அறிவிக்கப்பட்டுள்ளது	arivikkappattulladhu	ari vikka ppattu lladhu
அறிவித்தது	ariviththadhu	ari vithth adhu
அறிவித்துள்ளது	ariviththulladhu	ari vithth ulladhu
அறிவித்துள்ளார்	ariviththullaar	ari vithth ullaar
அறிவிப்பு	arivippu	ari vippu
அறிவியல்	ariviyal	ari viyal
அறிவுறுத்தப்பட்டுள்ளனர்	arivuruththappattullanar	ari vuru ththa ppatt ulla nar
அனர்த்த	anarththa	an arthth a
அனர்த்தத்தில்	anarththaththil	an arthth athth il
அனர்த்தத்திற்கான	anarththaththirkaana	an arthth aththirk aana
அனர்த்தத்தின்	anarththaththin	an arthth athth in
அனர்த்தத்தை	anarththaththai	an arthth athth ai
அனர்த்தம்	anarththam	an arthth am
அனுபவங்களை	anubavangalai	anu bava<n> gal ai
அனுப்பி	anuppi	anu ppi
அனுப்பியுள்ளது	anuppiyulladhu	anu ppi yulla dhu
அனுமதி	anumadhi	anu madhi
அனைத்து	anaiththu	anai ththu
அனைத்தும்	anaiththum	anai ththum
அனைவரும்	anaivarum	anai varum
அன்புடன்	anbudan	anbu dan
அன்றைக்கு	anraikku	anra ikku
அன்றைய	anraiya	anra iya
ஆகவும்	aahavum	aah avum
ஆகிய	aahiya	aah iya
ஆகியவை	aahiyavai	aah iya vai
ஆகும்	aahum	aah um
ஆக்கப்பூர்வ	aakkappuurva	aakka ppuurva
ஆக்கப்பூர்வமான	aakkappuurvamaana	aakka ppuur vam aana
ஆங்காங்கே	aangaangee	aang aangee
ஆடுகளை	aaduhalai	aadu hal ai
ஆட்சிக்கு	aatchikku	aat chi kku
ஆட்டோக்கள்	aattookkal	aat too kkal
ஆண்டில்	aantil	aant il
ஆண்டு	aantu	aantu
ஆண்டுகளாக	aantuhalaaha	aantu hal aaha
ஆண்டுகளுக்கு	aantuhalukku	aantu hal ukku
ஆண்டுதோறும்	aantudhoorum	aantu dhoorum
ஆதரவாக	aadharavaaha	aadha rav aaha
ஆதரவு	aadharavu	aadha ravu
ஆபத்தான	aabaththaana	aaba thth aana
ஆபத்து	aabaththu	aaba ththu
ஆயிரக்கணக்கான	aayirakkanakkaana	aayi rakk anakk aana
ஆயிரத்திற்கும்	aayiraththirkum	aayi rathth ir kum
ஆயிரத்து	aayiraththu	aayi rathth u
ஆயிரம்	aayiram	aayi ram
ஆயினும்	aayinum	aayi num
ஆய்வு	aayvu	aay vu
ஆய்வுக்	aayvuk	aay vu k
ஆரம்ப	aaramba	aaram ba
ஆரம்பப்	aarambap	aaram ba p
ஆரம்பித்தது	aarambiththadhu	aaram bithth adhu
ஆராய்ச்சி	aaraaychchi	aaraay chchi
ஆர்ப்பாட்டம்	aarppaattam	aar ppaa ttam
ஆலோசகர்	aaloosahar	aal oosa har
ஆலோசனை	aaloosanai	aal oosa nai
ஆழத்தில்	aazaththil	aaza thth il
ஆழ்த்தியிருக்கும்	aazhththiyirukkum	aazh ththi yirukk um
ஆளும்	aalum	aal um
ஆறு	aaru	aaru
ஆறுகளின்	aaruhalin	aaru hal in
ஆறுகளை	aaruhalai	aaru hal ai
ஆற்றில்	aatril	aat ril
ஆற்றுக்குள்	aatrukkul	aat ru kkul
ஆனாலும்	aanaalum	aan aal um
ஆனால்	aanaal	aan aal
இக்குழுமத்திலிருந்து	ikkuzumaththilirundhu	i kkuzu maththil irundhu
இக்குழுமத்தில்	ikkuzumaththil	i kkuzu mathth il
இங்க	inga	ing a
இங்கு	ingu	ing u
இங்குள்ள	ingulla	ing ulla
இங்கே	ingee	ing ee
இச்சூறாவளி	ichchuuraavali	i chch uuraa vali
இடங்களில்	idangalil	ida<n> gal il
இடங்களுக்கு	idangalukku	ida<n> gal ukku
இடங்கள்	idangal	ida<n> gal
இடத்தில்	idaththil	ida ththil
இடத்துக்கு	idaththukku	ida ththu kku
இடமில்லை	idamillai	idam illai
இடம்	idam	idam
இடம்பெற்ற	idambetra	idam betra
இடம்பெற்றது	idambetradhu	idam betr adhu
இடி	idi	idi
இடிக்கப்பட்டு	idikkappattu	idi kka ppattu
இடையிடையே	idaiyidaiyee	idaiy idaiy ee
இடையே	idaiyee	idaiy ee
இடைவெளியில்	idaiveliyil	idai veli yil
இணை	inai	inai
இணைக்கப்பட்டு	inaikkappattu	inai kka ppattu
இணைக்கும்	inaikkum	inai kkum
இணைத்தால்	inaiththaal	inai ththaal
இணைந்து	inaindhu	inai ndhu
இணைப்பாளர்	inaippaalar	inai ppaa lar
இணைப்பு	inaippu	inai ppu
இதற்கிடையே	idharkidaiyee	idhar kidai yee
இதற்கு	idharku	idhar ku
இதனிடையே	idhanidaiyee	idhan idai yee
இதனை	idhanai	idha nai
இதனைத்	idhanaith	idha nai th
இதன்	idhan	idha n
இதில்	idhil	idhil
இது	idhu	idhu
இதுதவிர	idhudhavira	idhu dhavira
இதுதான்	idhudhaan	idhu dhaan
இதுபற்றிய	idhubatriya	idhu batriya
இதுவரை	idhuvarai	idhu varai
இதேவேளை	idheeveelai	idhee veelai
இதை	idhai	idhai
இத்தாலியில்	iththaaliyil	ithth aaliyil
இந்த	indha	indha
இந்தக்	indhak	indha k
இந்தச்	indhach	indha ch
இந்தத்	indhath	indha th
இந்தப்	indhap	indha p
இந்தியக்	indhiyak	indhi ya k
இந்தியப்	indhiyap	indhi ya p
இந்தியர்கள்	indhiyarkal	indhi yar kal
இந்தியாவிலும்	indhiyaavilum	indhi yaa vil um
இந்து	indhu	indhu
இந்தோனேசியாவில்	indhooneesiyaavil	indhoo neesiyaa vil
இந்தோனேசியாவின்	indhooneesiyaavin	indhoo neesiyaa vin
இந்நிலநடுக்கம்	innilanadukkam	inni la nadu kkam
இந்நிலையில்	innilaiyil	inni lai yil
இப்ப	ippa	ippa
இப்பகுதியில்	ippahudhiyil	ippa hudhi yil
இப்படி	ippadi	ippa di
இப்பள்ளியில்	ippalliyil	ippa lliyil
இப்பாதை	ippaadhai	ipp aadhai
இப்போ	ippoo	ipp oo
இப்போது	ippoodhu	ipp oodhu
இம்மாநாடு	immaanaadu	imm aa naadu
இயக்குநர்	iyakkunar	iyakku nar
இயக்குனர்	iyakkunar	iyakku nar
இயங்கி	iyangi	iya ngi
இயல்பு	iyalpu	iya lpu
இயற்கை	iyarkai	iya rkai
இயற்கைக்கு	iyarkaikku	iya rkai kku
இயன்றவரை	iyanravarai	iyan rava rai
இரண்டாவது	irantaavadhu	iran taa vadhu
இரண்டு	irantu	iran tu
இரத்த	iraththa	ira ththa
இரவு	iravu	ira vu
இராணுவம்	iraanuvam	ir aanu vam
இரு	iru	iru
இருக்க	irukka	iru kka
இருக்கிறது	irukkiradhu	iru kkir adhu
இருக்கிறார்கள்	irukkiraarkal	iru kkir aar kal
இருதரப்பும்	irudharappum	iru dharapp um
இருத்தல்	iruththal	iru ththal
இருந்ததால்	irundhadhaal	irun dha dhaal
இருந்தது	irundhadhu	irun dha dhu
இருந்தன	irundhana	irun dhana
இருந்தாலும்	irundhaalum	irun dhaa lum
இருந்தால்	irundhaal	irun dhaal
இருந்து	irundhu	irun dhu
இருப்பதாக	iruppadhaaha	iru ppa dhaaha
இருப்பதாகவும்	iruppadhaahavum	iru ppa dhaaha vum
இருப்பிடங்களை	iruppidangalai	iru ppi dan gal ai
இருமல்	irumal	iru mal
இருவர்	iruvar	iru var
இலங்கைக்கான	ilangaikkaana	ila ngai kkaana
இலங்கைக்கு	ilangaikku	ila ngai kku
இலங்கைத்	ilangaith	ila ngai th
இலவச	ilavasa	ila vasa
இலவசம்	ilavasam	ila vasam
இல்லாத	illaadha	illaa dha
இல்லாததால்	illaadhadhaal	illaa dhadhaal
இல்லாமல்	illaamal	illaa mal
இல்லை	illai	illai
இவர்	ivar	ivar
இவர்களுக்கு	ivarkalukku	ivar kal ukku
இவர்கள்	ivarkal	ivar kal
இவை	ivai	ivai
இவ்வமைப்பின்	ivvamaippin	ivva maipp in
இவ்வளவு	ivvalavu	ivva lavu
இவ்வாறான	ivvaaraana	ivvaa raana
இழந்தவர்களின்	izandhavarkalin	izandha var kal in
இழந்தனர்	izandhanar	izandha nar
இளங்கோவனுக்கு	ilangoovanukku	ilan goova nukku
இறந்தனர்	irandhanar	iran dha nar
இறந்து	irandhu	iran dhu
இறந்துவிட்டதாக	irandhuvittadhaaha	iran dhu vitta dhaa ha
இறந்துவிட்டனர்	irandhuvittanar	iran dhu vitta nar
இறுதியில்	irudhiyil	iru dhi yil
இனி	ini	ini
இனிமேலாவது	inimeelaavadhu	ini meel aavadhu
இன்ப	inba	inba
இன்றும்	inrum	in rum
இன்றைக்கு	inraikku	in rai kku
இன்றைய	inraiya	in rai ya
இன்னும்	innum	inn um
இஸ்லாமிய	islaamiya	islaa miya
ஈடுபட	iidubada	iidu bada
ஈடுபட்ட	iidubatta	iidu batta
ஈடுபட்டனர்	iidubattanar	iidu batta nar
ஈடுபட்டிருந்த	iidubattirundha	iidu batti rundha
ஈடுபட்டுள்ளது	iidubattulladhu	iidu battu lladhu
ஈரப்பதம்	iirappadham	iir appa dham
ஈரோடு	iiroodu	iir oodu
ஈரோட்டில்	iiroottil	iir oott il
உங்களை	ungalai	un gal ai
உச்சநீதிமன்றத்தில்	uchchaniidhimanraththil	uchcha niidhi manra ththil
உடல்களை	udalkalai	udal kal ai
உடனடி	udanadi	udan adi
உடனடியாக	udanadiyaaha	udan adi yaaha
உடனே	udanee	udan ee
உடன்	udan	udan
உடுமலை	udumalai	udu malai
உடைந்தது	udaindhadhu	udai ndha dhu
உடைந்து	udaindhu	udai ndhu
உடைந்துள்ளன	udaindhullana	udai ndhu llana
உடைப்பு	udaippu	udai ppu
உட்கட்டமைப்பு	utkattamaippu	ut katta mai ppu
உட்பட	utpada	ut pada
உட்பட்ட	utpatta	ut pa tta
உணரப்பட்டதாகவும்	unarappattadhaahavum	una rapp atta dhaaha vum
உணரப்பட்டது	unarappattadhu	una rapp atta dhu
உணர்ந்ததும்	unarndhadhum	una rndha dhum
உணவு	unavu	unavu
உண்டு	untu	untu
உதவ	udhava	udhava
உதவி	udhavi	udhavi
உதவிகளை	udhavihalai	udhavi hal ai
உதவிகளைப்	udhavihalaip	udhavi hal ai p
உதவியை	udhaviyai	udhavi yai
உதவியையும்	udhaviyaiyum	udhavi yai yum
உதவும்	udhavum	udhavu m
உதவும்படி	udhavumbadi	udhavu m badi
உத்தரவிட்டுள்ளார்	uththaravittullaar	uththa rav ittu llaar
உத்தரவு	uththaravu	uththa ravu
உத்தரவும்	uththaravum	uththa ravu m
உத்தியோகபூர்வமாக	uththiyoohabuurvamaaha	uththi yooha buurvam aaha
உபரி	ubari	ubari
உயரத்துக்கு	uyaraththukku	uyara ththu kku
உயரமான	uyaramaana	uyara maana
உயர்	uyar	uyar
உயர்வு	uyarvu	uyarvu
உயிரிழக்கவும்	uyirizakkavum	uyir izakka vum
உயிரிழந்தனர்	uyirizandhanar	uyir izandh anar
உயிரிழந்தார்	uyirizandhaar	uyir izandh aar
உயிரிழந்துள்ளதாக	uyirizandhulladhaaha	uyir izandh ulladha aha
உயிரிழந்துள்ளனர்	uyirizandhullanar	uyir izandhu llan ar
உயிருடன்	uyirudan	uyir udan
உயிர்	uyir	uyir
உரம்	uram	uram
உரிய	uriya	uriya
உருவாகி	uruvaahi	uru vaahi
உருவாகியுள்ள	uruvaahiyulla	uru vaahi yulla
உரை	urai	urai
உலகப்	ulahap	ulaha p
உலகம்	ulaham	ulaha m
உலகிலேயே	ulahileeyee	ulah il eeyee
உலகில்	ulahil	ulah il
உலகின்	ulahin	ulah in
உலுக்கிய	ulukkiya	ulukki ya
உழைத்த	uzaiththa	uzai ththa
உள்நாட்டு	ulnaattu	ul naattu
உள்பட	ulpada	ul pada
உள்ளதா	ulladhaa	ull adhaa
உள்ளதாக	ulladhaaha	ull adhaa ha
உள்ளது	ulladhu	ull adhu
உள்ளனர்	ullanar	ull anar
உள்ளாகினர்	ullaahinar	ull aahi nar
உள்ளிட்ட	ullitta	ull itta
உள்ளூர்	ulluur	ull uur
உறுதி	urudhi	uru dhi
உறுதியாக	urudhiyaaha	uru dhi yaaha
உறுப்பினர்	uruppinar	uru ppi nar
உறுப்பினர்களையும்	uruppinarkalaiyum	uru ppi nar kal ai yum
உறுப்பு	uruppu	uru ppu
உற்பத்தி	urpaththi	ur paththi
உற்பத்தியில்	urpaththiyil	ur paththi yil
உன்	un	un
ஊசி	uusi	uusi
ஊடகங்கள்	uudahangal	uuda ha<n> gal
ஊடகப்	uudahap	uuda ha p
ஊடாக	uudaaha	uuda aha
ஊழியர்களின்	uuziyarkalin	uuziyar kal in
ஊற்றிய	uutriya	uutr iya
ஊற்றுவதாக	uutruvadhaaha	uutr uvadh aaha
எகிப்தில்	ehipthil	ehi pth il
எகிப்து	ehipthu	ehi pthu
எங்க	enga	en ga
எங்களுக்கு	engalukku	en ga lukku
எங்கள்	engal	en gal
எங்கு	engu	en gu
எச்சரிக்கை	echcharikkai	echch arikkai
எச்சரிக்கையாக	echcharikkaiyaaha	echch arikkai yaaha
எச்சரிக்கையால்	echcharikkaiyaal	echch arikkai yaal
எடுக்குமாறு	edukkumaaru	edu kkum aaru
எடுத்து	eduththu	edu ththu
எடுத்துச்	eduththuch	edu ththu ch
எண்ணக்கை	ennakkai	enna kkai
எண்ணி	enni	enni
எண்ணிக்கையை	ennikkaiyai	enni kkai yai
எண்ணெய்	enney	enney
எதிராக	edhiraaha	edhir aaha
எதிரான	edhiraana	edhir aana
எதிரே	edhiree	edhir ee
எதிரொலியாக	edhiroliyaaha	edhir oli yaaha
எதிர்காலத்தில்	edhirkaalaththil	edhir kaala ththil
எதிர்கொள்ள	edhirkolla	edhir kolla
எதிர்பார்க்கப்படுகிறது	edhirpaarkkappaduhiradhu	edhir paarkka ppadu hir adhu
எதிர்பார்க்கப்பட்டது	edhirpaarkkappattadhu	edhir paarkka ppatta dhu
எதிர்பார்க்காத	edhirpaarkkaadha	edhir paarkka adha
எதிர்வரும்	edhirvarum	edhir varum
எது	edhu	edhu
எதுவும்	edhuvum	edhu vum
எந்த	endha	endha
எந்தவித	endhavidha	endha vidha
எந்திர	endhira	endhira
எபோலாவை	eboolaavai	eboolaa vai
எப்படி	eppadi	eppadi
எமது	emadhu	emadhu
எரியும்	eriyum	eri yum
எல்	el	el
எல்நினோவிற்கு	elninoovirku	el ninoo virku
எல்லாம்	ellaam	ell aam
எல்லைக்	ellaik	ell ai k
எல்லைப்	ellaip	ell ai p
எளிதில்	elidhil	eli dhil
என	ena	ena
எனக்	enak	ena k
எனக்கு	enakku	ena kku
எனச்	enach	ena ch
எனத்	enath	ena th
எனவும்	enavum	enavum
எனவே	enavee	ena vee
எனும்	enum	enu m
என்கிற	engira	en gi ra
என்கிறார்கள்	engiraarkal	en gi raar kal
என்பதற்கும்	enbadharkum	en badhar kum
என்பதால்	enbadhaal	en badh aal
என்பதே	enbadhee	en badhee
என்பதையும்	enbadhaiyum	en badhai yum
என்பவர்	enbavar	en ba var
என்பன	enbana	en bana
என்பார்கள்	enbaarkal	en baar kal
என்ற	enra	en ra
என்றார்	enraar	en ra ar
என்றாலும்	enraalum	en raa lum
என்றால்	enraal	en raal
என்று	enru	en ru
என்றும்	enrum	en rum
என்ன	enna	enna
ஏதும்	eedhum	eedhum
ஏராளமானோர்	eeraalamaanoor	eeraalam aanoor
ஏராளம்	eeraalam	eeraalam
ஏரி	eeri	eeri
ஏரிகள்	eerihal	eeri hal
ஏழு	eezu	eezu
ஏறக்குறைய	eerakkuraiya	eera kkuraiya
ஏற்ப	eerpa	eer pa
ஏற்பட	eerpada	eer pada
ஏற்படலாம்	eerpadalaam	eer padala am
ஏற்படவில்லை	eerpadavillai	eer pada vill ai
ஏற்படுகிறது	eerpaduhiradhu	eer padu hir adhu
ஏற்படுமா	eerpadumaa	eer padu maa
ஏற்படும்	eerpadum	eer padum
ஏற்படுவதை	eerpaduvadhai	eer pad uva dhai
ஏற்பட்ட	eerpatta	eer patta
ஏற்பட்டதாக	eerpattadhaaha	eer pattadha aha
ஏற்பட்டதுடன்	eerpattadhudan	eer patta dhudan
ஏற்பட்டால்	eerpattaal	eer patt aal
ஏற்பட்டு	eerpattu	eer pattu
ஏற்பட்டுள்ள	eerpattulla	eer pattu lla
ஏற்பட்டுள்ளதாக	eerpattulladhaaha	eer patt ulladha aha
ஏற்பட்டுள்ளது	eerpattulladhu	eer patt ulladhu
ஏற்பட்டுள்ளன	eerpattullana	eer patt ullana
ஏற்பாடு	eerpaadu	eer paadu
ஏற்பாடுகள்	eerpaaduhal	eer paadu hal
ஏனெனில்	eenenil	een enil
ஏன்	een	een
ஐந்து	aindhu	aindhu
ஐரோப்பிய	airooppiya	ai roopp iya
ஒதுக்கி	odhukki	odhu kki
ஒதுக்கீடு	odhukkiidu	odhu kkiidu
ஒத்துழைப்பை	oththuzaippai	oththu zai ppai
ஒப்பந்தம்	oppandham	opp an dham
ஒரு	oru	oru
ஒருவர்	oruvar	oru var
ஒலிக்கப்பட்டு	olikkappattu	olikka ppattu
ஒழிப்பு	ozippu	ozi ppu
ஒன்றாக	onraaha	on raaha
ஒன்றான	onraana	on raana
ஒன்றில்	onril	on ril
ஒன்றினைந்து	onrinaindhu	on rinai ndhu
ஒன்றின்	onrin	on rin
ஒன்னு	onnu	on nu
ஓசூர்	oosuur	oos uur
ஓடியது	oodiyadhu	oodi yadhu
ஓடும்	oodum	oodu m
ஓட்டு	oottu	oottu
ஓர்	oor	oor
கடக்கும்	kadakkum	kada kkum
கடந்த	kadandha	kada ndha
கடந்தது	kadandhadhu	kada ndha dhu
கடந்து	kadandhu	kada ndhu
கடமை	kadamai	kada mai
கடலடி	kadaladi	kada ladi
கடலுக்கு	kadalukku	kada lukku
கடலோர	kadaloora	kada loora
கடல்	kadal	kada l
கடவுளே	kadavulee	kada vulee
கடற்கரை	kadarkarai	kadar karai
கடற்கரைச்	kadarkaraich	kadar karai ch
கடற்கரையில்	kadarkaraiyil	kadar karai yil
கடற்படை	kadarpadai	kadar padai
கடற்படைக்குச்	kadarpadaikkuch	kadar padai kku ch
கடிதங்கள்	kadidhangal	kadi dha<n> gal
கடிதம்	kadidham	kadi dham
கடுமையாக	kadumaiyaaha	kadu mai yaaha
கடுமையானது	kadumaiyaanadhu	kadu mai yaana dhu
கட்சியின்	katchiyin	katchi yin
கட்டடங்கள்	kattadangal	katta da<n> gal
கட்டப்பட்ட	kattappatta	katta ppatta
கட்டி	katti	katti
கட்டிடக்கலை	kattidakkalai	katti dakka lai
கட்டிடங்கள்	kattidangal	katti da<n> gal
கட்டுப்படுத்த	kattuppaduththa	kattu ppadu ththa
கட்டுமானப்	kattumaanap	kattu maana p
கட்டும்	kattum	kattu m
கணக்கெடுப்பு	kanakkeduppu	kana kkeduppu
கணப்பொழுதில்	kanappozudhil	kana ppozudh il
கண்	kan	kan
கண்காணித்து	kankaaniththu	kan kaani ththu
கண்டி	kanti	kanti
கண்ணீர்	kanniir	kann iir
கதவுகள்	kadhavuhal	kadhavu hal
கதிரியக்கம்	kadhiriyakkam	kadhir iyakkam
கதிர்வீச்சு	kadhirviichchu	kadhir viichchu
கப்பலில்	kappalil	kappal il
கப்பலும்	kappalum	kappal um
கப்பல்	kappal	kappal
கப்பல்களும்	kappalkalum	kappal kal um
கப்பல்களை	kappalkalai	kappal kal ai
கருதி	karudhi	karu dhi
கருத்து	karuththu	karu ththu
கரூர்	karuur	karu ur
கரை	karai	karai
கரைபுரண்டு	karaiburantu	karai burantu
கரையில்	karaiyil	karai yil
கரையை	karaiyai	karai yai
கரையைக்	karaiyaik	karai yai k
கரையோர	karaiyoora	karai yoora
கரையோரத்தை	karaiyooraththai	karai yoora thth ai
கரையோரப்	karaiyoorap	karai yoora p
கர்நாடக	karnaadaha	kar naa daha
கலந்து	kalandhu	kal andhu
கலவரம்	kalavaram	kal avaram
கலெக்டராக	kalektaraaha	kal ektar aaha
கலெக்டர்களுக்கு	kalektarkalukku	kal ektar kal ukku
கல்முனை	kalmunai	kal munai
கல்லூரி	kalluuri	kall uuri
கல்விக்	kalvik	kalvi k
கவனத்திற்கு	kavanaththirku	kavana ththirku
கவனம்	kavanam	kavana m
கவனிக்க	kavanikka	kavani kka
கவிதை	kavidhai	kavi dhai
கழிமுக	kazimuha	kazi muha
கழிவு	kazivu	kazi vu
கழிவுகளை	kazivuhalai	kazi vuha lai
கழுத்து	kazuththu	kazu ththu
கழுவுதல்	kazuvudhal	kazu vudhal
களை	kalai	kalai
கறுப்பு	karuppu	karuppu
கன	kana	kana
கனமழையால்	kanamazaiyaal	kana mazai yaal
கனவுகளை	kanavuhalai	kanavu hal ai
கன்னியாகுமரி	kanniyaahumari	kanni yaa humari
காக்கிறது	kaakkiradhu	kaakk iradhu
காங்கிரஸின்	kaangirasin	kaan giras in
காஞ்சி	kaanji	kaan ji
காஞ்சிபுரம்	kaanjiburam	kaan ji buram
காட்சி	kaatchi	kaatchi
காட்டில்	kaattil	kaatt il
காட்டுக்கு	kaattukku	kaattu kku
காட்டுத்	kaattuth	kaattu th
காண	kaana	kaana
காணக்கூடியதாக	kaanakkuudiyadhaaha	kaana kkuudiya dhaaha
