token	segmentation	root
begitu	begitu	begitu
Bekukan	Beku kan	Beku
belakang	belakang	belakang
belakangan	belakang an	belakang
Belasan	Belas an	Belas
beliung	beliung	beliung
belum	belum	belum
benahi	benah i	benah
benar-benar	benar - benar	benar
bencana	bencana	bencana
bendungan	bendung an	bendung
bening	bening	bening
Bentuk	Bentuk	Bentuk
berada	berada	berada
beradaptasi	ber adaptasi	adaptasi
berakhir	ber akhir	akhir
berakibat	ber akibat	akibat
beranjak	ber anjak	anjak
berapa	berapa	berapa
Berapi	Ber api	api
beras	beras	beras
berasal	ber asal	asal
berat	berat	berat
berawal	ber awal	awal
berbagai	ber bagai	bagai
berbasis	ber basis	basis
berbatu	ber batu	batu
berbentuk	ber bentuk	bentuk
berbicara	ber bicara	bicara
berbondong-bondong	ber bondong - bondong	bondong
bercampur	ber campur	campur
bercat	ber cat	cat
berdampak	ber dampak	dampak
berdarah	ber darah	darah
Berdasarkan	Ber dasar kan	dasar
berdaya	ber daya	daya
berdiri	ber diri	diri
berdiskusi	ber diskusi	diskusi
berdoa	ber doa	doa
berfungsi	ber fungsi	fungsi
berganti	ber ganti	ganti
bergulir	ber gulir	gulir
berhamburan	ber hambur an	hambur
Berhasil	Ber hasil	hasil
berhenti	ber henti	henti
Beri	Beri	Beri
Berikan	Beri kan	Beri
beriklim	ber iklim	iklim
Berikut	Ber ikut	ikut
berikutnya	ber ikut nya	ikut
berinvestasi	ber investasi	investasi
Berita	Berita	Berita
berjalan	ber jalan	jalan
berjumlah	ber jumlah	jumlah
berkarung-karung	ber karung - karung	karung
berkeinginan	ber ke ingin an	ingin
berkelok-kelok	ber kelok - kelok	kelok
berkembang	ber kembang	kembang
berkepanjangan	ber ke panjang an	panjang
berkerumun	ber ke rumun	rumun
berkilo-kilo	ber kilo - kilo	kilo
berkontribusi	ber kontribusi	kontribusi
berkoordinasi	ber koordinasi	koordinasi
berkuatan	ber kuat an	kuat
berkumpul	ber kumpul	kumpul
berkunjung	ber kunjung	kunjung
berkurang	ber kurang	kurang
berlalu	ber lalu	lalu
berlangsung	ber langsung	langsung
berlangsungnya	ber langsung nya	langsung
berlantai	ber lantai	lantai
berlari	ber lari	lari
berlayar	ber layar	layar
berlebihan	ber lebih an	lebih
berlinang	ber linang	linang
berlomba	ber lomba	lomba
Berlubang	Ber lubang	lubang
bermanfaat	ber manfaat	manfaat
berperan	ber peran	peran
berpusat	ber pusat	pusat
bersahabat	ber sahabat	sahabat
bersahut-sahutan	ber sahut - sahut an	sahut
bersamaan	ber sama an	sama
bersangkutan	ber sangkut an	sangkut
bersatu	ber satu	satu
bersebelahan	ber se belah an	belah
bersedia	ber sedia	sedia
bersemak	ber semak	semak
bersifat	ber sifat	sifat
Bersih	Bersih	Bersih
berskala	ber skala	skala
berstatus	ber status	status
bersumber	ber sumber	sumber
bertahun-tahun	ber tahun - tahun	tahun
bertindak	ber tindak	tindak
bertingkat	ber tingkat	tingkat
berukuran	ber ukur an	ukur
berulang	ber ulang	ulang
Beruntung	Ber untung	untung
berupa	be rupa	rupa
berusaha	ber usaha	usaha
berusia	ber usia	usia
bervariasi	ber variasi	variasi
berwenang	ber wenang	wenang
berwisata	ber wisata	wisata
besar	besar	besar
besar-besaran	besar - besar an	besar
besaran	besar an	besar
Besarnya	Besar nya	Besar
bestek	bestek	bestek
beterbangan	be terbang an	terbang
biak	biak	biak
biang	biang	biang
Biar	Biar	Biar
biasa	biasa	biasa
biasanya	biasa nya	biasa
bicara	bicara	bicara
bidang	bidang	bidang
Bikin	Bikin	Bikin
bila	bila	bila
bir	bir	bir
bisnis	bisnis	bisnis
bocor	bocor	bocor
Bogem	Bogem	Bogem
bola	bola	bola
bom	bom	bom
Bosan	Bosan	Bosan
botol	botol	botol
buat	buat	buat
buatan	buat an	buat
Budaya	Budaya	Budaya
Bujuk	Bujuk	Bujuk
bukan	bukan	bukan
bukti	bukti	bukti
Buktinya	Bukti nya	Bukti
bulan	bulan	bulan
bulan-bulan	bulan - bulan	bulan
Bumi	Bumi	Bumi
Bundaran	Bundar an	Bundar
Buru	Buru	Buru
Buruh	Buruh	Buruh
buruk	buruk	buruk
Buruknya	Buruk nya	Buruk
Butuh	Butuh	Butuh
Camat	Camat	Camat
canggih	canggih	canggih
Capai	Capai	Capai
catatan	catat an	catat
Catur	Catur	Catur
cedera	cedera	cedera
cek	cek	cek
Cempaka	Cempaka	Cempaka
cenderung	cenderung	cenderung
Center	Center	Center
cepat	cepat	cepat
cetak	cetak	cetak
CINCIN	CINCIN	CINCIN
ciri	ciri	ciri
Coba	Coba	Coba
COBAAN	COBA AN	COBA
Condong	Condong	Condong
contoh	contoh	contoh
Contohnya	Contoh nya	Contoh
corong	corong	corong
Cuaca	Cuaca	Cuaca
cukup	cukup	cukup
cuma	cuma	cuma
curah	curah	curah
curam	curam	curam
dada	dada	dada
daerah	daerah	daerah
Dahsyat	Dahsyat	Dahsyat
dahulu	d ah ulu	d ulu
dalam	dalam	dalam
dalamnya	dalam nya	dalam
Dampak	Dampak	Dampak
Dan	Dan	Dan
dana	dana	dana
dangkal	dangkal	dangkal
dapat	dapat	dapat
darah	darah	darah
Darurat	Darurat	Darurat
dasar	dasar	dasar
dasarnya	dasar nya	dasar
data	data	data
Daulat	Daulat	Daulat
daya	daya	daya
debit	debit	debit
deg-degan	deg - deg an	deg
dekade	dekade	dekade
dekat	dekat	dekat
delapan	delapan	delapan
demikian	demi ki an	demi
dengan	dengan	dengan
dengar	dengar	dengar
depan	depan	depan
depannya	depan nya	depan
Departemen	Departemen	Departemen
derajat	derajat	derajat
derita	derita	derita
Dermaga	Dermaga	Dermaga
desa	desa	desa
desa-desa	desa - desa	desa
Desember	Desember	Desember
destinasi	destinasi	destinasi
deteksi	deteksi	deteksi
detik	detik	detik
Dewa	Dewa	Dewa
dia	dia	dia
diabaikan	di abai kan	abai
diakibatkan	di akibat kan	akibat
diakses	di akses	akses
dialami	di alam i	alam
dialokasikan	di a lokasi kan	lokasi
diam-diam	diam - diam	diam
diambil	di ambil	ambil
dianggap	di anggap	anggap
diangkut	di angkut	angkut
Diantara	Di antara	antara
Diantisipasi	Di anti sipasi	sipasi
diare	diare	diare
diatas	di atas	atas
diatasi	di atas i	atas
dibangun	di bangun	bangun
dibantah	di bantah	bantah
dibantu	di bantu	bantu
dibawa	di bawa	bawa
Dibayangkan	Di bayang kan	bayang
dibentuk	di bentuk	bentuk
diberangkatkan	di ber angkat kan	angkat
diberikan	di beri kan	beri
diberitakan	di berita kan	berita
diberlakukan	di ber laku kan	laku
dibiarkan	di biar kan	biar
dibiayai	di biaya i	biaya
dibongkar	di bongkar	bongkar
dibuat	di buat	buat
dibubar	di bubar	bubar
Dibuka	Di buka	buka
dibuktikan	di bukti kan	bukti
didaulat	di daulat	daulat
didokumentasikan	di dokumen tasi kan	dokumen
diduga	di duga	duga
Dievakuasi	Di evakuasi	evakuasi
difokuskan	di fokus kan	fokus
Digital	Digital	Digital
digunakan	di guna kan	guna
diguncang	di guncang	guncang
dihadapkan	di hadap kan	hadap
dihajar	di hajar	hajar
dihantam	di hantam	hantam
diharap	di harap	harap
Diharapkan	Di harap kan	harap
dihari	di hari	hari
dihiasi	di hias i	hias
dihimpun	di himpun	himpun
dihitung	di hitung	hitung
dihubungi	di hubung i	hubung
diidentifikasi	di identifikasi	identifikasi
diimbau	di imbau	imbau
diinvestasikan	di investasi kan	investasi
diizinkan	di izin kan	izin
dijalan-jalan	di jalan - jalan	jalan
dijatuhkan	di jatuh kan	jatuh
Dijelaskan	Di jelas kan	jelas
dijumpai	di jumpa i	jumpa
Dikarenakan	Di karena kan	karena
Dikebut	Di kebut	kebut
dikejutkan	di kejut kan	kejut
dikelola	di kelola	kelola
dikerjakan	di kerja kan	kerja
Diketahui	Di ke tahu i	tahu
diketemukan	di ke temu kan	temu
dikhawatirkan	di khawatir kan	khawatir
dikirimkan	di kirim kan	kirim
dikit	dikit	dikit
dikonfirmasi	di konfirmasi	konfirmasi
dikunjungi	di kunjung i	kunjung
dilacak	di lacak	lacak
diladang	di ladang	ladang
dilakukan	di laku kan	laku
dilaluinya	di lalu i nya	lalu
dilanda	di landa	landa
dilansir	di lansir	lansir
dilepas	di lepas	lepas
dilepaskan	di lepas kan	lepas
dilestarikan	di lestari kan	lestari
dilokasi	di lokasi	lokasi
diminta	di minta	minta
dimulai	di mulai	mulai
dinamakan	di nama kan	nama
Dinas	Dinas	Dinas
Dinding	Dinding	Dinding
Dini	Dini	Dini
dinilai	di nilai	nilai
dipadamkan	di padam kan	padam
Dipastikan	Di pasti kan	pasti
diperankan	di peran kan	peran
diperantarai	di perantara i	perantara
diperbolehkan	di per boleh kan	boleh
Diperkirakan	Di per kira kan	kira
diperkuat	di per kuat	kuat
diperlukan	di perlu kan	perlu
dipermukaan	di per muka an	muka
diperoleh	di per oleh	oleh
dipersilangan	di per silang an	silang
dipertanyakan	di per tanya kan	tanya
dipimpin	di pimpin	pimpin
dipindahkan	di pindah kan	pindah
diplomatik	diplomatik	diplomatik
dipublikasikan	di publikasi kan	publikasi
diputuskan	di putus kan	putus
dirasakan	di rasa kan	rasa
diratakan	di rata kan	rata
direhabilitasi	di rehabilitasi	rehabilitasi
direkam	di rekam	rekam
Diri	Diri	Diri
dirilis	di rilis	rilis
disajikan	di saji kan	saji
disampaikan	di sampai kan	sampai
disana	di sana	sana
disapu	di sapu	sapu
disebabkan	di sebab kan	sebab
disebut	di sebut	sebut
Diselamatkan	Di selamat kan	selamat
disepanjang	di se panjang	panjang
diserahkan	di serah kan	serah
disertai	di serta i	serta
disetrum	di setrum	setrum
disewakan	di sewa kan	sewa
disiplin	disiplin	disiplin
distribusinya	distribusi nya	distribusi
ditaksir	di taksir	taksir
ditampilkan	di tampil kan	tampil
ditangani	di tangan i	tangan
ditangkap	di tangkap	tangkap
ditarik	di tarik	tarik
ditentukan	di tentu kan	tentu
diterapkan	di terap kan	terap
ditetapkan	di tetap kan	tetap
ditimbulkan	di timbul kan	timbul
ditularkan	di tular kan	tular
Ditunda	Di tunda	tunda
Ditutup	Di tutup	tutup
diucapkan	di ucap kan	ucap
diujung	di ujung	ujung
diungsikan	di ungsi kan	ungsi
divisi	divisi	divisi
divonis	di vonis	vonis
diwaktu-waktu	di waktu - waktu	waktu
doanya	doa nya	doa
dokumentasi	dokumentasi	dokumentasi
dolar	dolar	dolar
Dosen	Dosen	Dosen
dua	dua	dua
Duh	Duh	Duh
duit	duit	duit
Duku	Duku	Duku
dukung	dukung	dukung
dukungan	dukung an	dukung
Dulu	Dulu	Dulu
Dunia	Dunia	Dunia
Duren	Duren	Duren
Dusun	Dusun	Dusun
Duta	Duta	Duta
duyun	duyun	duyun
edukasi	edukasi	edukasi
efek	efek	efek
efektif	efektif	efektif
Ekologis	Ekologis	Ekologis
ekonomi	ekonomi	ekonomi
eksklusif	eksklusif	eksklusif
ekspedisi	ekspedisi	ekspedisi
eksplorasi	eksplorasi	eksplorasi
eksponensial	eksponensial	eksponensial
Ekspres	Ekspres	Ekspres
eksternal	eksternal	eksternal
ekstrem	ekstrem	ekstrem
emang	emang	emang
embusan	embus an	embus
empat	empat	empat
Energi	Energi	Energi
energinya	energi nya	energi
Enggak	Enggak	Enggak
epidemi	epidemi	epidemi
episenter	episenter	episenter
erat	erat	erat
erosi	erosi	erosi
Erupsi	Erupsi	Erupsi
es	es	es
esok	esok	esok
estimasi	estimasi	estimasi
evakuasi	evakuasi	evakuasi
fakta	fakta	fakta
faktor-faktor	faktor - faktor	faktor
fakultas	fakultas	fakultas
fasilitas	fasilitas	fasilitas
fasilitasinya	fasilitasi nya	fasilitasi
Februari	Februari	Februari
fenomena	fenomena	fenomena
fenomenal	fenomenal	fenomenal
final	final	final
fiskal	fiskal	fiskal
flu	flu	flu
Fokus	Fokus	Fokus
Forum	Forum	Forum
Foto	Foto	Foto
foto-foto	foto - foto	foto
fotografer	fotografer	fotografer
Fotonya	Foto nya	Foto
gabungan	gabung an	gabung
Gagal	Gagal	Gagal
galon	galon	galon
gambar	gambar	gambar
gambut	gambut	gambut
Ganteng	Ganteng	Ganteng
gedung	gedung	gedung
gedung-gedung	gedung - gedung	gedung
Gejala	Gejala	Gejala
gejala-gejala	gejala - gejala	gejala
gejalanya	gejala nya	gejala
Gelombang	Gelombang	Gelombang
gelombangnya	gelombang nya	gelombang
Gempa	Gempa	Gempa
gempanya	gempa nya	gempa
genap	genap	genap
Geofisika	Geofisika	Geofisika
geografi	geografi	geografi
Geologi	Geologi	Geologi
Gerbang	Gerbang	Gerbang
gergaji	gergaji	gergaji
getah	getah	getah
getaran	getar an	getar
Getarkan	Getar kan	Getar
gigaton	gigaton	gigaton
Global	Global	Global
gorong-gorong	gorong - gorong	gorong
Got	Got	Got
gua	gua	gua
gulung	gulung	gulung
Gulungan	Gulung an	Gulung
guna	guna	guna
gundul	gundul	gundul
Guntur	Guntur	Guntur
Gunung	Gunung	Gunung
Gunungraja	Gunung raja	Gunung
gusi	gusi	gusi
Habib	Habib	Habib
habitat	habitat	habitat
hadir	hadir	hadir
hakikatnya	hakikat nya	hakikat
hal	hal	hal
hal-hal	hal - hal	hal
hambatan	hambat an	hambat
Hamil	Hamil	Hamil
hampir	hampir	hampir
Hantam	Hantam	Hantam
Hanya	Hanya	Hanya
hanyut	hanyut	hanyut
harap	harap	harap
Harapan	Harap an	Harap
harfiah	harfiah	harfiah
hari	hari	hari
hari-hari	hari - hari	hari
harinya	hari nya	hari
haruslah	harus lah	harus
hasilnya	hasil nya	hasil
hati	hati	hati
hebat	hebat	hebat
heboh	heboh	heboh
Hebohkan	Heboh kan	Heboh
helikopter	helikopter	helikopter
hidrologi	hidrologi	hidrologi
hilang	hilang	hilang
Hilir	Hilir	Hilir
hotel	hotel	hotel
hubungan	hubung an	hubung
hujan	hujan	hujan
hujannya	hujan nya	hujan
hukum	hukum	hukum
Hulu	Hulu	Hulu
huniannya	hunian nya	hunian
Hutan	Hutan	Hutan
IBADAH	IBADAH	IBADAH
ibarat	ibarat	ibarat
Ibu	Ibu	Ibu
ibunya	ibu nya	ibu
ijal	ijal	ijal
ikhlas	ikhlas	ikhlas
Iklan	Iklan	Iklan
Iklim	Iklim	Iklim
ikut	ikut	ikut
Ilir	Ilir	Ilir
ilmiah	ilmiah	ilmiah
Ilmu	Ilmu	Ilmu
ilmuwan	ilmu wan	ilmu
Ilustrasi	Ilustrasi	Ilustrasi
imbas	imbas	imbas
Imbau	Imbau	Imbau
impor	impor	impor
inap	inap	inap
indah	indah	indah
induk	induk	induk
infeksi	infeksi	infeksi
informasi	informasi	informasi
Ini	Ini	Ini
inilah	ini lah	ini
insektisida	insektisida	insektisida
instrumen	instrumen	instrumen
intensitas	intensitas	intensitas
intensitasnya	intensitas nya	intensitas
internal	internal	internal
Ironisnya	Ironis nya	Ironis
Istri	Istri	Istri
istrinya	istri nya	istri
Isu	Isu	Isu
Jalan	Jalan	Jalan
jamban	jamban	jamban
Jambu	Jambu	Jambu
jamnya	jam nya	jam
jangan	jangan	jangan
jangka	jangka	jangka
janji	janji	janji
jantung	jantung	jantung
januari	januari	januari
jaraknya	jarak nya	jarak
jasad	jasad	jasad
Jati	Jati	Jati
jatuh	jatuh	jatuh
jatuhnya	jatuh nya	jatuh
jauh	jauh	jauh
jauhnya	jauh nya	jauh
jawab	jawab	jawab
Jaya	Jaya	Jaya
jebol	jebol	jebol
jebolnya	jebol nya	jebol
jelek	jelek	jelek
Jembatan	Jembatan	Jembatan
jendela	jendela	jendela
Jenderal	Jenderal	Jenderal
jentik-jentiknya	jentik - jentik nya	jentik
jenuh	jenuh	jenuh
Jepang	Jepang	Jepang
jerami	jerami	jerami
Jerman	Jerman	Jerman
Jeruk	Jeruk	Jeruk
Jika	Jika	Jika
jilbab	jilbab	jilbab
Jiwa	Jiwa	Jiwa
judi	judi	judi
Juga	Juga	Juga
juli	juli	juli
Jumat	Jumat	Jumat
Jumlah	Jumlah	Jumlah
jumlahkan	jumlah kan	jumlah
jumlahnya	jumlah nya	jumlah
juni	juni	juni
jurnal	jurnal	jurnal
juru	juru	juru
Jurus	Jurus	Jurus
justru	justru	justru
juta	juta	juta
Kabar	Kabar	Kabar
Kabupaten	Kabupaten	Kabupaten
Kaca	Kaca	Kaca
kacir	kacir	kacir
kadang-kadang	kadang - kadang	kadang 
kalah	kalah	kalah
kalau	kalau	kalau
Kali	Kali	Kali
kalian	kalian	kalian
kami	kami	kami
Kamis	Kamis	Kamis
kampanye	kampanye	kampanye
kampung	kampung	kampung
kantong	kantong	kantong
kantong-kantong	kantong - kantong	kantong
kantung	kantung	kantung
kapal	kapal	kapal
kapal-kapal	kapal - kapal	kapal 
kapanpun	kapan pun	kapan
kaprah	kaprah	kaprah
kapten	kapten	kapten
Kapur	Kapur	Kapur
karakteristik	karakteristik	karakteristik
karang	karang	karang
Karawang	Karawang	Karawang
karbon	karbon	karbon
karena	karena	karena
Karet	Karet	Karet
karir	karir	karir
kartu	kartu	kartu
kasus	kasus	kasus
Kata	Kata	Kata
Kata-kata	Kata - kata	Kata 
katanya	kata nya	kata
kawah	kawah	kawah
kawahnya	kawah nya	kawah
Kawasan	Kawasan	Kawasan
kayu	kayu	kayu
keadaan	ke ada an	ada
Kebakaran	Ke bakar an	bakar
kebanyakan	ke banya kan	banya
kebawah	ke bawah	bawah
kebeberapa	ke be berapa	berapa
keberadaan	ke berada an	berada
Keberangkatan	Ke berangkat an	berangkat
kebetulan	ke betul an	betul
Kebon	Kebon	Kebon
Kebun	Kebun	Kebun
Kecamatan	Ke camat an	camat
Kecelakaan	Ke celaka an	celaka
kecepatan	ke cepat an	cepat
Kecil	Kecil	Kecil
Kecuali	Kecuali	Kecuali
kedalaman	ke dalam an	dalam
Kedatangan	Ke datang an	datang
kedepannya	ke depan nya	depan
kedinginan	ke dingin an	dingin
Keempat	Ke empat	empat
kegelapan	ke gelap an	gelap
kegiatan	ke giat an	giat
Kehadiran	Ke hadir an	hadir
kehancuran	ke hancur an	hancur
kehendak	ke hendak	hendak
kehutanan	ke hutan an	hutan
kejadian	ke jadi an	jadi
Kejar	Kejar	Kejar
kejayaan	ke jaya an	jaya
kekagetan	ke kaget an	kaget
kekebalan	ke kebal an	kebal
kekerasan	ke keras an	keras
kekuatan	ke kuat an	kuat
kekurangan	ke kurang an	kurang
Kelalaian	Ke lalai an	lalai
kelam	kelam	kelam
kelambu	ke lambu	lambu
KELAPANGAN	KE LAPANG AN	LAPANG
Kelaparan	Ke lapar an	lapar
kelenjar	kelenjar	kelenjar
keluar	ke luar	luar
keluarnya	keluar nya	keluar
Kelurahan	Ke lurah an	lurah
kemajuan	ke maju an	maju
Kemanusian	Ke manusi an	manusi
Kemarin	Kemarin	Kemarin
kematian	ke mati an	mati
kembali	kembali	kembali
Kembangan	Kembang an	Kembang
Kemiringan	Ke miring an	miring
Kemudian	Ke mudi an	mudi
kemungkinan	ke mungkin an	mungkin
Kenaikan	Ke naik an	naik
Kenal	Kenal	Kenal
kenapa	kenapa	kenapa
kendala	kendala	kendala
kenyataan	ke nyata an	nyata
Kepada	Kepada	Kepada
kepala	kepala	kepala
Kepanikan	Ke panik an	panik
kepemilikan	ke pe milik an	milik
kepentingan	ke penting an	penting
kepercayaan	ke percaya an	percaya
Kepolisian	Ke polisi an	polisi
kepulan	kepul an	kepul
kepulauan	ke pulau an	pulau
Kepungan	Kepung an	Kepung
keputusannya	ke putus an nya	putus
kera	kera	kera
kerajinan	ke rajin an	rajin
kerap	kerap	kerap
kerja	kerja	kerja
kerusuhan	ke rusuh an	rusuh
kesalahan	ke salah an	salah
kesana	ke sana	sana
Kesebelas	Ke sebelas	sebelas
keselamatannya	ke selamat an nya	selamat
keseluruh	ke seluruh	seluruh
kesempatan	ke sempat an	sempat
kesepakatan	ke sepakat an	sepakat
kesepuluh	ke sepuluh	sepuluh
Kesimpangsiuran	Ke simpang siur an	simpang
Kesimpulannya	Ke simpul an nya	simpul
kesulitan	ke sulit an	sulit
kesusahan	ke susah an	susah
ketakutan	ke takut an	takut
ketenangan	ke tenang an	tenang
keterangan	ke terang an	terang
keterkaitan	ke ter kait an	kait
Ketiadaan	Ke tiada an	tiada
ketidak	ke tidak	tidak
ketidakseriusan	ke tidak serius an	serius
Ketika	Ke tika	tika
Ketimbang	Ke timbang	timbang
Ketua	Ke tua	tua
ketujuh	ke tujuh	tujuh
kewalahan	ke walah an	walah
khusyuk	khusyuk	khusyuk
Kidul	Kidul	Kidul
kilometer	kilometer	kilometer
kimia	kimia	kimia
kini	kini	kini
kira-kira	kira - kira	kira
kisah	kisah	kisah
Kita	Kita	Kita
klakson	klakson	klakson
klimatologi	klimatologi	klimatologi
klinis	klinis	klinis
kocar	kocar	kocar
Kolam	Kolam	Kolam
Koleksi	Koleksi	Koleksi
kombinasi	kombinasi	kombinasi
komentar	komentar	komentar
Komite	Komite	Komite
kompleks	kompleks	kompleks
komprehensif	komprehensif	komprehensif
komunikasi	komunikasi	komunikasi
Kondisi	Kondisi	Kondisi
Kondisinya	Kondisi nya	Kondisi
konfigurasi	konfigurasi	konfigurasi
Konflik	Konflik	Konflik
konsesi	konsesi	konsesi
konsetrasinya	konsetrasi nya	konsetrasi
konstruksi	konstruksi	konstruksi
koordinasi	koordinasi	koordinasi
Kota	Kota	Kota
Kota-kota	Kota - kota	kota
kotak	kotak	kotak
Krisis	Krisis	Krisis
kronis	kronis	kronis
Kronologis	Kronologis	Kronologis
kru	kru	kru
kuarsa	kuarsa	kuarsa
Kuat	Kuat	Kuat
Kuburan	Kubur an	Kubur
kue	kue	kue
Kulai	Kulai	Kulai
kuning	kuning	kuning
Kunjungannya	Kunjung an nya	Kunjung
kuno	kuno	kuno
Kupang	Kupang	Kupang
kurang	kurang	kurang
kurangi	kurang i	kurang
kurma	kurma	kurma
kurun	kurun	kurun
kutub	kutub	kutub
laba	laba	laba
Ladang	Ladang	Ladang
lain	lain	lain
lainnya	lain nya	lain
laju	laju	laju
laksana	laksana	laksana
Lakukan	Laku kan	Laku
Lalu	Lalu	Lalu
lama	lama	lama
lampu	lampu	lampu
Langganan	Langgan an	Langgan
langka	langka	langka
langkah	langkah	langkah
Langsung	Langsung	Langsung
lanjut	lanjut	lanjut
Lanjutkan	Lanjut kan	Lanjut
lantai	lantai	lantai
lapang	lapang	lapang
lapangan	lapang an	lapang
lapisan	lapis an	lapis
Laporan	Lapor an	Lapor
Laporannya	Laporan nya	Laporan
lapuknya	lapuk nya	lapuk
Larikan	Lari kan	Lari
Laut	Laut	Laut
lautan	laut an	laut
Lawang	Lawang	Lawang
layanan	layan an	layan
lebat	lebat	lebat
lebur	lebur	lebur
legislatif	legislatif	legislatif
lekas	lekas	lekas
lembaga	lembaga	lembaga
lempeng	lempeng	lempeng
Lenyap	Lenyap	Lenyap
lepas	lepas	lepas
lereng	lereng	lereng
lestari	lestari	lestari
letaknya	letak nya	letak
Letnan	Letnan	Letnan
letusan	letus an	letus
lewat	lewat	lewat
lihat	lihat	lihat
likuifikasi	likuifikasi	likuifikasi
Lima	Lima	Lima
Limapuluh	Lima puluh	Lima
limpasan	limpas an	limpas
lingkaran	lingkar an	lingkar
Lingkungan	Lingkung an	Lingkung
lipat	lipat	lipat
lisensi	lisensi	lisensi
literatur	literatur	literatur
logikanya	logika nya	logika
logistik	logistik	logistik
lokal	lokal	lokal
Lokasi	Lokasi	Lokasi
lokasi-lokasi	lokasi - lokasi	lokasi 
longsor	longsor	longsor
longsoran	longsor an	longsor
losion	losion	losion
Lubuk	Lubuk	Lubuk
luka	luka	luka
luka-luka	luka - luka	luka
Lumpur	Lumpur	Lumpur
lupa	lupa	lupa
lusa	lusa	lusa
lutut	lutut	lutut
maaf	maaf	maaf
macet	macet	macet
maghrib	maghrib	maghrib
magnitud	magnitud	magnitud
Maha	Maha	Maha
mahasiswa	maha siswa	siswa
maka	maka	maka
Makalah	Makalah	Makalah
MAKIN	MAKIN	MAKIN
malah	malah	malah
Malam	Malam	Malam
malaria	malaria	malaria
mampir	mampir	mampir
mampu	mampu	mampu
mandi	mandi	mandi
mandiri	mandiri	mandiri
Mangga	Mangga	Mangga
mantap	mantap	mantap
Manusia	Manusia	Manusia
Maret	Maret	Maret
Maritim	Maritim	Maritim
Markas	Markas	Markas
mas	mas	mas
Masa	Masa	Masa
Masalah	Masalah	Masalah
MASIH	MASIH	MASIH
masing-masing	masing - masing	masing
