token	segmentation	root
anarudi	a na rudi	rudi
Anasema	A na sem a	sem
anatarajiwa	a na taraji w a	taraji
anatibiwa	a na tibi w a	tibi
anatokwa	a na tok w a	tok
anaugua	a na ugu a	ugu
anawaomba	a na wa omb a	omb
anayejua	a na ye ju a	ju
anayeshukiwa	a na ye shuki w a	shuki
angalia	angali a	angali
angani	anga ni	anga
Ardhi	Ardhi	Ardhi
arobaini	arobaini	arobaini
arudi	a rudi	rudi
arudishwa	a rud ish w a	rud
asiendelee	a si endele e	endele
asilia	a sili a 	sili
asiongee	a si onge e	onge
asipite	a si pit e	pit
asiyefahamika	a si ye faham ik a	faham
atakayekiuka	a ta ka ye kiu k a	kiu
Atakayetoa	A ta ka ye to a	to
athari	athari	athari
atiwa	a tiw a	tiw
Atlantiki	Atlantiki	Atlantiki
au	au	au
Awali	Awali	Awali
AZIMIO	AZIM I O	AZIM
baa	baa	baa
baada	baada	baada
Baadaye	Baada ye	Baada
badala	badala	badala
bahari	bahari	bahari
baharini	bahari ni	bahari
bakiteria	bakiteria	bakiteria
balaa	balaa	balaa
balozi	balozi	balozi
bara	bara	bara
barabara	bara bara 	bara 
barani	bara ni	bara 
Bastola	Bastola	Bastola
be	be	be
Bi	Bi	Bi
biashara	biashara	biashara
Bidhaa	Bidhaa	Bidhaa
bila	bila	bila
binadamu	binadamu	binadamu
bintiye	binti ye	binti
bioteknolojia	bioteknolojia	bioteknolojia
bomba	bomba	bomba
Bonde	Bonde	Bonde
Brigedia	Brigedia	Brigedia
Bunge	Bunge	Bunge
bure	bure	bure
chache	ch ache 	ache 
CHAFU	CHAFU	CHAFU
changamoto	changa moto	moto
changarawe	changa rawe 	rawe 
chini	chini	chini
chombo	ch ombo	ombo
chote	ch ote	ote
chuo	chuo	chuo
chupa	chupa	chupa
dafu	dafu	dafu
Dalili	Dalili	Dalili
daraja	daraja	daraja
dawa	dawa	dawa
desturi	desturi	desturi
Dharura	Dharura	Dharura
dhoruba	dhoruba	dhoruba
diwani	diwani	diwani
dogo	dogo	dogo
Dola	Dola	Dola
dripu	dripu	dripu
Duka	Duka	Duka
dukani	duka ni	duka
dumu	dumu	dumu
duniani	dunia ni	dunia
Elfu	Elfu	Elfu
eti	eti	eti
faini	faini	faini
fani	fani	fani
fedha	fedha	fedha
figo	figo	figo
fitna	fitna	fitna
foleni	foleni	foleni
fukwe	fukwe	fukwe
gani	gani	gani
geni	geni	geni
gesi	gesi	gesi
ghafla	ghafla	ghafla
gharama	gharam a	gharam
Ghasia	Ghasia	Ghasia
haba	haba	haba
HABARI	HABARI	HABARI
hadharani	hadhar a ni	hadhar
hadi	hadi	hadi
haijaeleweka	ha i ja elew ek a	elew
haijaisha	ha i ja ish a	ish
haijajiandaa	ha i ja ji anda a	anda
haijatengamaa	ha i ja tengama a	tengama
haikunyesha	ha i ku ny esh a	ny
haikuwa	ha i kuw a	kuw
haipaswi	ha i pas w i	pas
haitoshi	ha i toshi	toshi
haizingatiwi	ha i zingati w i	zingati
hajakamatwa	ha ja kamat w a	mat
Haki	Haki	Haki
hakikuwa	ha ki kuw a	kuw
hakusaidii	ha ku saidi i	saidi
hali	hali	hali
halikadhalika	hali kadhalika	hali
halimashauri	halimashauri	halimashauri
Halmashauri	Halmashauri	Halmashauri
hao	ha o	ha
hapa	ha pa	ha
hapo	ha po	ha
HARAKA	HARAKA	HARAKA
hatima	hatim a	hatim
hatimaye	hatim a ye	hatim
Hatua	Hatua	Hatua
hatuna	ha tun a	tun
hatuwapi	ha tu wa p i	p
haujadhihirika	ha u ja dhihir ik a	dhihir
haujatangazwa	ha u ja tangaz w a	tangaz
haukutokea	ha u ku tok e a	tok
hawa	ha wa	ha
hawajaondoka	ha wa ja ondo k a	ondo
hawakuzichoma	ha wa ku zi chom a	chom
hawataisahau	ha wa ta i sahau	sahau
hawataki	ha wa tak i	tak
haya	ha ya	ha
hayana	ha ya na	ha 
hayatatangazwa	ha ya ta tangaz w a	tangaz
Hayo	Ha yo	Ha
hazijajulikana	ha zi ja ju lik an a	ju
hazionekane	ha zi on ek an e 	on
hazipitiki	ha zi pit ik i	pit
hazipo	ha zi po	po
hazitachukuliwa	ha zi ta chuku liw a	chuku
hazitaletwa	ha zi ta let w a	let
hazitarajiwi	ha zi taraji w i	taraji
haziwezi	ha zi wez i	wez
hekta	hekta	hekta
herufi	herufi	herufi
hewa	hewa	hewa
hewani	hewa ni	hewa
hicho	hi cho	hi
Hiki	Hi ki	Hi
HILI	HI LI	HI
hilo	hi lo	hi
hivi	hi vi	hi
hizi	hi zi	hi
hizo	hi zo	hi
Hospitali	Hospitali	Hospitali
hotuba	hotuba	hotuba
huadhimisha	hu adhim ish a	adhim
huambukizwa	hu ambu k iz w a	ambu
huchafuliwa	hu chafu liw a	chafu
huchukua	hu chuku a	chuku
huenda	hu end a	end
hufariki	hu fariki	fariki
hufika	hu fik a	fik
hufuatiwa	hu fuat i w a	fuat
hugusa	hu gus a	gus
huko	hu ko	hu
huku	hu ku	hu
hulazimika	hu lazim ik a	lazim
humuhumu	humu humu	humu
huo	hu o	hu
huohuo	huo huo	huo
hupata	hu pat a	pat
hupewa	hu p<e> w a	p<e>
hurikan	hurikan	hurikan
husababisha	hu sabab ish a	sabab
husika	hus ik a	hus
hutokana	hu tok an a	tok
huu	huu	huu
huvuja	hu vuj a	vuj
huweza	hu wez a	wez
huyu	hu yu	hu
Huzuni	Huzuni	Huzuni
ichukue	i chuku e	chuku
Idadi	Idadi	Idadi
ifikapo	i fik a po	fik
Ijumaa	Ijumaa	Ijumaa
ikaathiri	i ka athiri	athiri
ikaleta	i ka let a	let
ikaongeza	i ka ongez a	ongez
ikashindwa	i ka shind w a	shind
ikifanya	i ki fany a	fany
ikifanyika	i ki fany ik a	fany
ikitoa	i ki to a	to
ikitokea	i ki tok e a	tok
ikivuja	i ki vuj a	vuj
ikiwahimiza	i ki wa him iz a	him
ikiwamo	i ki wamo	wamo
ikizingilwa	i ki zingil w a	zingil
ikweta	ikweta	ikweta
ila	ila	ila
ile	i le	le
Ili	Ili	Ili
iliathirika	i li athir ik a	athir
ilichangia	i li chang i a	chang
ilielezwa	i li elez w a	elez
ilikufa	i li ku f a	f
ilikukimbia	i li ku kimbi a	kimbi
ilikumbwa	i li kumb w a	kumb
ililazimika	i li lazim ik a	lazim
iliojiri	i li o jiri	li
ilioko	i li o ko	li
iliomba	i li omb a	omb
ilionekana	i li on ek an a	on
ilipoharibu	i li po haribu	haribu
ilipotimu	i li potim u	potim
ilipozungumza	i li po zungum z a	zungum
iliruka	i li ruk a	ruk
ilishatolewa	i li sha to lew a	to
ilitoa	i li to a	to
ilitokana	i li tok an a	tok
ilivyo	i li vyo	vyo
ilivyoathirika	i li vyo athir ik a	athir
ilivyoripotiwa	i li vyo ripoti w a	ripoti
ilivyotarajiwa	i li vyo taraji w a	taraji
iliyoambatana	i li yo ambat an a	ambat
iliyoathirika	i li yo athir ik a	athir
iliyofanywa	i li yo fany w a	fany
iliyoitishwa	i li yo it ish w a	it
iliyoko	i li yo ko	li
iliyokuwa	i li yo kuw a	kuw
iliyoleta	i li yo let a	let
iliyonyesha	i li yo ny esh a	ny
iliyopelekea	i li yo pelek e a	pelek
iliyopita	i li yo pit a	pit
iliyoruhusu	i li yo ruhus u	ruhus
iliyotokana	i li yo tok an a	tok
iliyotokea	i li yo tok e a	tok
imani	imani	imani
imeadimika	i me adim ik a	adim
imeahidi	i me ahid i	ahidi
imeamua	i me amu a	amu
imeanza	i me anz a	anz
imebadilishwa	i me badil ish w a	badil
imebainika	i me bain ik a	bain
imebainisha	i me bain ish a	bain
imechafuliwa	i me chafu liw a	chafu
imedhibitisha	i me dhibit ish a	dhibit
imeeleza	i me elez a	elez
imeelezwa	i me elez w a	elez
imeendelea	i me endel e a	endele
imefikia	i me fik i a	fik
imefurika	i me fur ik a	fur
imekuja	i me kuj a	kuj
imekuwa	i me kuw a	kuw
imelikumba	i me li kumb a	kumb
imeongeza	i me ongez a	ongez
imeongezeka	i me ongez ek a	ongez
imepanda	i me pand a	pand
imepata	i me pat a	pat
imepiga	i me pig a	pig
imesabisha	i me sab ish a	sab
imesema	i me sem a	sem
imesemekana	i me sem ek an a	sem
imeshindikana	i me shind ik an a	shind
imeshuhudia	i me shuhudi a	shuhudi
imetahadharisha	i me ta hadhar ish a	hadhar
imetangaza	i me tanga z a	tangaz
imeteketea	i me teket e a	teket
imethibitika	i me thibit ik a	thibit
imetoa	i me to a	to
imetoka	i me tok a	tok
imetokana	i me tok an a	tok
imetokomeza	i me tokom ez a	tokom
Imetolewa	I me to lew a	to
imetuma	i me tum a	tum
imewahi	i me wahi	hi
imewaondoa	i me wa ondo a	ondo
imewatahadharisha	i me wa ta hadhar ish a	hadhar
imewaua	i me wa u a	u
imeweka	i me wek a	wek
imewekwa	i me wek w a	wek
inaanza	i na anz a	anz
Inadaiwa	I na dai w a	dai
inadhaniwa	i na dhani w a	dhani
inaendelea	i na endel e a	endele
inahitajika	i na hitaj ik a	hitaj
inajitahidi	i na ji tahid i	tahidi
inajukumu	i na jukum u	jukum
inakana	i na kan a	kan
inakumbwa	i na kumb w a	kumb
inaleta	i na let a	let
inaona	i na on a	on
Inaonekana	I na on ek an a	on
inapatikana	i na pat ik an a	pat
inapopambana	i na po pamban a	pamban
inasaidia	i na saidi a	saidi
inasema	in a sem a	sem
inashuhudiwa	i na shuhudi w a	shuhudi
inatokomezwa	i na tokom ez w a	tokom
inawezekana	i na wez ek an a	wez
inayoandamana	i na yo andam an a	andam
inayoanza	i na yo anz a	anz
inayojulikana	i na yo ju lik an a	ju
inayoonekana	i na yo on ek an a	on
inayoshirikisha	i na yo shirik ish a	shirik
Inayoshughulikia	I na yo shughul ik i a	shughul
inayotarajiwa	i na yo taraji w a	taraji
inayotolewa	i na yo to lew a	to
Ingawa	Ingawa	Ingawa
ingawaje	ingawa je	ingawa
Ingekuwa	Inge kuw a	kuw
ioze	i oz e	oz
ipasavyo	i pasa vyo	pasa
ipo	i po	po
ishara	ishara	ishara
isije	i si je	je
isiyokuwa	i si yo kuw a	kuw
itabidi	i ta bidi	bidi
itaendelea	i ta endel e a	endele
itakapojipanga	i ta ka po ji pang a	pang
itakavyokuwa	i ta ka vyo kuw a	kuw
itakuwa	i ta kuw a	kuw
itanyesha	i ta ny esh a	ny
itapunguza	i ta pung uz a	pung
itarejelea	i ta rej e le a	rej
itatoa	i ta to a	to
itokayo	i tok a yo	tok
itumie	i tum i e	tum
Itwayo	I twa yo	twa
Iwapo	Iwa po	po
jamaa	jamaa	jamaa
jamani	jamani	jamani
jamii	jamii	jamii
Jamuhuri	Jamuhuri	Jamuhuri
Janga	Janga	Janga
jangwa	jangwa	jangwa
Jangwani	Jangwa ni	Jangwa
jela	jela	jela
Jiji	Ji ji	ji
Jimbo	Jimbo	Jimbo
jina	jina	jina
jinsi	jinsi	jinsi
jiolojia	jiolojia	jiolojia
Jitihada	Jitihada	Jitihada
joto	joto	joto
Jua	Jua	Jua
Juhudi	Juhudi	Juhudi
Julai	Julai	Julai
juma	juma	juma
Jumla	Juml a	Juml
Jumuiya	Jumuiya	Jumuiya
Juni	Juni	Juni
kabila	kabila	bila
kabisa	kabisa	bisa
Kabla	Kabla	Kabla
kadha	kadha	dha
kadhalika	kadhalika	dhalika
kafanya	ka fany a	fany
KAHAMA	KA HAM A	HAM
kaka	kaka	ka
Kalenga	Ka leng a	leng 
kama	kama	ma
kamaliza	ka maliz a	maliz
KAMBI	KAMBI	KAMBI
Kamishna	Kamishna	Kamishna
kampeini	kampeini	mpeini
kampeni	kampeni	mpeni
kampuni	kampuni	mpuni
Kanda	Kanda	Kanda
Kansela	Kansela	Kansela
karibu	karibu	ribu
karibuni	karibu ni	ribu
Kasi	Kasi	Kasi
Kaskazini	Kaskazi ni	Kaskazi
kasoro	kasoro	soro
kata	kata	ta
katiba	katiba	tiba
katibu	katibu	tibu
katoka	ka to ka	tok
Kauli	Kauli	Kauli
Kaunti	Kaunti	Kaunti
Kavu	Kavu	Kavu
kazini	kazi ni	zi
kesho	kesho	kesho
Kesi	Kesi	Kesi
kiasi	kiasi	kiasi
kibaya	ki baya	baya
kibiashara	ki biashara	biashara
Kibinadamu	Ki binadamu	binadamu
kibinafsi	ki binafsi	binafsi
kifedha	ki fedha	fedha
kifo	kifo	kifo
kifua	kifua	kifua
kifungo	kifungo	kifungo
kifupi	ki fupi	fupi
kifusi	kifusi	kifusi
Kigogo	Ki gogo	gogo
kigoma	kigoma	Kigoma
Kihindi	Ki hindi	hindi
kijamii	ki jamii	jamii
kijijini	ki jiji ni	jiji
kijiografia	ki jiografia	jiografia
kijiolojia	ki jiolojia	jiolojia
kijulikanacho	ki ju lik a na cho	ju
kikabila	ki kabila	bila
kikali	ki kali	li
kikamilifu	ki kamili fu	mili
kikao	ki kao	o
KIKATIBA	KI KATIBA	KATIBA
kike	ki ke	ke
kikielekea	ki ki eleke a	eleke
kikiwa	ki ki wa	wa
Kikosi	Ki kosi	kosi
kikubwa	ki kubwa	kubwa
kikundi	ki kundi	kundi
Kikuu	Ki kuu	kuu
KILA	KILA	KILA
kile	ki le	le
kiliathiriwa	ki li athiri w a	athiri
kilichogunduliwa	ki li cho gundu liw a	gundu
kilichojiri	ki li cho jiri	jiri
kilichokuwa	ki li cho kuw a	kuw
Kilichomkasirisha	Ki li cho m kasir ish a	sir
kilichopelekwa	ki li cho pelek w a	pelek
kilichopewa	ki li cho p<e> w a	p<e>
kilichopo	ki li cho po	po
kilichotokana	ki li cho tok an a	tok
kilichowekwa	ki li cho wek w a	wek
kilifagia	ki li fagi a	fagi
kilifika	ki li fik a	fik
Kilifuata	Ki li fuat a	fuat
kiliharibu	ki li haribu	haribu
kilima	ki lima	ki lima
kilimo	kilimo	kilimo
kilisema	ki li sem a	sem
kilishushwa	ki li shu sh w a	shu
Kimarekani	Ki marekani	marekani
kimataifa	ki ma taifa	taifa
kimaumbile	ki ma umbil e	umbil
kimbunga	ki mbunga	mbunga
kimeathiri	ki me athiri	athiri
kimedolola	ki me dolol a	dolol
kimeendelea	ki me endele a	endele
kimeezuliwa	ki me ezu liw a	ezu
kimesababisha	ki me sabab ish a	sabab
kimeuwa	ki me uw a	uw
kinachemsha	ki na chem sh a	chem
kinachoendelea	ki na cho endel e a	endele
kinachokabiliwa	ki na cho kabili w a	kabili
kinachotakiwa	ki na cho tak i w a	tak
kinafuata	ki na fuat a	fuat
kinakuja	ki na kuj a	kuj
kinapoyafikia	ki na po ya fik i a	fik
kinasema	ki na sem a	sem
kinazidi	ki na zidi	zidi
kingine	ki ngine	ingine
Kingo	Kingo	Kingo
kinidhamu	ki nidhamu	dhamu
kipaumbele	ki pa umbel e	umbel
kipekee	ki pekee	pekee
kipo	ki po	po
Kipolisi	Ki polisi	polisi
Kipumbwi	Ki pumbwi	pumbwi
Kirusi	Ki rusi	rusi
kisa	ki sa	sa
kisambazwe	ki samba z w e	samba
kisha	k i sha	sha
kishindo	ki shindo	shindo
kisiasa	ki siasa	siasa
kisiwani	kisiwa ni	kisiwa
kisukuma	ki sukuma	sukuma
Kiswahili	Ki swahili	swahili
kitaalam	ki taalam	taalam
kitaendelea	ki ta endel e a	endele
Kitaifa	Ki taifa	taifa
kitakachosababisha	ki ta ka cho sabab ish a	sabab
kitendo	ki tend o	tend
kitisho	ki tish o	tish
Kitivo	Ki tivo	tivo
Kitovu	Ki tovu	tovu
kitropiki	ki tropiki	tropiki
kitu	ki tu	tu
kiuchumi	ki uchumi	uchumi
kiufundi	ki u fundi	fundi
kiume	ki ume	ume
Kiunga	Ki unga	unga
kiutalaam	ki u talaam	talaam
kivita	ki vita	vita
Kizayuni	Ki zayuni	zayuni
klabu	klabu	klabu
koo	koo	koo
kooni	koo ni	koo
Kopa	Kop a	Kop
kuachia	ku ach i a	ach
kuahirishwa	ku ahir ish w a	ahir
kuambukiza	ku ambu k iz a	ambu
kuandamana	ku andam an a	andam
kuandika	ku andik a	andik
kuanza	ku anz a	anz
kuanzishwa	ku anz ish w a	anz
kuathiriwa	ku athiri w a	athiri
kubadili	ku badili	badili
kuboresha	ku bor esh a	bor
KUBWA	KUBWA	KUBWA
kuchangia	ku chang i a	chang
kuchimba	ku chimb a	chimb
kuchoma	ku chom a	chom
kuchomwa	ku chom w a	chom
kuchukua	ku chuku a	chuku
kuchunga	ku chung a	chung
kuchunguza	ku chunguz a	chunguz
kudumu	ku dumu	dumu
kuelekea	ku eleke a	eleke
kuelimika	ku elim ik a	elim
kuendesha	ku end esh a	end
kuenea	ku ene a	ene
kufa	ku f a	f
kufadhili	ku fadhili	fadhili
Kufanana	Ku fan an a	fan
kufariki	ku fariki	fariki
kuficha	ku fich a	fich
Kufikia	Ku fik i a	fik
kufikisha	ku fik ish a 	fik
kufikishwa	ku fik ish w a	fik
kufuatana	ku fuat an a	fuat
kufufua	ku fufu a	fufu
kufukuzwa	ku fukuz w a	fukuz
kufumaniwa	ku fuman i w a	fuman
kufundisha	ku fund ish a	fund
kufunga	ku fung a	fung
kugawa	ku gaw a	gaw
kugeuka	ku geuk a	geuk
kugundulika	ku gundu lik a	gundu
kuhaha	ku haha	haha
kuhakikisha	ku hakik ish a	hakik
kuhamishiwa	ku hamish i w a	hamish
kuharibika	ku harib ik a	harib
kuharibiwa	ku haribi w a	haribi
kuharibu	ku haribu	haribu
kuharisha	ku har ish a	har
kuheshimiana	ku heshim i an a	heshim 
kuheshimiwa	ku heshim i wa	heshim
kuhudhuria	ku hudhur i a	hudhur
kuhusiana	ku hus i an a	hus
Kuhusu	Ku husu	husu
kuibuka	ku i buk a	buk
kuifanya	ku i fany a	fany
kuilaumu	ku i laum u	laum
kuimarika	ku imar ik a	imar
kuimarisha	ku imar ish a	imar
kuingia	ku ing i a	inga
kuinua	ku inu a	inu
kuipa	ku i p a	p
kuirejesha	ku i rej esh a	rej
kuisaidia	ku i saidi a	saidi
kuisimamia	ku i simam i a	simam
kuitumia	ku i tum i a	tum
kuja	ku ja	ja
kujaa	ku ja a	ja
kujaribu	ku jaribu	jaribu
kujenga	ku jeng a	jeng
kujengea	ku jeng e a	jeng
kujeruhi	ku jeruhi	jeruhi
kujeruhiwa	ku jeruhi w a	jeruhi
kujiandaa	ku ji anda a	anda
kujibu	ku jibu	jibu
kujiepusha	ku ji epu<sh> a	epu<sh>
kujifunga	ku ji fung a	fung
kujiimarisha	ku ji imar ish a	imar
KUJIKINGA	KU JI KING A	KING
kujisafisha	ku ji saf ish a	ji saf
kujitayarisha	ku ji tayar ish a	tayar
kujizuia	ku ji zui a	zui
kujua	ku ju a	ju
kukaa	ku ka a	ka
Kukabiliana	Ku kabili an a	kabili
kukadiriwa	ku kadiri w a	kadiri
kukagua	ku kagu a	kagu
kukakabiliana	ku ka kabili an a	kabili
kukamatwa	ku kamat w a	kamat
kukarabati	ku karabati	karabati
kukatisha	ku kat ish a	kata
kukidhi	ku kidhi	kidhi
kukimbilia	ku kimbi li a	kimbi
kukiwa	ku ki wa	ki
kukopesha	ku kop esh a	kop
kukosa	ku kos a	kos
kukosoa	ku kos o a	kos
kukumbwa	ku kumb w a	kumb
KUKUMBWA	KU KUMB W A	KUMB
kukwama	ku kwam a	kwam
kulala	ku lal a	lal
kulaumiwa	ku laum i w a	laum
kulazimika	ku lazim ik a	lazim
kulegea	ku leg e a	leg
kulia	ku li a	li
kuliita	ku li it a	it
kuliko	kuliko	kuliko
kulima	ku lim a	lim
kulinda	ku lind a	lind
kulinga	ku ling a	ling
Kulingana	Ku ling an a	linga
kulipuka	ku li puk a	puk
kulitokea	ku li tok e a	tok
kumalizika	ku maliz ik a	maliz
kumchukua	ku m chuku a	chuku
kumchukulia	ku m chuku li a	chuku
kumekua	ku me ku a	ku
kumesababisha	ku me sabab ish a	sabab
kumsaidia	ku m saidi a	saidi
kumshukuru	ku m shukuru	shukuru
kumsubiria	ku m subiri a	subiri
kumudu	ku mudu	mudu
kumuongezea	ku mu ongez e a	ongez
kumwomba	ku mw omb a	omb
kunapotokea	ku na po tok e a	tok
kung’oa	ku ng’o a	ng’o
kung’olewa	ku ng’o lew a	ng’o
kungojea	ku ngoj e a	ngoj
kuniacha	ku ni ach a	ach
kununua	ku nunu a	nunu
kununulia	ku nunu li a	nunu
kunyesha	ku ny esh a	ny
kunywa	ku nyw a	nyw
kuomba	ku omb a	omb
kuona	ku on a	on
kuondoa	ku ondo a	ondo
kuonekana	ku on ek an a	on
kuongea	ku onge a	onge
kuosha	ku osh a	osh
kupakiwa	ku pak i w a	pak
kupanga	ku pang a	pang
kupata	ku pat a	pat
kupelekwa	ku pelek w a	pelek
kupewa	ku p<e> w a	p<e>
kupiga	ku pig a	pig
kupigana	ku pig an a	pig
kupigiwa	ku pig i w a	pig
kupika	ku pik a	pik
kupinduka	ku pindu k a	pindu
kupisha	ku pish a	pish
kupitia	ku pit i a	pit
kupokea	ku poke a	poke
kupotea	ku pot e a	pot
kupotelewa	ku pot e lew a	pot
kupoteza	ku pot ez a	pot
kurahisisha	ku rahis ish a	rahis
kuridhisha	ku ridhish a	ridhish
kurudishwa	ku rud ish w a	rud
kuruka	ku ruk a	ruk
kusafiri	ku safiri	safiri
kusafisha	ku saf ish a	saf
kusaka	ku sak a	sak
kusalia	ku sal i a	sal
kusambaa	ku samba a	samba
kusambaratika	ku sambarati k a	sambarati
kusambaza	ku samba z a	samba
kusema	ku sem a	sem
kushangaza	ku shanga z a	shanga
kushika	ku shik a	shik
kushughilikia	ku shughil ik i a	shughil
kushuhudia	ku shuhudi a	shuhudi
kusimamia	ku simam i a	simam
kusombwa	ku somb w a	somb
kusubiri	ku subiri	subiri
kusukuma	ku sukum a	sukum
kuta	kuta	kuta
kutabasamu	ku tabasamu	tabasamu
kutabiriwa	ku tabiri w a	tabiri
kutafuta	ku ta fut a	ta fut
kutambaa	ku tamba a	tamba
kutapika	ku tap ik a	tap
kutathmini	ku tathmini	tathmini
kutatiza	ku tatiz a	tatiz
kutatokea	ku ta tok e a	tok
kuteketeza	ku teket ez a	teket
kuthibitishwa	ku thibit ish w a	thibit
kutii	ku tii	tii
kutoa	ku to a	to
kutoka	ku tok a	tok
KUTOKANA	KU TOK AN A	TOK
kutokea	ku tok e a	tok
kutokulegeza	ku to ku leg ez a	leg
kutokwa	ku tok w a	tok
kutolewa	ku to lew a	to
kutopitika	ku to pit ik a	pit
kutosha	ku tosh a	tosh
kutotambulika	ku to tambu lik a	tambu
kutuliza	ku tul iz a	tul
kutumbukiza	ku tumbuk iz a	tumbuk
kutumika	ku tum ik a	tum
kutupa	ku tup a	tup
kuua	ku ua	ua
kuunga	ku ung a	ung
kuungana	ku ung an a	ung
kuuwa	ku uw a	uw
kuuza	ku uz a	uz
kuvamiwa	ku vami w a	vami
kuvirusha	ku vi rush a	rush
kuvuja	ku vuj a	vuj
kuvunja	ku vunj a	vunj
Kuwa	Kuwa	Kuwa
kuwaacha	ku wa ach a	ach
kuwadhibiti	ku wa dhibiti	dhibiti
kuwafuatilia	ku wa fuat i li a	fuat
kuwahamisha	ku wa ham ish a	ham
kuwajeruhi	ku wa jeruhi	jeruhi
kuwakaribisha	ku wa karib ish a	karib
kuwalipa	ku wa lip a	lip
kuwaokoa	ku wa oko a	oko
kuwaondoa	ku wa ondo a	ondo
kuwaondosha	ku wa ondo sh a	ondo
kuwapeleka	ku wa pelek a	pelek
kuwapelekea	ku wa pelek e a	pelek
kuwasaidia	ku wa saidi a	saidi
kuwashauri	ku wa shauri	shauri
kuwasili	ku wasil i	wasili
kuwatafutia	ku wa tafut i a	tafut
kuwataka	ku wa tak a	tak
kuwavusha	ku wa vu sh a	vu
kuweka	ku wek a	wek
kuwepo	ku we po	po
kuwezesha	ku wez esh a	wez
kuyachafua	ku ya chafu a	chafu
kuyafikia	ku ya fik i a	fik
kuyahama	ku ya ham a	ham
kuyapiga	ku ya pig a	pig
kuzalisha	ku za lish a	za
kuziba	ku zib a	zib
kuzidi	ku zidi	zidi
kuzikumba	ku zi kumb a	kumb
kuzima	ku zim a	zim
kuzingatia	ku zingati a	zingati
kuzingirwa	ku zingir wa	zingir
