token	transliteration-1	transliteration-2	segmentation_trans1	segmentation_trans2	root_trans1	root_trans2
अनियंत्रित	aniyantrit	aniyantrit	a niyantr it	a niyantr it	yantr	yantr
अनुरोधों	anurodhong	anurodhong	anu rodh ong	anu rodh ong	rodh	rodh
अनुसार	anusaar	anusaar	anu saar	anu saar	saar	saar
अनेक	anek	anek	an ek	an ek	ek	ek
अन्ना	annaa	annaa	ann aa	ann aa	ann	ann
अन्य	any	any	any	any	any	any
अपना	apnaa	apnaa	apn aa	apn aa	apn	apn
अपनाए	apnaae	apnaae	apn aa e	apn aa e	apn	apn
अपनी	apnii	apnii	apn ii	apn ii	apn	apn
अपने	apne	apne	apn e	apn e	apn	apn
अपनों	apnong	apnong	apn ong	apn ong	apn	apn
अपराधी	aparaadhii	aparaadhii	apa raadh ii	apa raadh ii	raadh	raadh
अपेक्षाकृत	apekshaakrit	apekshaakrit	ap ekshaa krit	ap ekshaa krit	ekshaa	ekshaa
अफगानिस्तान	aphagaanistaan	aphagaanistaan	aphagaan istaan	aphagaan istaan	aphagaan	aphagaan
अफगानी	aphagaanii	aphagaanii	aphagaan ii	aphagaan ii	aphagaan	aphagaan
अफवाह	aphvaah	aphvaah	aphvaah	aphvaah	aphvaah	aphvaah
अब	ab	ab	ab	ab	ab	ab
अभियान	abhiyaan	abhiyaan	abhi yaan	abhi yaan	yaan	yaan
अभिवादन	abhivaadan	abhivaadan	abhi vaad an	abhi vaad an	vaad	vaad
अभी	abhii	abhii	ab hii	ab hii	ab	ab
अभ्यास	abhyaas	abhyaas	abhy aas	abhy aas	aas	aas
अमरीकी	amariikii	amariikii	amariik ii	amariik ii	amariik	amariik
अमेरिकी	amerikii	amerikii	amerik ii	amerik ii	amerik	amerik
अरब	arab	arab	arab	arab	arab	arab
अरे	are	are	are	are	are	are
अर्जी	arjii	arjii	arj ii	arj ii	arj	arj
अर्पित	arpit	arpit	arp it	arp it	arp	arp
अलग	alag	alag	a lag	a lag	lag	lag
अलावा	alaavaa	alaavaa	alaavaa	alaavaa	alaavaa	alaavaa
अल्पकाल	alpakaal	alpakaal	alpa kaal	alpa kaal	kaal	kaal
अल्पसंख्यक	alpasankhyak	alpasankhyak	alpa san khya k	alpa san khya k	khya	khya
अवश्य	avashy	avashy	a vashy	a vashy	avashy	avashy
अवसरवादिता	avasaravaaditaa	avasaravaaditaa	ava sara vaaditaa	ava sara vaaditaa	vaaditaa	vaaditaa
अवसरवादी	avasaravaadii	avasaravaadii	ava sara vaad ii	ava sara vaad ii	vaad	vaad
अविलंब	avilamb	avilamb	a vi lamb	a vi lamb	lamb	lamb
अवैध	avaidh	avaidh	a vaidh	a vaidh	vaidh	vaidh
अशांति	ashaanti	ashaanti	a shaanti	a shaanti	shaanti	shaanti
असर	asar	asar	asar	asar	asar	asar
असरकारक	asarakaarak	asarakaarak	asara kaar ak	asara kaar ak	kaar	kaar
असरात	asraat	asraat	asraat	asraat	asraat	asraat
असल	asal	asal	asal	asal	asal	asal
असामान्य	asaamaany	asaamaany	a saamaany	a saamaany	saamaan	saamaan
असुरक्षित	asurakshit	asurakshit	a su raksh it	a su raksh it	raksh	raksh
अस्त्र	astr	astr	astr	astr	astr	astr
अस्पताल	aspataal	aspataal	aspataal	aspataal	aspataal	aspataal
अस्पतालों	aspataalong	aspataalong	aspataal ong	aspataal ong	aspataal	aspataal
अस्सी	assii	assii	assii	assii	assii	assii
अहम	aham	aham	aham	aham	aham	aham
अहमियत	ahamiyat	ahamiyat	aham iyat	aham iyat	aham	aham
अहिंसा	ahinsaa	ahinsaa	a hinsaa	a hinsaa	hinsaa	hinsaa
आ	aa	aa	aa	aa	aa	aa
आई	aaii	aaii	aa ii	aa ii	aa	aa
आए	aae	aae	aa e	aa e	aa	aa
आएगा	aaegaa	aaegaa	aa e g aa	aa e g aa	aa	aa
आएगी	aaegii	aaegii	aa e g ii	aa e g ii	aa	aa
आंकड़ा	aankaraa	aankaraa	aankar aa	aankar aa	aankar	aankar
आंकड़े	aankare	aankare	aankar e	aankar e	aankar	aankar
आंकड़ों	aankarong	aankarong	aankar ong	aankar ong	aankar	aankar
आकर	aakar	aakar	aa kar	aa kar	aa	aa
आंकलनों	aankalanong	aankalanong	aankalan ong	aankalan ong	aankalan	aankalan
आंख	aankh	aankh	aankh	aankh	aankh	aankh
आखिर	aakhir	aakhir	aakhir	aakhir	aakhir	aakhir
आँखों	aankhong	aankhong	aankh ong	aankh ong	aankh	aankh
आग	aag	aag	aag	aag	aag	aag
आगजनी	aagajanii	aagajanii	aaga jan ii	aaga jan ii	jan	jan
आगंतुक	aagantuk	aagantuk	aagan tuk	aagan tuk	aagantuk	aagantuk
आगमन	aagman	aagman	aagman	aagman	aagman	aagman
आगे	aage	aage	aag e	aag e	aag	aag
आँचल	aanchhal	aanchal	aanchhal	aanchal	aanchhal	aanchal
आज	aaj	aaj	aaj	aaj	aaj	aaj
आज्ञा	aajnaa	aajnaa	aa jnaa	aa jnaa	jnaa	jnaa
आटा	aataa	aataa	aat aa	aat aa	aat	aat
आँटी	aantii	aantii	aant ii	aant ii	aant	aant
आतंक	aatank	aatank	aatank	aatank	aatank	aatank
आतंकवाद	aatankavaad	aatankavaad	aatanka vaad	aatanka vaad	vaad	vaad
आतंकवादियों	aatankavaadiyong	aatankavaadiyong	aatanka vaad iy ong	aatanka vaad iy ong	vaad	vaad
आतंकवादी	aatankavaadii	aatankavaadii	aatanka vaad ii	aatanka vaad ii	vaad	vaad
आंतकवादी	aantakavaadii	aantakavaadii	aantaka vaad ii	aantaka vaad ii	vaad	vaad
आतंकियों	aatankiyong	aatankiyong	aatank iy ong	aatank iy ong	aatank	aatank
आतंकी	aatankii	aatankii	aatank ii	aatank ii	aatank	aatank
आता	aataa	aataa	aa t aa	aa t aa	aa	aa
आते	aate	aate	aa t e	aa t e	aa	aa
आत्मघाती	aatmaghaatii	aatmaghaatii	aatma ghaat ii	aatma ghaat ii	ghaat	ghaat
आत्मा	aatmaa	aatmaa	aatmaa	aatmaa	aatmaa	aatmaa
आदत	aadat	aadat	aadat	aadat	aadat	aadat
आदमी	aadmii	aadmii	aadmii	aadmii	aadmii	aadmii
आदि	aadi	aadi	aadi	aadi	aadi	aadi
आदिवासियों	aadivaasiyong	aadivaasiyong	aadi vaasiy ong	aadi vaasiy ong	vaasiy	vaasiy
आदेश	aadesh	aadesh	aa desh	aa desh	desh	desh
आधारभूत	aadhaarabhuut	aadhaarabhuut	aa dhaara bhuut	aa dhaara bhuut	desh	desh
आधारिक	aadhaarik	aadhaarik	aa dhaar ik	aa dhaar ik	dhaar	dhaar
आधारित	aadhaarit	aadhaarit	aa dhaar it	aa dhaar it	dhaar	dhaar
आधी	aadhii	aadhii	aadhii	aadhii	aadhii	aadhii
आंधी	aandhii	aandhii	aandh ii	aandh ii	aandh	aandh
आधुनिक	aadhunik	aadhunik	aadhun ik	aadhun ik	aadhun	aadhun
आधे	aadhe	aadhe	aadh e	aadh e	aadh	aadh
आने	aane	aane	aa n e	aa n e	aa	aa
आप	aap	aap	aap	aap	aap	aap
आपके	aapke	aapke	aap k e	aap k e	aap	aap
आपको	aapko	aapko	aap ko	aap ko	aap	aap
आपलोग	aaplog	aaplog	aap log	aap log	aap	aap
आपात	aapaat	aapaat	aapaat	aapaat	aapaat	aapaat
आपातकाल	aapaatakaal	aapaatakaal	aapaata kaal	aapaata kaal	kaal	kaal
आपातकालीन	aapaatakaaliin	aapaatakaaliin	aapaata kaal iin	aapaata kaal iin	kaal	kaal
आपूर्ति	aapuurti	aapuurti	aa puurti	aa puurti	puurti	puurti
आबादी	aabaadii	aabaadii	aabaad ii	aabaad ii	aabaad	aabaad
आम	aam	aam	aam	aam	aam	aam
आमद	aamad	aamad	aamad	aamad	aamad	aamad
आमने	aamne	aamne	aamne	aamne	aamne	aamne
आमादा	aamaadaa	aamaadaa	aamaad aa	aamaad aa	aamaad	aamaad
आय	aay	aay	aay	aay	aay	aay
आया	aayaa	aayaa	aa yaa	aa yaa	aa	aa
आयी	aayii	aayii	aa yii	aa yii	aa	aa
आये	aaye	aaye	aa ye	aa ye	aa	aa
आयें	aayeng	aayeng	aa ye ng	aa ye ng	aa	aa
आरोपी	aaropii	aaropii	aa rop ii	aa rop ii	rop	rop
आर्थिक	aarthik	aarthik	aarth ik	aarth ik	aarth	aarth
आलेखों	aalekhong	aalekhong	aa lekh ong	aa lekh ong	lekh	lekh
आवाज	aavaaj	aavaaj	aavaaj	aavaaj	aavaaj	aavaaj
आवाजाही	aavaajaahii	aavaajaahii	aavaajaah ii	aavaajaah ii	aavaajaah	aavaajaah
आशंका	aashankaa	aashankaa	aa shankaa	aa shankaa	shankaa	shankaa
आशा	aashaa	aashaa	aashaa	aashaa	aashaa	aashaa
आस	aas	aas	aas	aas	aas	aas
आसपास	aaspaas	aaspaas	aas paas	aas paas	paas	paas
आसमान	aasmaan	aasmaan	aasmaan	aasmaan	aasmaan	aasmaan
आसान	aasaan	aasaan	aasaan	aasaan	aasaan	aasaan
आस्था	aasthaa	aasthaa	aasthaa	aasthaa	aasthaa	aasthaa
आहत	aahat	aahat	aahat	aahat	aahat	aahat
इजराइली	ijaraailii	ijaraailii	ijaraail ii	ijaraail ii	ijaraail	ijaraail
इण्डियन	indiyan	indiyan	indiyan	indiyan	indiyan	indiyan
इंतजाम	intajaam	intajaam	intajaam	intajaam	intajaam	intajaam
इंतजार	intajaar	intajaar	intajaar	intajaar	intajaar	intajaar
इतना	itnaa	itnaa	itn aa	itn aa	itn	itn
इतनी	itnii	itnii	itn ii	itn ii	itn	itn
इतिहास	itihaas	itihaas	itihaas	itihaas	itihaas	itihaas
इत्यादि	ityaadi	ityaadi	ityaadi	ityaadi	ityaadi	ityaadi
इन	in	in	in	in	in	in
इनके	inke	inke	in k e	in k e	in	in
इनमें	inmeng	inmeng	in meng	in meng	in	in
इन्हीं	inhiing	inhiing	in hiing	in hiing	in	in
इमारत	imaarat	imaarat	imaarat	imaarat	imaarat	imaarat
इमारतें	imaarateng	imaarateng	imaarat eng	imaarat eng	imaarat	imaarat
इमारतों	imaaratong	imaaratong	imaarat ong	imaarat ong	imaarat	imaarat
इरादों	iraadong	iraadong	iraad ong	iraad ong	iraad	iraad
इलाक़ा	ilaaqaa	ilaaqaa	ilaaq aa	ilaaq aa	ilaaq	ilaaq
इलाके	ilaake	ilaake	ilaak e	ilaak e	ilaak	ilaak
इलाक़े	ilaaqe	ilaaqe	ilaaq e	ilaaq e	ilaaq	ilaaq
इलाकों	ilaakong	ilaakong	ilaak ong	ilaak ong	ilaak	ilaak
इलाज	ilaaj	ilaaj	ilaaj	ilaaj	ilaaj	ilaaj
इल्ज़ाम	ilzaam	ilzaam	ilzaam	ilzaam	ilzaam	ilzaam
इशारा	ishaaraa	ishaaraa	ishaar aa	ishaar aa	ishaar	ishaar
इस	is	is	is	is	is	is
इसका	iskaa	iskaa	is k aa	is k aa	is	is
इसकी	iskii	iskii	is k ii	is k ii	is	is
इसके	iske	iske	is k e	is k e	is	is
इसमें	ismeng	ismeng	is meng	is meng	is	is
इसलिए	islie	islie	is lie	is lie	is	is
इससे	isse	isse	is se	is se	is	is
इंसान	insaan	insaan	insaan	insaan	insaan	insaan
इसी	isii	isii	is ii	is ii	is	is
इसीलिए	isiilie	isiilie	is ii lie	is ii lie	is	is
इसे	ise	ise	is e	is e	is	is
इस्तेमाल	istemaal	istemaal	istemaal	istemaal	istemaal	istemaal
इस्लामिक	islaamik	islaamik	islaam ik	islaam ik	islaam	islaam
इस्लामी	islaamii	islaamii	islaam ii	islaam ii	islaam	islaam
ईमानदारी	iimaanadaarii	iimaanadaarii	iimaana daar ii	iimaana daar ii	daar	daar
ईश्वर	iishvar	iishvar	iishvar	iishvar	iishvar	iishvar
उखड़	ukhar	ukhar	ukhar	ukhar	ukhar	ukhar
उच्च	uchhchh	uchch	uchhchh	uchch	uchhchh	uchch
उछाल	uchhaal	uchhaal	uchhaal	uchhaal	uchhaal	uchhaal
उजाड़	ujaar	ujaar	ujaar	ujaar	ujaar	ujaar
उठ	uth	uth	uth	uth	uth	uth
उठकर	uthkar	uthkar	uth kar	uth kar	uth	uth
उठता	uthtaa	uthtaa	uth t aa	uth t aa	uth	uth
उठा	uthaa	uthaa	uth aa	uth aa	uth	uth
उठाना	uthaanaa	uthaanaa	uth aa n aa	uth aa n aa	uth	uth
उठाया	uthaayaa	uthaayaa	uth aa yaa	uth aa yaa	uth	uth
उड़ती	urtii	urtii	ur t ii	ur t ii	ur	ur
उड़ान	uraan	uraan	uraan	uraan	uraan	uraan
उड़ाना	uraanaa	uraanaa	ur aa n aa	ur aa n aa	ur	ur
उतरा	utraa	utraa	utr aa	utr aa	utr	utr
उतराई	utraaii	utraaii	utraa ii	utraa ii	utraa	utraa
उतरे	utre	utre	utr e	utr e	utr	utr
उतार	utaar	utaar	utaar	utaar	utaar	utaar
उत्तर	uttar	uttar	uttar	uttar	uttar	uttar
उत्तराखंड	uttaraakhand	uttaraakhand	uttara akhand	uttara akhand	akhand	akhand
उत्तरी	uttarii	uttarii	uttar ii	uttar ii	uttar	uttar
उदाहरणः	udaaharan.h	udaaharan.h	ud aa haran.h	ud aa haran.h	haran.h	haran.h
उद्देश्य	uddeshy	uddeshy	ud deshy	ud deshy	desh	desh
उद्विग्नता	udvignataa	udvignataa	ud vi gnataa	ud vi gnataa	gnataa	gnataa
उन	un	un	un	un	un	un
उनपर	unpar	unpar	un par	un par	un	un
उनमें	unmeng	unmeng	un meng	un meng	un	un
उन्हीं	unhiing	unhiing	un hiing	un hiing	un	un
उन्हें	unheng	unheng	un heng	un heng	un	un
उपचार	upchhaar	upchaar	up chhaar	up chaar	chhaar	chaar
उपजे	upje	upje	upj e	upj e	upj	upj
उपमंडलाधिकारी	upamandalaadhikaarii	upamandalaadhikaarii	upa mandala adhi kaar ii	upa mandala adhi kaar ii	kaar	kaar
उपयोग	upyog	upyog	up yog	up yog	yog	yog
उपर	upar	upar	upar	upar	upar	upar
उपरान्त	upraant	upraant	up raant	up raant	raant	raant
उपलब्ध	uplabdh	uplabdh	up labdh	up labdh	labdh	labdh
उपाय	upaay	upaay	up aay	up aay	aay	aay
उपायों	upaayong	upaayong	up aay ong	up aay ong	aay	aay
उफान	uphaan	uphaan	uphaan	uphaan	uphaan	uphaan
उबर	ubar	ubar	ubar	ubar	ubar	ubar
उबरने	ubarane	ubarane	ubara n e	ubara n e	ubara	ubara
उम्मीद	ummiid	ummiid	ummiid	ummiid	ummiid	ummiid
उलटते	ulatate	ulatate	ulata t e	ulata t e	ulata	ulata
उल्लेखनीय	ullekhaniiy	ullekhaniiy	ul lekhan iiy	ul lekhan iiy	lekhan	lekhan
उष्णकटिबंधीय	ushnakatibandhiiy	ushnakatibandhiiy	ushna kati bandh iiy	ushna kati bandh iiy	bandh	bandh
उस	us	us	us	us	us	us
उसका	uskaa	uskaa	us k aa	us k aa	us	us
उसके	uske	uske	us k e	us k e	us	us
उसने	usne	usne	us ne	us ne	us	us
उसमें	usmeng	usmeng	us meng	us meng	us	us
उससे	usse	usse	us se	us se	us	us
उसी	usii	usii	us ii	us ii	us	us
उसे	use	use	us e	us e	us	us
ऊँ	uung	uung	uung	uung	uung	uung
ऊपर	uupar	uupar	uupar	uupar	uupar	uupar
एक	ek	ek	ek	ek	ek	ek
एकड़	ekar	ekar	ekar	ekar	ekar	ekar
एकतरफा	ekataraphaa	ekataraphaa	eka taraph aa	eka taraph aa	taraph	taraph
एकता	ektaa	ektaa	ektaa	ektaa	ektaa	ektaa
एकादश	ekaadash	ekaadash	ekaadash	ekaadash	ekaadash	ekaadash
एजाज	ejaaj	ejaaj	ejaaj	ejaaj	ejaaj	ejaaj
एल	el	el	el	el	el	el
एवं	evang	evang	evang	evang	evang	evang
ऐतिहासिक	aitihaasik	aitihaasik	aitihaas ik	aitihaas ik	aitihaas	aitihaas
ऐलान	ailaan	ailaan	ailaan	ailaan	ailaan	ailaan
ऐसा	aisaa	aisaa	ais aa	ais aa	ais	ais
ऐसी	aisii	aisii	ais ii	ais ii	ais	ais
ऐसे	aise	aise	ais e	ais e	ais	ais
ओर	or	or	or	or	or	or
कई	kii	kii	kii	kii	kii	kii
कच्चे	kachhchhe	kachche	kachhchh e	kachch e	kachhchh	kachch
कट	kat	kat	kat	kat	kat	kat
कटा	kataa	kataa	kat aa	kat aa	kat	kat
कटाव	kataav	kataav	kat aav	kat aav	kat	kat
कटु	katu	katu	katu	katu	katu	katu
कठमुल्लाओं	kathamullaaong	kathamullaaong	katha mullaa ong	katha mullaa ong	mulla	mulla
कड़ी	karii	karii	kar ii	kar ii	kar	kar
कदम	kadam	kadam	kadam	kadam	kadam	kadam
कदवा	kadvaa	kadvaa	kadv aa	kadv aa	kadv	kadv
कनाडाई	kanaadaaii	kanaadaaii	kanaadaa ii	kanaadaa ii	kanaadaa	kanaadaa
कपड़ा	kapraa	kapraa	kapr aa	kapr aa	kapr	kapr
कपड़े	kapre	kapre	kapr e	kapr e	kapr	kapr
कब	kab	kab	kab	kab	kab	kab
कब्जा	kabjaa	kabjaa	kabj aa	kabj aa	kabj	kabj
कब्जे	kabje	kabje	kabj e	kabj e	kabj	kabj
कभी	kabhii	kabhii	kab hii	kab hii	kab	kab
कम	kam	kam	kam	kam	kam	kam
कमजोर	kamjor	kamjor	kam jor	kam jor	jor	jor
कमल	kamal	kamal	kamal	kamal	kamal	kamal
कमाई	kamaaii	kamaaii	kam aaii	kam aaii	kam	kam
कमी	kamii	kamii	kam ii	kam ii	kam	kam
कर	kar	kar	kar	kar	kar	kar
करता	kartaa	kartaa	kar t aa	kar t aa	kar	kar
करती	kartii	kartii	kar t ii	kar t ii	kar	kar
करते	karte	karte	kar t e	kar t e	kar	kar
करना	karnaa	karnaa	kar n aa	kar n aa	kar	kar
करनी	karnii	karnii	kar n ii	kar n ii	kar	kar
करने	karne	karne	kar n e	kar n e	kar	kar
करवाएगा	karavaaegaa	karavaaegaa	kara vaa e g aa	kara vaa e g aa	kara	kara
कराया	karaayaa	karaayaa	kar aa yaa	kar aa yaa	kar	kar
कराये	karaaye	karaaye	kar aa ye	kar aa ye	kar	kar
करायेंगे	karaayenge	karaayenge	kar aa ye n g e	kar aa ye n g e	kar	kar
करीब	kariib	kariib	kariib	kariib	kariib	kariib
क़रीब	qriib	qriib	qriib	qriib	qriib	qriib
करुंगा	karungaa	karungaa	kar un g aa	kar un g aa	kar	kar
करुँगी	karungii	karungii	kar un g ii	kar un g ii	kar	kar
करें	kareng	kareng	kar e ng	kar e ng	kar	kar
करेगा	karegaa	karegaa	kar e g aa	kar e g aa	kar	kar
करेंगे	karenge	karenge	kar e n g e	kar e n g e	kar	kar
करो	karo	karo	kar o	kar o	kar	kar
करोड़	karor	karor	karor	karor	karor	karor
कर्ज	karj	karj	karj	karj	karj	karj
कर्ज़	karz	karz	karz	karz	karz	karz
कर्मचारियों	karmachhaariyong	karmachaariyong	karma chhaar iy ong	karma chaar iy ong	chhaar	chaar
कर्मचारी	karmachhaarii	karmachaarii	karma chhaar ii	karma chaar ii	chhaar	chaar
कर्मशील	karmashiil	karmashiil	karma shiil	karma shiil	shiil	shiil
कर्मी	karmii	karmii	karm ii	karm ii	karm	karm
कल	kal	kal	kal	kal	kal	kal
कला	kalaa	kalaa	kalaa	kalaa	kalaa	kalaa
कलाकार	kalaakaar	kalaakaar	kalaa kaar	kalaa kaar	kalaa	kalaa
कलाकारों	kalaakaarong	kalaakaarong	kalaa kaar ong	kalaa kaar ong	kalaa	kalaa
कलाकृतियों	kalaakritiyong	kalaakritiyong	kalaa kritiy ong	kalaa kritiy ong	kritiy	kritiy
कलाम	kalaam	kalaam	kalaam	kalaam	kalaam	kalaam
कल्पनाओं	kalpanaaong	kalpanaaong	kalpanaa ong	kalpanaa ong	kalpanaa	kalpanaa
कवि	kavi	kavi	kavi	kavi	kavi	kavi
कवियों	kaviyong	kaviyong	kaviy ong	kaviy ong	kavi	kavi
कविवर	kavivar	kavivar	kavivar	kavivar	kavivar	kavivar
कसकर	kaskar	kaskar	kas kar	kas kar	kas	kas
कसना	kasnaa	kasnaa	kas n aa	kas n aa	kas	kas
कसाब	kasaab	kasaab	kasaab	kasaab	kasaab	kasaab
कस्बा	kasbaa	kasbaa	kasb aa	kasb aa	kasb	kasb
कस्बों	kasbong	kasbong	kasb ong	kasb ong	kasb	kasb
कह	kah	kah	kah	kah	kah	kah
कहते	kahte	kahte	kah t e	kah t e	kah	kah
कहना	kahnaa	kahnaa	kah n aa	kah n aa	kah	kah
कहने	kahne	kahne	kah n e	kah n e	kah	kah
कहा	kahaa	kahaa	kah aa	kah aa	kah	kah
कहाँ	kahaang	kahaang	kahaang	kahaang	kahaang	kahaang
कहां	kahaang	kahaang	kahaang	kahaang	kahaang	kahaang
कहानी	kahaanii	kahaanii	kah aan ii	kah aan ii	kah	kah
कही	kahii	kahii	kah ii	kah ii	kah	kah
कहूँ	kahuung	kahuung	kah uung	kah uung	kah	kah
का	kaa	kaa	k aa	k aa	k	k
कांग्रेसियों	kaangresiyong	kaangresiyong	kaangres iy ong	kaangres iy ong	kaangres	kaangres
कांत	kaant	kaant	kaant	kaant	kaant	kaant
कानून	kaanuun	kaanuun	kaanuun	kaanuun	kaanuun	kaanuun
काफी	kaaphii	kaaphii	kaaphii	kaaphii	kaaphii	kaaphii
काम	kaam	kaam	kaam	kaam	kaam	kaam
कार	kaar	kaar	kaar	kaar	kaar	kaar
कारखाने	kaarakhaane	kaarakhaane	kaara khaan e	kaara khaan e	khaan	khaan
कारण	kaaran	kaaran	kaaran	kaaran	kaaran	kaaran
कारणों	kaarnong	kaarnong	kaarn ong	kaarn ong	kaarn	kaarn
कार्य	kaary	kaary	kaary	kaary	kaary	kaary
कार्यकर्ताओं	kaaryakartaaong	kaaryakartaaong	kaarya kartaa ong	kaarya kartaa ong	kartaa	kartaa
कार्यकारी	kaaryakaarii	kaaryakaarii	kaarya kaar ii	kaarya kaar ii	kaar	kaar
कार्यक्रम	kaaryakram	kaaryakram	kaarya kram	kaarya kram	kram	kram
कार्यवाही	kaaryavaahii	kaaryavaahii	kaarya vaah ii	kaarya vaah ii	vaah	vaah
कार्यशाला	kaaryashaalaa	kaaryashaalaa	kaarya shaalaa	kaarya shaalaa	shaalaa	shaalaa
कार्यशैली	kaaryashailii	kaaryashailii	kaarya shail ii	kaarya shail ii	shail	shail
कार्यालय	kaaryaalay	kaaryaalay	kaary aalay	kaary aalay	aalay	aalay
कार्यों	kaaryong	kaaryong	kaary ong	kaary ong	kaary	kaary
काला	kaalaa	kaalaa	kaal aa	kaal aa	kaal	kaal
काहिरा	kaahiraa	kaahiraa	kaahir aa	kaahir aa	kaahir	kaahir
कि	ki	ki	ki	ki	ki	ki
किए	kie	kie	k<i> e	k<i> e	k<i>	k<i>
कितना	kitnaa	kitnaa	kitn aa	kitn aa	kitn	kitn
किताब	kitaab	kitaab	kitaab	kitaab	kitaab	kitaab
किताबों	kitaabong	kitaabong	kitaab ong	kitaab ong	kitaab	kitaab
किनारे	kinaare	kinaare	kinaar e	kinaar e	kinaar	kinaar
किन्तु	kintu	kintu	kintu	kintu	kintu	kintu
किया	kiyaa	kiyaa	k<i> yaa	k<i> yaa	k<i>	k<i>
किये	kiye	kiye	k<i> ye	k<i> ye	k<i>	k<i>
किसान	kisaan	kisaan	kisaan	kisaan	kisaan	kisaan
किसानों	kisaanong	kisaanong	kisaan ong	kisaan ong	kisaan	kisaan
किसी	kisii	kisii	kis ii	kis ii	kis	kis
किस्को	kisko	kisko	kis ko	kis ko	kis	kis
किस्म	kism	kism	kism	kism	kism	kism
किस्मत	kismat	kismat	kismat	kismat	kismat	kismat
की	kii	kii	k ii	k ii	k	k
कीटनाशक	kiitanaashak	kiitanaashak	kiita naash ak	kiita naash ak	naash	naash
कीमत	kiimat	kiimat	kiimat	kiimat	kiimat	kiimat
कीमतों	kiimtong	kiimtong	kiimt ong	kiimt ong	kiimt	kiimt
कीवर्डों	kiivardong	kiivardong	kiivard ong	kiivard ong	kiivard	kiivard
कुचला	kuchhlaa	kuchlaa	kuchhl aa	kuchl aa	kuchhl	kuchl
कुछ	kuchh	kuchh	kuchh	kuchh	kuchh	kuchh
कुंभ	kumbh	kumbh	kumbh	kumbh	kumbh	kumbh
कुल	kul	kul	kul	kul	kul	kul
कूलर	kuular	kuular	kuular	kuular	kuular	kuular
